Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ASML","ASML HOLDING NV","Information Technology","Equity","65,110,608.08","24.57","65,110,608.08","135,811.00","-","NL0010273215","B929F46","479.42","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"PRX","PROSUS NV","Consumer Discretionary","Equity","20,983,316.51","7.92","20,983,316.51","192,218.00","-","NL0013654783","BJDS7L3","109.16","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ADYEN","ADYEN NV","Information Technology","Equity","15,911,351.90","6.00","15,911,351.90","6,631.00","-","NL0012969182","BZ1HM42","2,399.55","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"INGA","ING GROEP NV","Financials","Equity","13,032,322.36","4.92","13,032,322.36","1,351,105.00","-","NL0011821202","BZ57390","9.65","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"PHIA","KONINKLIJKE PHILIPS NV","Health Care","Equity","12,862,345.13","4.85","12,862,345.13","239,936.00","S59866228","NL0000009538","5986622","53.61","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Consumer Staples","Equity","11,936,448.40","4.50","11,936,448.40","417,614.00","-","NL0011794037","BD0Q398","28.58","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"DSM","KONINKILIJKE DSM NV","Materials","Equity","11,743,726.82","4.43","11,743,726.82","68,362.00","-","NL0000009827","B0HZL93","171.79","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AKZA","AKZO NOBEL NV","Materials","Equity","9,594,056.68","3.62","9,594,056.68","88,479.00","-","NL0013267909","BJ2KSG2","108.43","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"HEIA","HEINEKEN NV","Consumer Staples","Equity","9,354,205.13","3.53","9,354,205.13","85,632.00","S77925592","NL0000009165","7792559","109.24","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"WKL","WOLTERS KLUWER NV","Industrials","Equity","9,253,992.65","3.49","9,253,992.65","110,625.00","S56715196","NL0000395903","5671519","83.65","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"TKWY","JUST EAT TAKEAWA NV","Consumer Discretionary","Equity","5,780,416.74","2.18","5,780,416.74","52,483.00","-","NL0012015705","BYQ7HZ6","110.14","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"NN","NN GROUP NV","Financials","Equity","5,468,302.76","2.06","5,468,302.76","124,848.00","-","NL0010773842","BNG8PQ9","43.80","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"KPN","KONINKLIJKE KPN NV","Communication","Equity","4,703,887.34","1.78","4,703,887.34","1,533,307.00","S59560789","NL0000009082","5956078","3.07","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ASM","ASM INTERNATIONAL NV","Information Technology","Equity","4,634,430.15","1.75","4,634,430.15","21,382.00","S51652949","NL0000334118","5165294","216.75","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"CCEP","COCA COLA EUROPEAN PARTNERS PLC","Consumer Staples","Equity","4,513,769.26","1.70","4,513,769.26","94,549.00","-","GB00BDCPN049","BYQQ3P5","47.74","Netherlands","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RAND","RANDSTAD HOLDING","Industrials","Equity","3,619,865.32","1.37","3,619,865.32","54,476.00","S52286580","NL0000379121","5228658","66.45","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AGN","AEGON NV","Financials","Equity","3,205,898.12","1.21","3,205,898.12","827,727.00","S59273755","NL0000303709","5927375","3.87","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"IMCD","IMCD NV","Industrials","Equity","3,106,771.12","1.17","3,106,771.12","24,159.00","-","NL0010801007","BNCBD46","128.60","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"LIGHT","SIGNIFY NV","Industrials","Equity","2,762,713.94","1.04","2,762,713.94","65,198.00","-","NL0011821392","BYY7VY5","42.37","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","2,746,438.29","1.04","2,746,438.29","63,093.00","-","NL0000687663","B1HHKD3","43.53","Netherlands","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","2,696,890.23","1.02","2,696,890.23","67,261.00","-","NL0011872643","BD9PNF2","40.10","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"HEIO","HEINEKEN HOLDING NV","Consumer Staples","Equity","2,588,171.36","0.98","2,588,171.36","27,860.00","-","NL0000008977","B0CCH46","92.90","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","2,349,913.88","0.89","2,349,913.88","38,965.00","-","NL0012866412","BG0SCK9","60.31","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AALB","AALBERTS NV","Industrials","Equity","2,314,114.20","0.87","2,314,114.20","51,432.00","-","NL0000852564","B1W8P14","44.99","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ATC","ALTICE EUROPE NV","Communication","Equity","2,118,337.80","0.80","2,118,337.80","326,209.00","-","NL0011333752","BYT3416","6.49","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ABN","ABN AMRO BANK NV","Financials","Equity","2,101,671.73","0.79","2,101,671.73","210,882.00","-","NL0011540547","BYQP136","9.97","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"CRBN","CORBION NV","Materials","Equity","1,851,285.38","0.70","1,851,285.38","32,961.00","-","NL0010583399","BFRSRR7","56.17","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"VPK","KONINKLIJKE VOPAK NV","Energy","Equity","1,802,509.35","0.68","1,802,509.35","34,567.00","S58094285","NL0009432491","5809428","52.15","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"SBMO","SBM OFFSHORE NV","Energy","Equity","1,640,506.33","0.62","1,640,506.33","86,314.00","-","NL0000360618","B156T57","19.01","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ARCAD","ARCADIS NV","Industrials","Equity","1,589,305.65","0.60","1,589,305.65","48,930.00","S57692097","NL0006237562","5769209","32.48","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"JDEP","JDE PEETS NV","Consumer Staples","Equity","1,461,150.13","0.55","1,461,150.13","32,687.00","-","NL0014332678","BMC4ZZ3","44.70","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ALFEN","ALFEN NV","Industrials","Equity","1,434,243.69","0.54","1,434,243.69","15,229.00","-","NL0012817175","BG0SJ42","94.18","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"BOKA","KONINKLIJKE BOSKALIS WESTMINSTER N","Industrials","Equity","1,411,614.98","0.53","1,411,614.98","51,131.00","-","NL0000852580","B1XF882","27.61","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"OCI","OCI NV","Materials","Equity","1,372,398.17","0.52","1,372,398.17","71,520.00","-","NL0010558797","BD4TZK8","19.19","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"PNL","POSTNL NV","Industrials","Equity","1,367,926.55","0.52","1,367,926.55","394,508.00","S54815584","NL0009739416","5481558","3.47","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"TWEKA","TKH GROUP NV","Industrials","Equity","1,274,779.81","0.48","1,274,779.81","26,171.00","-","NL0000852523","B1WFDQ6","48.71","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"FUR","FUGRO NV","Energy","Equity","1,166,600.82","0.44","1,166,600.82","127,077.00","-","NL00150004A7","BLKGTC9","9.18","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"BFIT","BASIC-FIT NV","Consumer Discretionary","Equity","1,157,726.24","0.44","1,157,726.24","31,622.00","-","NL0011872650","BD9Y9B7","36.61","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AMG","AMG ADVANCED METALLURGICAL GROUP N","Materials","Equity","986,558.91","0.37","986,558.91","32,390.00","-","NL0000888691","B1Z95S1","30.46","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"INTER","INTERTRUST NV","Industrials","Equity","974,836.92","0.37","974,836.92","58,833.00","-","NL0010937058","BZ24134","16.57","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ECMPA","EUROCOMMERCIAL PROPERTIES DUTCH CE","Real Estate","Equity","905,716.57","0.34","905,716.57","48,023.00","S47982715","NL0000288876","4798271","18.86","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"PHARM","PHARMING GROUP NV","Health Care","Equity","856,146.65","0.32","856,146.65","550,929.00","-","NL0010391025","B8RC747","1.55","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"FLOW","FLOW TRADERS NV","Financials","Equity","812,238.86","0.31","812,238.86","24,655.00","-","NL0011279492","BYT05J2","32.94","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"TOM2","TOMTOM NV","Consumer Discretionary","Equity","778,242.38","0.29","778,242.38","74,060.00","-","NL0013332471","BFY1TC8","10.51","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"WHA","WERELDHAVE NV","Real Estate","Equity","767,849.40","0.29","767,849.40","56,676.00","S49486236","NL0000289213","4948623","13.55","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"BAMNB","BAM GROEP KONINKLIJKE NV","Industrials","Equity","757,049.21","0.29","757,049.21","357,316.00","-","NL0000337319","B12W5Y9","2.12","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"NSI","NSI NV","Real Estate","Equity","731,582.14","0.28","731,582.14","18,307.00","-","NL0012365084","BZBY737","39.96","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","725,372.79","0.27","725,372.79","595,373.00","-","-","-","121.84","European Union","-","USD","0.82","EUR","-"
"ACCEL","ACCELL GROUP NV","Consumer Discretionary","Equity","704,901.37","0.27","704,901.37","22,210.00","-","NL0009767532","B051DV9","31.74","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"VASTN","VASTNED RETAIL REIT NV","Real Estate","Equity","649,272.85","0.25","649,272.85","22,774.00","S49271943","NL0000288918","4927194","28.51","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"SIFG","SIF HOLDING NV","Industrials","Equity","542,862.87","0.20","542,862.87","26,241.00","-","NL0011660485","BD980H2","20.69","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"BSGR","B&S GROUP SA","Consumer Discretionary","Equity","536,962.42","0.20","536,962.42","59,558.00","-","LU1789205884","BFMH1Z5","9.02","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"VLK","VAN LANSCHOT KEMPEN NV","Financials","Equity","528,458.83","0.20","528,458.83","20,081.00","S57163024","NL0000302636","5716302","26.32","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"FFARM","FORFARMERS NV","Consumer Staples","Equity","490,291.33","0.19","490,291.33","75,360.00","-","NL0011832811","BD6S9Q7","6.51","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"BRNL","BRUNEL INTERNATIONAL NV","Industrials","Equity","445,506.25","0.17","445,506.25","49,414.00","-","NL0010776944","BN573R4","9.02","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"SLIGR","SLIGRO FOOD GROUP NV","Consumer Staples","Equity","383,739.31","0.14","383,739.31","18,312.00","-","NL0000817179","B1VV9V2","20.96","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"CMCOM","CM.COM NV","Information Technology","Equity","321,342.74","0.12","321,342.74","9,626.00","-","NL0012747059","BFMBLM4","33.38","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","80,000.00","0.03","80,000.00","80,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
