Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IBE","IBERDROLA SA","Utilities","Equity","127,685,926.51","22.98","127,685,926.51","8,331,258.00","-","ES0144580Y14","B288C92","15.33","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"SAN","BANCO SANTANDER SA","Financials","Equity","80,942,814.33","14.57","80,942,814.33","23,928,775.00","S57059461","ES0113900J37","5705946","3.38","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Consumer Discretionary","Equity","49,658,722.75","8.94","49,658,722.75","1,516,388.00","-","ES0148396007","BP9DL90","32.75","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","28,818,907.52","5.19","28,818,907.52","5,499,093.00","S55019061","ES0113211835","5501906","5.24","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"REP","REPSOL SA","Energy","Equity","26,214,899.75","4.72","26,214,899.75","2,451,231.00","S56693542","ES0173516115","5669354","10.69","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"TEF","TELEFONICA SA","Communication","Equity","23,559,684.70","4.24","23,559,684.70","5,389,117.00","879382109","ES0178430E18","5732524","4.37","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"CLNX","CELLNEX TELECOM SA","Communication","Equity","22,361,533.51","4.02","22,361,533.51","384,599.00","-","ES0105066007","BX90C05","58.14","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"AMS","AMADEUS IT GROUP SA","Information Technology","Equity","22,270,435.45","4.01","22,270,435.45","318,232.00","-","ES0109067019","B3MSM28","69.98","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"FER","FERROVIAL SA","Industrials","Equity","22,145,870.08","3.99","22,145,870.08","812,839.00","-","ES0118900010","B038516","27.24","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"SGRE","SIEMENS GAMESA RENEWABLE ENERGY SA","Industrials","Equity","20,817,804.88","3.75","20,817,804.88","456,485.00","-","ES0143416115","B01CP21","45.60","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
