Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MC","LVMH","Consumer Discretionary","Equity","88,310,927.24","9.82","88,310,927.24","140,522.00","S40614125","FR0000121014","4061412","628.45","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"SAN","SANOFI SA","Health Care","Equity","55,601,203.24","6.18","55,601,203.24","573,511.00","S56717358","FR0000120578","5671735","96.95","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"FP","TOTAL","Energy","Equity","54,147,690.44","6.02","54,147,690.44","1,275,783.00","-","FR0000120271","B15C557","42.44","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"OR","LOREAL SA","Consumer Staples","Equity","48,730,146.15","5.42","48,730,146.15","127,393.00","S40578080","FR0000120321","4057808","382.52","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","40,741,704.50","4.53","40,741,704.50","272,681.00","S48341085","FR0000121972","4834108","149.41","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","40,134,091.33","4.46","40,134,091.33","239,676.00","-","FR0000120073","B1YXBJ7","167.45","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","32,835,218.40","3.65","32,835,218.40","297,655.00","S40122509","NL0000235190","4012250","110.31","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"BNP","BNP PARIBAS SA","Financials","Equity","30,051,358.82","3.34","30,051,358.82","569,350.00","S73096810","FR0000131104","7309681","52.78","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"KER","KERING SA","Consumer Discretionary","Equity","27,330,979.05","3.04","27,330,979.05","38,352.00","S55050728","FR0000121485","5505072","712.64","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"DG","VINCI SA","Industrials","Equity","26,747,310.56","2.97","26,747,310.56","263,484.00","-","FR0000125486","B1XH026","101.51","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"CS","AXA SA","Financials","Equity","23,353,969.37","2.60","23,353,969.37","979,025.00","S70884291","FR0000120628","7088429","23.85","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"SAF","SAFRAN SA","Industrials","Equity","23,119,871.22","2.57","23,119,871.22","162,200.00","-","FR0000073272","B058TZ6","142.54","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"EL","ESSILORLUXOTTICA SA","Consumer Discretionary","Equity","22,746,599.93","2.53","22,746,599.93","143,964.00","S72124779","FR0000121667","7212477","158.00","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"BN","DANONE SA","Consumer Staples","Equity","20,882,294.38","2.32","20,882,294.38","312,798.00","-","FR0000120644","B1Y9TB3","66.76","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","20,652,773.13","2.30","20,652,773.13","106,044.00","S46823290","FR0000120693","4682329","194.76","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","17,400,101.62","1.93","17,400,101.62","16,032.00","S52539731","FR0000052292","5253973","1,085.34","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"ENGI","ENGIE SA","Utilities","Equity","14,527,850.94","1.61","14,527,850.94","924,499.00","-","FR0010208488","B0C2CQ3","15.71","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","13,826,765.45","1.54","13,826,765.45","66,866.00","S53300471","FR0000130650","5330047","206.78","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"VIV","VIVENDI","Communication","Equity","13,572,697.22","1.51","13,572,697.22","420,049.00","S48347777","FR0000127771","4834777","32.31","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"CAP","CAPGEMINI","Information Technology","Equity","12,834,636.10","1.43","12,834,636.10","81,484.00","S41634379","FR0000125338","4163437","157.51","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"STM","STMICROELECTRONICS NV","Information Technology","Equity","12,566,866.95","1.40","12,566,866.95","322,630.00","S59623322","NL0000226223","5962332","38.95","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
