Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","131,430,361.94","19.57","131,430,361.94","6,728,900.00","S61752036","SG1L01001701","6175203","19.53","Singapore","Singapore Exchange","USD","1.33","SGD","Jan 01, 1998"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Equity","95,723,511.36","14.26","95,723,511.36","12,160,550.00","-","SG1S04926220","B0F9V20","7.87","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"U11","UNITED OVERSEAS BANK LTD","Financials","Equity","76,263,577.27","11.36","76,263,577.27","4,246,800.00","S69167815","SG1M31001969","6916781","17.96","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"F34","WILMAR INTERNATIONAL LTD","Consumer Staples","Equity","35,167,139.47","5.24","35,167,139.47","8,629,600.00","-","SG1T56930848","B17KC69","4.08","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"A17U","ASCENDAS REAL ESTATE INVESTMENT TR","Real Estate","Equity","29,617,589.85","4.41","29,617,589.85","12,683,494.00","S65638751","SG1M77906915","6563875","2.34","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"Z74","SINGAPORE TELECOMMUNICATIONS LTD","Communication","Equity","29,543,886.02","4.40","29,543,886.02","16,274,268.00","-","SG1T75931496","B02PY22","1.82","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"S68","SINGAPORE EXCHANGE LTD","Financials","Equity","27,441,333.28","4.09","27,441,333.28","3,694,700.00","S63038665","SG1J26887955","6303866","7.43","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"BN4","KEPPEL LTD","Industrials","Equity","26,225,452.90","3.91","26,225,452.90","6,840,000.00","-","SG1U68934629","B1VQ5C0","3.83","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"C6L","SINGAPORE AIRLINES LTD","Industrials","Equity","24,701,349.95","3.68","24,701,349.95","7,469,767.00","S68117340","SG1V61937297","6811734","3.31","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"S63","SINGAPORE TECHNOLOGIES ENGINEERING","Industrials","Equity","24,234,446.91","3.61","24,234,446.91","8,556,500.00","S60432143","SG1F60858221","6043214","2.83","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"V03","VENTURE CORPORATION LTD","Information Technology","Equity","24,097,020.83","3.59","24,097,020.83","1,599,500.00","S69273746","SG0531000230","6927374","15.07","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"M44U","MAPLETREE LOGISTICS TRUST UNITS","Real Estate","Equity","24,009,937.43","3.58","24,009,937.43","16,098,178.00","-","SG1S03926213","B0D6P43","1.49","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"G13","GENTING SINGAPORE LTD","Consumer Discretionary","Equity","22,945,006.50","3.42","22,945,006.50","34,225,442.00","-","SGXE21576413","BDRTVP2","0.67","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"N2IU","MAPLETREE COMMERCIAL UNITS TRUST","Real Estate","Equity","19,780,970.21","2.95","19,780,970.21","12,686,100.00","-","SG2D18969584","B5143W8","1.56","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"U14","UOL GROUP LTD","Real Estate","Equity","17,223,943.35","2.57","17,223,943.35","3,065,100.00","S69168441","SG1S83002349","6916844","5.62","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"C09","CITY DEVELOPMENTS LTD","Real Estate","Equity","15,577,560.17","2.32","15,577,560.17","2,829,000.00","S61979282","SG1R89002252","6197928","5.51","Singapore","Singapore Exchange","USD","1.33","SGD","Jan 01, 1998"
"C31","CAPITALAND","Real Estate","Equity","15,460,326.16","2.30","15,460,326.16","6,454,200.00","S63093033","SG1J27887962","6309303","2.40","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"T82U","SUNTEC UNITS TRUST","Real Estate","Equity","15,265,610.33","2.27","15,265,610.33","13,421,100.00","-","SG1Q52922370","B04PZ72","1.14","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"C38U","CAPITALAND INTEGRATED COMMERCIAL T","Real Estate","Equity","14,896,101.43","2.22","14,896,101.43","9,197,823.00","S64201296","SG1M51904654","6420129","1.62","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"SGD","SGD CASH","Cash and/or Derivatives","Cash","1,647,530.40","0.25","1,647,530.40","2,187,179.00","-","-","-","75.33","Singapore","-","USD","1.33","SGD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","430,000.00","0.06","430,000.00","430,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"UBFUT","CASH COLLATERAL SGD UBFUT","Cash and/or Derivatives","Cash Collateral and Margins","107,235.13","0.02","107,235.13","142,360.00","-","-","-","75.33","Singapore","-","USD","1.33","SGD","Oct 15, 2015"
"QZG1","MSCI SING IX ETS FEB 21","Cash and/or Derivatives","Futures","0.00","0.00","1,609,219.99","64.00","-","SGXDB0375194","-","251.44","-","Singapore Exchange Derivatives Clearing Limited","USD","1.33","SGD","-"
"MARGIN_SGD","FUTURES SGD MARGIN BALANCE","Cash and/or Derivatives","Cash Collateral and Margins","15.42","0.00","15.42","20.00","-","-","-","75.33","Singapore","-","USD","1.33","SGD","Jan 01, 2000"
"USD","USD CASH","Cash and/or Derivatives","Cash","-344,827.94","-0.05","-344,827.94","-344,828.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
