Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,553,052,050.67","24.49","1,553,052,050.67","68,893,882.00","S68891068","TW0002330008","6889106","22.54","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","Nov 10, 1994"
"2454","MEDIATEK INC","Information Technology","Equity","344,456,158.08","5.43","344,456,158.08","10,133,175.00","S63724801","TW0002454006","6372480","33.99","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","Jul 23, 2001"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","342,971,973.13","5.41","342,971,973.13","82,275,002.00","S64385644","TW0002317005","6438564","4.17","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","Sep 26, 1991"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","161,251,728.34","2.54","161,251,728.34","86,663,501.00","S69166288","TW0002303005","6916628","1.86","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","145,807,532.83","2.30","145,807,532.83","14,348,180.00","S62607346","TW0002308004","6260734","10.16","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","98,409,476.22","1.55","98,409,476.22","25,231,648.00","S62878418","TW0002412004","6287841","3.90","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"1301","FORMOSA PLASTICS CORP","Materials","Equity","92,383,113.72","1.46","92,383,113.72","28,528,518.00","S63485445","TW0001301000","6348544","3.24","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"1303","NAN YA PLASTICS CORP","Materials","Equity","86,421,431.08","1.36","86,421,431.08","35,104,938.00","S66215807","TW0001303006","6621580","2.46","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","86,140,650.38","1.36","86,140,650.38","125,058,325.00","S65276669","TW0002891009","6527666","0.69","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","84,717,063.70","1.34","84,717,063.70","24,134,432.00","-","TW0003711008","BFXZDY1","3.51","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","82,867,197.58","1.31","82,867,197.58","34,007,189.00","S67003939","TW0001216000","6700393","2.44","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","82,258,771.76","1.30","82,258,771.76","57,044,315.00","S64256639","TW0002882008","6425663","1.44","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
