Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ULVR","UNILEVER PLC","Consumer Staples","Equity","186,242,290.06","6.94","186,242,290.06","3,257,088.00","-","GB00B10RZP78","B10RZP7","57.18","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","161,096,276.23","6.00","161,096,276.23","1,625,641.00","S09895293","GB0009895292","0989529","99.10","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","128,071,147.10","4.77","128,071,147.10","25,230,417.00","S05405287","GB0005405286","0540528","5.08","United Kingdom","London Stock Exchange","USD","0.75","GBP","Jan 01, 1998"
"DGE","DIAGEO PLC","Consumer Staples","Equity","112,927,603.61","4.21","112,927,603.61","2,895,617.00","S02374007","GB0002374006","0237400","39.00","United Kingdom","London Stock Exchange","USD","0.75","GBP","Jan 01, 1998"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","110,966,863.65","4.13","110,966,863.65","6,215,427.00","S09252883","GB0009252882","0925288","17.85","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RIO","RIO TINTO PLC","Materials","Equity","103,805,823.48","3.87","103,805,823.48","1,389,963.00","S07188758","GB0007188757","0718875","74.68","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","102,548,991.08","3.82","102,548,991.08","2,842,068.00","S02875805","GB0002875804","0287580","36.08","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","88,783,913.05","3.31","88,783,913.05","5,080,571.00","-","GB00B03MLX29","B03MLX2","17.48","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BP.","BP PLC","Energy","Equity","86,278,994.71","3.21","86,278,994.71","25,102,287.00","S07980592","GB0007980591","0798059","3.44","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Energy","Equity","77,357,459.75","2.88","77,357,459.75","4,591,174.00","-","GB00B03MM408","B03MM40","16.85","United Kingdom","London Stock Exchange","USD","0.75","GBP","Dec 12, 1988"
"RB.","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","76,655,797.31","2.86","76,655,797.31","881,071.00","-","GB00B24CGK77","B24CGK7","87.00","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BHP","BHP GROUP PLC","Materials","Equity","68,660,142.62","2.56","68,660,142.62","2,616,414.00","-","GB00BH0P3Z91","BH0P3Z9","26.24","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"REL","RELX PLC","Industrials","Equity","56,830,943.70","2.12","56,830,943.70","2,393,016.00","-","GB00B2B0DG97","B2B0DG9","23.75","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"PRU","PRUDENTIAL PLC","Financials","Equity","56,541,323.47","2.11","56,541,323.47","3,231,826.00","S07099542","GB0007099541","0709954","17.50","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"VOD","VODAFONE GROUP PLC","Communication","Equity","53,979,077.57","2.01","53,979,077.57","33,229,218.00","-","GB00BH4HKS39","BH4HKS3","1.62","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"NG.","NATIONAL GRID PLC","Utilities","Equity","49,370,648.75","1.84","49,370,648.75","4,360,758.00","-","GB00BDR05C01","BDR05C0","11.32","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","49,207,631.21","1.83","49,207,631.21","1,519,706.00","-","GB00B1XZS820","B1XZS82","32.38","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"LSE","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","46,084,884.34","1.72","46,084,884.34","391,841.00","-","GB00B0SWJX34","B0SWJX3","117.61","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"EXPN","EXPERIAN PLC","Industrials","Equity","42,219,958.23","1.57","42,219,958.23","1,135,310.00","-","GB00B19NLV48","B19NLV4","37.19","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","40,736,347.93","1.52","40,736,347.93","2,209,826.00","-","GB00BD6K4575","BD6K457","18.43","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BARC","BARCLAYS PLC","Financials","Equity","40,433,225.34","1.51","40,433,225.34","21,489,745.00","S31348659","GB0031348658","3134865","1.88","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","39,221,537.33","1.46","39,221,537.33","87,691,197.00","S08706129","GB0008706128","0870612","0.45","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"GLEN","GLENCORE PLC","Materials","Equity","38,864,262.74","1.45","38,864,262.74","12,379,495.00","-","JE00B4T3BW64","B4T3BW6","3.14","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"TSCO","TESCO PLC","Consumer Staples","Equity","35,582,769.76","1.33","35,582,769.76","12,132,059.00","S08847097","GB0008847096","0884709","2.93","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"FERG","FERGUSON PLC","Industrials","Equity","32,721,828.94","1.22","32,721,828.94","278,599.00","-","JE00BJVNSS43","BJVNSS4","117.45","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","26,028,449.07","0.97","26,028,449.07","3,984,831.00","S02634947","GB0002634946","0263494","6.53","United Kingdom","London Stock Exchange","USD","0.75","GBP","Jan 01, 1998"
"SSE","SSE PLC","Utilities","Equity","25,045,983.80","0.93","25,045,983.80","1,287,945.00","S07908734","GB0007908733","0790873","19.45","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"AHT","ASHTEAD GROUP PLC","Industrials","Equity","24,991,538.80","0.93","24,991,538.80","556,604.00","S00536730","GB0000536739","0053673","44.90","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Equity","23,973,098.48","0.89","23,973,098.48","7,391,580.00","S05603998","GB0005603997","0560399","3.24","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"IMB","IMPERIAL BRANDS PLC","Consumer Staples","Equity","23,876,550.74","0.89","23,876,550.74","1,172,401.00","S04544920","GB0004544929","0454492","20.37","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","21,945,735.03","0.82","21,945,735.03","1,084,687.00","S09223207","GB0009223206","0922320","20.23","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","20,446,274.52","0.76","20,446,274.52","3,323,367.00","S04082848","GB0004082847","0408284","6.15","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"AV.","AVIVA PLC","Financials","Equity","20,362,589.44","0.76","20,362,589.44","4,865,628.00","S02162386","GB0002162385","0216238","4.18","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BT.A","BT GROUP PLC","Communication","Equity","19,439,148.86","0.72","19,439,148.86","11,056,442.00","S30913578","GB0030913577","3091357","1.76","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"OCDO","OCADO GROUP PLC","Consumer Discretionary","Equity","18,706,656.06","0.70","18,706,656.06","602,254.00","-","GB00B3MBS747","B3MBS74","31.06","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"III","3I GROUP PLC","Financials","Equity","18,103,896.07","0.67","18,103,896.07","1,205,501.00","-","GB00B1YW4409","B1YW440","15.02","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","17,988,431.74","0.67","17,988,431.74","1,475,348.00","-","GB00B5ZN1N88","B5ZN1N8","12.19","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"WPP","WPP PLC","Communication","Equity","15,919,791.15","0.59","15,919,791.15","1,517,938.00","-","JE00B8KF9B49","B8KF9B4","10.49","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RTO","RENTOKIL INITIAL PLC","Industrials","Equity","15,714,535.05","0.59","15,714,535.05","2,297,146.00","-","GB00B082RF11","B082RF1","6.84","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","15,536,763.36","0.58","15,536,763.36","199,943.00","S31638364","GB0031638363","3163836","77.71","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"HLMA","HALMA PLC","Information Technology","Equity","15,240,930.19","0.57","15,240,930.19","470,307.00","S04052072","GB0004052071","0405207","32.41","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","15,221,900.71","0.57","15,221,900.71","10,365,789.00","-","GB00B63H8491","B63H849","1.47","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"CRDA","CRODA INTERNATIONAL PLC","Materials","Equity","14,677,745.62","0.55","14,677,745.62","173,430.00","-","GB00BJFFLV09","BJFFLV0","84.63","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"NXT","NEXT PLC","Consumer Discretionary","Equity","14,465,751.88","0.54","14,465,751.88","164,704.00","S32089864","GB0032089863","3208986","87.83","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"PSN","PERSIMMON PLC","Consumer Discretionary","Equity","14,082,862.98","0.52","14,082,862.98","395,109.00","S06825384","GB0006825383","0682538","35.64","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","13,941,607.76","0.52","13,941,607.76","10,467,065.00","-","-","-","133.19","United Kingdom","-","USD","0.75","GBP","-"
"SPX","SPIRAX-SARCO ENGINEERING PLC","Industrials","Equity","13,821,368.10","0.52","13,821,368.10","91,345.00","-","GB00BWFGQN14","BWFGQN1","151.31","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"MNDI","MONDI PLC","Materials","Equity","13,592,175.39","0.51","13,592,175.39","601,516.00","-","GB00B1CRLC47","B1CRLC4","22.60","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BNZL","BUNZL","Industrials","Equity","13,557,133.75","0.51","13,557,133.75","417,319.00","-","GB00B0744B38","B0744B3","32.49","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"MRO","MELROSE INDUSTRIES PLC","Industrials","Equity","13,199,368.84","0.49","13,199,368.84","6,015,058.00","-","GB00BZ1G4322","BZ1G432","2.19","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Consumer Discretionary","Equity","13,171,208.68","0.49","13,171,208.68","214,971.00","-","GB00BHJYC057","BHJYC05","61.27","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"INF","INFORMA PLC","Communication","Equity","12,957,928.17","0.48","12,957,928.17","1,860,853.00","-","GB00BMJ6DW54","BMJ6DW5","6.96","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","12,778,773.25","0.48","12,778,773.25","441,105.00","S06731236","GB0006731235","0673123","28.97","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"NWG","NATWEST GROUP PLC","Financials","Equity","12,279,661.68","0.46","12,279,661.68","6,008,023.00","-","GB00B7T77214","B7T7721","2.04","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BRBY","BURBERRY GROUP PLC","Consumer Discretionary","Equity","11,755,864.61","0.44","11,755,864.61","501,338.00","S31743008","GB0031743007","3174300","23.45","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RSA","RSA INSURANCE GROUP PLC","Financials","Equity","11,583,542.57","0.43","11,583,542.57","1,281,562.00","-","GB00BKKMKR23","BKKMKR2","9.04","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"ENT","ENTAIN PLC","Consumer Discretionary","Equity","10,899,409.29","0.41","10,899,409.29","722,884.00","-","IM00B5VQMV65","B5VQMV6","15.08","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BDEV","BARRATT DEVELOPMENTS PLC","Consumer Discretionary","Equity","10,651,327.62","0.40","10,651,327.62","1,256,567.00","S00811802","GB0000811801","0081180","8.48","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SGE","SAGE GROUP PLC","Information Technology","Equity","10,400,794.14","0.39","10,400,794.14","1,345,863.00","-","GB00B8C3BL03","B8C3BL0","7.73","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SLA","STANDARD LIFE ABERDEEN PLC","Financials","Equity","10,356,952.83","0.39","10,356,952.83","2,777,065.00","-","GB00BF8Q6K64","BF8Q6K6","3.73","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","10,207,781.17","0.38","10,207,781.17","849,079.00","-","GB00B39J2M42","B39J2M4","12.02","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SMIN","SMITHS GROUP PLC","Industrials","Equity","9,999,423.02","0.37","9,999,423.02","493,094.00","-","GB00B1WY2338","B1WY233","20.28","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"WTB","WHITBREAD PLC","Consumer Discretionary","Equity","9,951,944.13","0.37","9,951,944.13","249,057.00","-","GB00B1KJJ408","B1KJJ40","39.96","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"STJ","ST JAMESS PLACE PLC","Financials","Equity","9,893,984.85","0.37","9,893,984.85","667,403.00","S07669377","GB0007669376","0766937","14.82","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"TW.","TAYLOR WIMPEY PLC","Consumer Discretionary","Equity","9,503,747.07","0.35","9,503,747.07","4,514,529.00","S08782302","GB0008782301","0878230","2.11","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"KGF","KINGFISHER PLC","Consumer Discretionary","Equity","9,423,542.98","0.35","9,423,542.98","2,625,231.00","S33195215","GB0033195214","3319521","3.59","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","9,407,150.64","0.35","9,407,150.64","237,641.00","-","GB00B02J6398","B02J639","39.59","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"ANTO","ANTOFAGASTA PLC","Materials","Equity","9,262,110.58","0.35","9,262,110.58","488,500.00","S00456145","GB0000456144","0045614","18.96","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"AUTO","AUTO TRADER GROUP PLC","Communication","Equity","9,167,182.06","0.34","9,167,182.06","1,191,986.00","-","GB00BVYVFW23","BVYVFW2","7.69","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Consumer Discretionary","Equity","9,033,312.60","0.34","9,033,312.60","156,448.00","-","GB00B02L3W35","B02L3W3","57.74","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SVT","SEVERN TRENT PLC","Utilities","Equity","9,029,139.82","0.34","9,029,139.82","295,763.00","-","GB00B1FH8J72","B1FH8J7","30.53","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"DCC","DCC PLC","Industrials","Equity","8,709,693.72","0.32","8,709,693.72","122,546.00","-","IE0002424939","0242493","71.07","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"PSON","PEARSON PLC","Communication","Equity","8,297,267.92","0.31","8,297,267.92","932,547.00","S06776082","GB0006776081","0677608","8.90","United Kingdom","London Stock Exchange","USD","0.75","GBP","Jan 02, 1985"
"MNG","M&G PLC","Financials","Equity","8,264,159.94","0.31","8,264,159.94","3,220,637.00","-","GB00BKFB1C65","BKFB1C6","2.57","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"HL.","HARGREAVES LANSDOWN PLC","Financials","Equity","8,206,568.76","0.31","8,206,568.76","411,303.00","-","GB00B1VZ0M25","B1VZ0M2","19.95","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"JMAT","JOHNSON MATTHEY PLC","Materials","Equity","7,909,664.32","0.29","7,909,664.32","239,742.00","-","GB00BZ4BQC70","BZ4BQC7","32.99","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","7,726,048.73","0.29","7,726,048.73","248,099.00","-","CH0198251305","B9895B7","31.14","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","7,636,836.59","0.28","7,636,836.59","874,554.00","-","GB00BYW0PQ60","BYW0PQ6","8.73","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"HIK","HIKMA PHARMACEUTICALS PLC","Health Care","Equity","7,249,982.01","0.27","7,249,982.01","214,128.00","-","GB00B0LCW083","B0LCW08","33.86","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BLND","BRITISH LAND REIT PLC","Real Estate","Equity","6,899,631.86","0.26","6,899,631.86","1,090,547.00","S01367010","GB0001367019","0136701","6.33","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"DLG","DIRECT LINE INSURANCE PLC","Financials","Equity","6,853,420.98","0.26","6,853,420.98","1,690,343.00","-","GB00BY9D0Y18","BY9D0Y1","4.05","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"MRW","MORRISON(WM.)SUPERMARKETS PLC","Consumer Staples","Equity","6,850,333.10","0.26","6,850,333.10","2,981,499.00","S06043160","GB0006043169","0604316","2.30","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SDR","SCHRODERS PLC","Financials","Equity","6,728,948.21","0.25","6,728,948.21","153,976.00","S02405496","GB0002405495","0240549","43.70","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","6,449,677.67","0.24","6,449,677.67","2,198,040.00","-","GB00B019KW72","B019KW7","2.93","United Kingdom","London Stock Exchange","USD","0.75","GBP","Jan 02, 1985"
"PHNX","PHOENIX GROUP HOLDINGS PLC","Financials","Equity","6,241,333.21","0.23","6,241,333.21","676,561.00","-","GB00BGXQNP29","BGXQNP2","9.23","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"AVV","AVEVA GROUP PLC","Information Technology","Equity","6,055,943.39","0.23","6,055,943.39","142,128.00","-","GB00BBG9VN75","BBG9VN7","42.61","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"JD.","JD SPORTS FASHION PLC","Consumer Discretionary","Equity","5,685,187.17","0.21","5,685,187.17","541,390.00","-","GB00BYX91H57","BYX91H5","10.50","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"EVR","EVRAZ","Materials","Equity","3,857,136.04","0.14","3,857,136.04","624,107.00","-","GB00B71N6K86","B71N6K8","6.18","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"FRES","FRESNILLO PLC","Materials","Equity","3,575,179.98","0.13","3,575,179.98","230,302.00","-","GB00B2QPKJ12","B2QPKJ1","15.52","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1,895,909.30","0.07","1,895,909.30","1,552,433.00","-","-","-","122.13","European Union","-","USD","0.82","EUR","-"
"UBFUT","CASH COLLATERAL GBP UBFUT","Cash and/or Derivatives","Cash Collateral and Margins","1,765,206.70","0.07","1,765,206.70","1,325,280.00","-","-","-","133.19","United Kingdom","-","USD","0.75","GBP","Oct 15, 2015"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","740,000.00","0.03","740,000.00","740,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","92.10","0.00","92.10","82.00","-","-","-","112.68","Switzerland","-","USD","0.89","CHF","-"
"NMC","NMC HEALTH PLC","Health Care","Equity","1.63","0.00","1.63","122,262.00","-","GB00B7FC0762","B7FC076","0.00","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"Z H1","FTSE 100 INDEX MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","17,226,282.50","203.00","-","GB00J6C6FT38","-","8,485.84","-","IFLL","USD","0.75","GBP","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-686,968.16","-0.03","-686,968.16","-686,968.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
