Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RMV","RIGHTMOVE PLC","Communication","Equity","998,066.34","1.46","998,066.34","119,129.00","-","GB00BGDT3G23","BGDT3G2","8.38","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SMDS","SMITH (DS) PLC","Materials","Equity","961,948.14","1.40","961,948.14","187,296.00","S08220113","GB0008220112","0822011","5.14","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Financials","Equity","947,157.30","1.38","947,157.30","39,620.00","-","GB00BYT1DJ19","BYT1DJ1","23.91","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BME","B&M EUROPEAN VALUE RETAIL SA","Consumer Discretionary","Equity","939,909.41","1.37","939,909.41","122,830.00","-","LU1072616219","BMTRW10","7.65","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"WEIR","WEIR GROUP PLC","Industrials","Equity","935,733.06","1.37","935,733.06","35,422.00","S09465808","GB0009465807","0946580","26.42","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrials","Equity","795,964.34","1.16","795,964.34","81,449.00","S05576814","GB0005576813","0557681","9.77","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ECM","ELECTROCOMPONENTS PLC","Industrials","Equity","770,070.58","1.12","770,070.58","61,012.00","S03096443","GB0003096442","0309644","12.62","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"GFS","G4S PLC","Industrials","Equity","754,878.19","1.10","754,878.19","211,640.00","-","GB00B01FLG62","B01FLG6","3.57","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"PNN","PENNON GROUP PLC","Utilities","Equity","747,242.07","1.09","747,242.07","57,488.00","-","GB00B18V8630","B18V863","13.00","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DPH","DECHRA PHARMACEUTICALS PLC","Health Care","Equity","730,549.51","1.07","730,549.51","14,733.00","S09633181","GB0009633180","0963318","49.59","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ITV","ITV PLC","Communication","Equity","720,854.87","1.05","720,854.87","494,193.00","S33986498","GB0033986497","3398649","1.46","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ASC","ASOS PLC","Consumer Discretionary","Equity","706,540.42","1.03","706,540.42","10,205.00","S30927255","GB0030927254","3092725","69.23","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"RMG","ROYAL MAIL PLC","Industrials","Equity","692,146.15","1.01","692,146.15","122,762.00","-","GB00BDVZYZ77","BDVZYZ7","5.64","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BWY","BELLWAY PLC","Consumer Discretionary","Equity","677,981.54","0.99","677,981.54","16,826.00","S00904987","GB0000904986","0090498","40.29","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SXS","SPECTRIS PLC","Information Technology","Equity","665,869.45","0.97","665,869.45","15,844.00","S03308608","GB0003308607","0330860","42.03","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"TPK","TRAVIS PERKINS PLC","Industrials","Equity","661,798.60","0.97","661,798.60","34,398.00","S07739600","GB0007739609","0773960","19.24","United Kingdom","London Stock Exchange","USD","0.73","GBP","Sep 19, 1986"
"IMI","IMI PLC","Industrials","Equity","654,070.76","0.95","654,070.76","37,130.00","-","GB00BGLP8L22","BGLP8L2","17.62","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BOO","BOOHOO GROUP PLC","Consumer Discretionary","Equity","652,727.85","0.95","652,727.85","137,382.00","-","JE00BG6L7297","BG6L729","4.75","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SIG","SIGNATURE AVIATION PLC","Industrials","Equity","646,236.36","0.94","646,236.36","112,871.00","-","GB00BKDM7X41","BKDM7X4","5.73","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"GNS","GENUS PLC","Health Care","Equity","637,875.57","0.93","637,875.57","8,879.00","S02074581","GB0002074580","0207458","71.84","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"TATE","TATE AND LYLE PLC","Consumer Staples","Equity","622,867.19","0.91","622,867.19","63,897.00","S08754137","GB0008754136","0875413","9.75","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ABC","ABCAM PLC","Health Care","Equity","621,584.55","0.91","621,584.55","28,016.00","-","GB00B6774699","B677469","22.19","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AVST","AVAST PLC","Information Technology","Equity","620,771.76","0.91","620,771.76","90,898.00","-","GB00BDD85M81","BDD85M8","6.83","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DLN","DERWENT LONDON REIT PLC","Real Estate","Equity","614,826.53","0.90","614,826.53","14,507.00","S02652741","GB0002652740","0265274","42.38","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HSV","HOMESERVE PLC","Industrials","Equity","609,010.46","0.89","609,010.46","41,250.00","-","GB00BYYTFB60","BYYTFB6","14.76","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HSX","HISCOX LTD","Financials","Equity","608,699.06","0.89","608,699.06","47,236.00","G4593F138","BMG4593F1389","BVZHXQ9","12.89","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"MGGT","MEGGITT PLC","Industrials","Equity","602,331.32","0.88","602,331.32","106,497.00","S05758099","GB0005758098","0575809","5.66","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"GAW","GAMES WORKSHOP GROUP PLC","Consumer Discretionary","Equity","591,156.66","0.86","591,156.66","4,235.00","S03718475","GB0003718474","0371847","139.59","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BBOX","TRITAX BIG BOX REIT PLC","Real Estate","Equity","586,518.18","0.86","586,518.18","232,850.00","-","GB00BG49KP99","BG49KP9","2.52","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CTEC","CONVATEC GROUP PLC","Health Care","Equity","570,826.83","0.83","570,826.83","204,668.00","-","GB00BD3VFW73","BD3VFW7","2.79","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CNA","CENTRICA PLC","Utilities","Equity","563,394.13","0.82","563,394.13","796,478.00","-","GB00B033F229","B033F22","0.71","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DPLM","DIPLOMA PLC","Industrials","Equity","554,135.46","0.81","554,135.46","16,992.00","S01826635","GB0001826634","0182663","32.61","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"UTG","UNITE GROUP PLC","Real Estate","Equity","551,361.29","0.80","551,361.29","43,449.00","S06928618","GB0006928617","0692861","12.69","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ROR","ROTORK PLC","Industrials","Equity","544,195.62","0.79","544,195.62","119,052.00","-","GB00BVFNZH21","BVFNZH2","4.57","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"QLT","QUILTER PLC","Financials","Equity","538,941.10","0.79","538,941.10","249,825.00","-","GB00BDCXV269","BDCXV26","2.16","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"IGG","IG GROUP HOLDINGS PLC","Financials","Equity","533,824.04","0.78","533,824.04","50,513.00","-","GB00B06QFB75","B06QFB7","10.57","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Discretionary","Equity","506,115.56","0.74","506,115.56","266,463.00","S31274897","GB0031274896","3127489","1.90","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"WMH","WILLIAM HILL PLC","Consumer Discretionary","Equity","500,243.25","0.73","500,243.25","135,984.00","S31698897","GB0031698896","3169889","3.68","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"INCH","INCHCAPE PLC","Consumer Discretionary","Equity","496,671.03","0.72","496,671.03","53,647.00","-","GB00B61TVQ02","B61TVQ0","9.26","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"TUI","TUI AG","Consumer Discretionary","Equity","491,068.29","0.72","491,068.29","104,467.00","-","DE000TUAG000","B11LJN4","4.70","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"IWG","IWG","Real Estate","Equity","470,621.56","0.69","470,621.56","102,895.00","-","JE00BYVQYS01","BYVQYS0","4.57","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"FEVR","FEVERTREE DRINKS PLC","Consumer Staples","Equity","467,412.20","0.68","467,412.20","14,273.00","-","GB00BRJ9BJ26","BRJ9BJ2","32.75","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ITM","ITM POWER PLC","Industrials","Equity","467,027.09","0.68","467,027.09","52,576.00","-","GB00B0130H42","B0130H4","8.88","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CSP","COUNTRYSIDE PROP PLC","Consumer Discretionary","Equity","457,094.28","0.67","457,094.28","71,518.00","-","GB00BYPHNG03","BYPHNG0","6.39","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HAS","HAYS PLC","Industrials","Equity","443,090.02","0.65","443,090.02","228,681.00","S04161022","GB0004161021","0416102","1.94","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"EMG","MAN GROUP PLC","Financials","Equity","417,169.82","0.61","417,169.82","201,736.00","-","JE00BJ1DLW90","BJ1DLW9","2.07","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"RSW","RENISHAW PLC","Information Technology","Equity","413,445.14","0.60","413,445.14","4,951.00","S07323587","GB0007323586","0732358","83.51","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CBG","CLOSE BROS GROUP PLC","Financials","Equity","412,033.53","0.60","412,033.53","20,598.00","S07668072","GB0007668071","0766807","20.00","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"GRG","GREGGS PLC","Consumer Discretionary","Equity","404,047.33","0.59","404,047.33","13,876.00","-","GB00B63QSB39","B63QSB3","29.12","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
