Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMXL","AMERICA MOVIL L","Communication","Equity","194,066,625.96","15.59","194,066,625.96","269,933,918.00","S26674705","MXP001691213","2667470","0.72","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","113,984,356.80","9.16","113,984,356.80","40,859,133.00","-","MX01WA000038","BW1YVH8","2.79","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","112,766,081.06","9.06","112,766,081.06","15,158,410.00","S22420590","MXP320321310","2242059","7.44","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","100,556,385.84","8.08","100,556,385.84","18,673,961.00","S24210411","MXP370711014","2421041","5.38","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","68,668,978.86","5.52","68,668,978.86","16,210,686.00","S26436741","MXP370841019","2643674","4.24","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"CEMEXCPO","CEMEX CPO","Materials","Equity","57,397,062.70","4.61","57,397,062.70","111,785,229.00","S24064578","MXP225611567","2406457","0.51","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","35,834,757.59","2.88","35,834,757.59","3,278,749.00","-","MX01GA000004","B0ZV104","10.93","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","32,792,082.88","2.63","32,792,082.88","20,667,547.00","S23801087","MXP4987V1378","2380108","1.59","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","30,737,446.90","2.47","30,737,446.90","14,343,904.00","S23924715","MXP495211262","2392471","2.14","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","30,477,353.60","2.45","30,477,353.60","27,407,800.00","-","MXCFFU000001","B671GT8","1.11","Mexico","Bolsa Mexicana De Valores","USD","20.10","MXN","-"
