Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,668,742,197.38","22.15","1,668,742,197.38","23,122,829.00","S67717207","KR7005930003","6771720","72.17","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"000660","SK HYNIX INC","Information Technology","Equity","491,431,439.83","6.52","491,431,439.83","4,110,915.00","S64502677","KR7000660001","6450267","119.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"035420","NAVER CORP","Communication","Equity","315,659,761.80","4.19","315,659,761.80","930,743.00","S65603938","KR7035420009","6560393","339.15","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"051910","LG CHEM LTD","Materials","Equity","250,007,680.86","3.32","250,007,680.86","352,037.00","S63469134","KR7051910008","6346913","710.17","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","245,268,172.32","3.26","245,268,172.32","428,101.00","S67716456","KR7006400006","6771645","572.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","223,733,195.34","2.97","223,733,195.34","1,172,445.00","S64510555","KR7005380001","6451055","190.83","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"068270","CELLTRION INC","Health Care","Equity","203,343,708.49","2.70","203,343,708.49","731,325.00","-","KR7068270008","B0C5YV1","278.05","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"035720","KAKAO CORP","Communication","Equity","181,848,175.86","2.41","181,848,175.86","414,871.00","S61940375","KR7035720002","6194037","438.32","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"005490","POSCO","Materials","Equity","167,704,239.79","2.23","167,704,239.79","595,561.00","S66932336","KR7005490008","6693233","281.59","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"000270","KIA MOTORS CORP","Consumer Discretionary","Equity","149,891,019.92","1.99","149,891,019.92","2,100,148.00","S64909286","KR7000270009","6490928","71.37","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","142,831,753.83","1.90","142,831,753.83","3,031,953.00","-","KR7105560007","B3DF0Y6","47.11","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","132,144,940.67","1.75","132,144,940.67","526,389.00","S64495443","KR7012330007","6449544","251.04","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","112,503,799.92","1.49","112,503,799.92","3,476,075.00","S63975023","KR7055550008","6397502","32.37","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"036570","NCSOFT CORP","Communication","Equity","110,528,826.71","1.47","110,528,826.71","138,998.00","S62641899","KR7036570000","6264189","795.18","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","109,044,306.21","1.45","109,044,306.21","861,145.00","S65207391","KR7066570003","6520739","126.63","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","108,477,808.61","1.44","108,477,808.61","122,503,989,261.00","-","-","-","0.09","Korea (South)","-","USD","1,129.30","KRW","-"
"051900","LG HOUSEHOLD & HEALTH CARE LTD","Consumer Staples","Equity","98,300,901.44","1.30","98,300,901.44","72,842.00","S63444566","KR7051900009","6344456","1,349.51","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","87,017,975.74","1.15","87,017,975.74","135,544.00","-","KR7207940008","BYNJCV6","641.99","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"096770","SK INNOVATION LTD","Energy","Equity","86,120,473.74","1.14","86,120,473.74","465,339.00","-","KR7096770003","B232R05","185.07","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","84,703,564.15","1.12","84,703,564.15","2,347,380.00","-","KR7086790003","B0RNRF5","36.08","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","76,278,879.84","1.01","76,278,879.84","461,886.00","S67716894","KR7009150004","6771689","165.15","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"028260","SAMSUNG C&T CORP","Industrials","Equity","73,901,292.84","0.98","73,901,292.84","678,510.00","-","KR7028260008","BSXN8K7","108.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"034730","SK HOLDINGS LTD","Industrials","Equity","68,864,997.79","0.91","68,864,997.79","282,284.00","-","KR7034730002","B39Z8L3","243.96","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"017670","SK TELECOM LTD","Communication","Equity","68,477,678.21","0.91","68,477,678.21","282,233.00","S62248711","KR7017670001","6224871","242.63","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"033780","KT&G CORP","Consumer Staples","Equity","64,745,031.44","0.86","64,745,031.44","909,410.00","S61750766","KR7033780008","6175076","71.19","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"091990","CELLTRION HEALTHCARE LTD","Health Care","Equity","62,555,905.43","0.83","62,555,905.43","519,444.00","-","KR7091990002","BYZ6DH8","120.43","Korea (South)","Korea Exchange (Kosdaq)","USD","1,129.30","KRW","-"
"090430","AMOREPACIFIC CORP","Consumer Staples","Equity","61,298,360.05","0.81","61,298,360.05","268,311.00","-","KR7090430000","B15SK50","228.46","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"003550","LG CORP","Industrials","Equity","61,030,003.36","0.81","61,030,003.36","772,659.00","S65370306","KR7003550001","6537030","78.99","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"009830","HANWHA SOLUTIONS CORP","Materials","Equity","56,292,378.02","0.75","56,292,378.02","1,332,725.00","S64077688","KR7009830001","6407768","42.24","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"011780","KUMHO PETRO CHEMICAL LTD","Materials","Equity","51,616,846.72","0.69","51,616,846.72","243,895.00","S64993231","KR7011780004","6499323","211.64","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"003670","POSCO CHEMICAL LTD","Materials","Equity","50,406,651.91","0.67","50,406,651.91","389,892.00","S64194517","KR7003670007","6419451","129.28","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"003490","KOREAN AIR LINES LTD","Industrials","Equity","48,009,786.86","0.64","48,009,786.86","1,932,886.00","S64967664","KR7003490000","6496766","24.84","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"018260","SAMSUNG SDS LTD","Information Technology","Equity","46,899,638.71","0.62","46,899,638.71","283,988.00","-","KR7018260000","BRS2KY0","165.15","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
