Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","979,263,902.71","14.90","979,263,902.71","57,989,332.00","S21962865","BRVALEACNOR0","2196286","16.89","Brazil","XBSP","USD","5.18","BRL","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","457,460,893.03","6.96","457,460,893.03","74,896,747.00","-","BRITUBACNPR1","B037HR3","6.11","Brazil","XBSP","USD","5.18","BRL","-"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","390,838,581.50","5.95","390,838,581.50","71,417,683.00","S26845321","BRPETRACNPR6","2684532","5.47","Brazil","XBSP","USD","5.18","BRL","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","373,150,790.17","5.68","373,150,790.17","31,177,477.00","-","BRB3SAACNOR6","BG36ZK1","11.97","Brazil","XBSP","USD","5.18","BRL","-"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","354,288,014.29","5.39","354,288,014.29","67,601,260.00","-","BRBBDCACNPR8","B00FM53","5.24","Brazil","XBSP","USD","5.18","BRL","-"
"PETR3","PETROBRAS","Energy","Equity","311,686,568.76","4.74","311,686,568.76","55,947,469.00","S26823658","BRPETRACNOR9","2682365","5.57","Brazil","XBSP","USD","5.18","BRL","-"
"MGLU3","MAGAZINE LUIZA SA","Consumer Discretionary","Equity","240,187,864.36","3.65","240,187,864.36","49,852,700.00","-","BRMGLUACNOR2","B4975P9","4.82","Brazil","XBSP","USD","5.18","BRL","-"
"ABEV3","AMBEV SA","Consumer Staples","Equity","218,729,054.61","3.33","218,729,054.61","72,376,955.00","-","BRABEVACNOR1","BG7ZWY7","3.02","Brazil","XBSP","USD","5.18","BRL","-"
"WEGE3","WEG SA","Industrials","Equity","210,982,983.84","3.21","210,982,983.84","14,425,481.00","S29454220","BRWEGEACNOR0","2945422","14.63","Brazil","XBSP","USD","5.18","BRL","-"
"NTCO3","NATURA CO HOLDING SA","Consumer Staples","Equity","154,212,356.74","2.35","154,212,356.74","15,211,360.00","-","BRNTCOACNOR5","BJRFY31","10.14","Brazil","XBSP","USD","5.18","BRL","-"
