Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ENEV3","ENEVA SA","Utilities","Equity","4,135,429.11","3.58","4,135,429.11","330,400.00","-","BRENEVACNOR8","BFWHKM5","12.52","Brazil","XBSP","USD","5.33","BRL","-"
"AZUL4","AZUL PREF SA","Industrials","Equity","3,755,470.42","3.25","3,755,470.42","532,000.00","-","BRAZULACNPR4","BD97PR4","7.06","Brazil","XBSP","USD","5.33","BRL","-"
"BIDI11","BANCO INTER UNT SA","Financials","Equity","3,655,115.49","3.16","3,655,115.49","144,174.00","-","BRBIDICDAXX3","BK8XXW3","25.35","Brazil","XBSP","USD","5.33","BRL","-"
"YDUQ3","YDUQS PARTICIPACOES SA","Consumer Discretionary","Equity","3,447,000.28","2.98","3,447,000.28","532,037.00","-","BRYDUQACNOR3","BJGV3C2","6.48","Brazil","XBSP","USD","5.33","BRL","-"
"LCAM3","COMPANHIA DE LOCACAO DAS AMERICAS","Industrials","Equity","3,297,788.73","2.85","3,297,788.73","622,500.00","-","BRLCAMACNOR3","B82CQN4","5.30","Brazil","XBSP","USD","5.33","BRL","-"
"COGN3","COGNA EDUCACAO SA","Consumer Discretionary","Equity","3,104,056.34","2.68","3,104,056.34","3,570,000.00","-","BRCOGNACNOR2","BHNWPB7","0.87","Brazil","XBSP","USD","5.33","BRL","-"
"LWSA3","LOCAWEB SERVICOS DE INTERNET SA","Information Technology","Equity","3,040,379.34","2.63","3,040,379.34","154,000.00","-","BRLWSAACNOR8","BL3W4C9","19.74","Brazil","XBSP","USD","5.33","BRL","-"
"CYRE3","CYRELA BRAZIL REALTY SA","Consumer Discretionary","Equity","3,019,749.50","2.61","3,019,749.50","569,008.00","S21898556","BRCYREACNOR7","2189855","5.31","Brazil","XBSP","USD","5.33","BRL","-"
"GOAU4","METALURGICA GERDAU PREF SA","Materials","Equity","2,986,193.43","2.58","2,986,193.43","1,372,000.00","S26488627","BRGOAUACNPR8","2648862","2.18","Brazil","XBSP","USD","5.33","BRL","-"
"PRIO3","PETRO RIO SA","Energy","Equity","2,686,028.17","2.32","2,686,028.17","194,600.00","-","BRPRIOACNOR1","BYY0144","13.80","Brazil","XBSP","USD","5.33","BRL","-"
"BRML3","BR MALLS PARTICIPACOES SA","Real Estate","Equity","2,658,422.54","2.30","2,658,422.54","1,498,000.00","-","BRBRMLACNOR9","B1RYG58","1.77","Brazil","XBSP","USD","5.33","BRL","-"
"QUAL3","QUALICORP SA","Health Care","Equity","2,650,456.34","2.29","2,650,456.34","434,000.00","-","BRQUALACNOR6","B4LHBQ0","6.11","Brazil","XBSP","USD","5.33","BRL","-"
"TAEE11","TRANSMISSORA ALIANCA ENERGIA ELETR","Utilities","Equity","2,636,324.13","2.28","2,636,324.13","416,200.00","-","BRTAEECDAM10","B1G8KX7","6.33","Brazil","XBSP","USD","5.33","BRL","-"
"IRBR3","IRB BRASIL RESSEGUROS SA","Financials","Equity","2,577,577.46","2.23","2,577,577.46","1,806,000.00","-","BRIRBRACNOR4","BYZ6D56","1.43","Brazil","XBSP","USD","5.33","BRL","-"
"EMBR3","EMBRAER SA","Industrials","Equity","2,365,277.00","2.05","2,365,277.00","1,330,000.00","-","BREMBRACNOR4","B16FPG6","1.78","Brazil","XBSP","USD","5.33","BRL","-"
"DTEX3","DURATEX SA","Materials","Equity","2,321,081.69","2.01","2,321,081.69","588,000.00","-","BRDTEXACNOR3","B27WY88","3.95","Brazil","XBSP","USD","5.33","BRL","-"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES SA","Consumer Discretionary","Equity","2,179,740.85","1.89","2,179,740.85","588,000.00","-","BRMRVEACNOR2","B235JN1","3.71","Brazil","XBSP","USD","5.33","BRL","-"
"ENBR3","ENERGIAS DO BRASIL SA BRAZIL","Utilities","Equity","2,174,193.43","1.88","2,174,193.43","574,000.00","-","BRENBRACNOR2","B0D7494","3.79","Brazil","XBSP","USD","5.33","BRL","-"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","Materials","Equity","2,117,601.88","1.83","2,117,601.88","785,800.00","S23860091","BRUSIMACNPA6","2386009","2.69","Brazil","XBSP","USD","5.33","BRL","-"
"CESP6","COMPANHIA ENERGETICA DE SAO PAULO","Utilities","Equity","2,054,042.25","1.78","2,054,042.25","355,700.00","-","BRCESPACNPB4","B17MHG0","5.77","Brazil","XBSP","USD","5.33","BRL","-"
