Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","11,108,835.10","2.87","11,108,835.10","52,415.00","438516106","US4385161066","2020459","211.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","10,251,337.80","2.65","10,251,337.80","50,699.00","907818108","US9078181081","2914734","202.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","9,214,642.41","2.38","9,214,642.41","52,809.00","911312106","US9113121068","2517382","174.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","8,766,635.00","2.26","8,766,635.00","39,625.00","097023105","US0970231058","2108601","221.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIE","SIEMENS N AG","Industrials","Equity","8,610,862.78","2.22","8,610,862.78","60,310.00","S57279739","DE0007236101","5727973","142.78","Germany","Xetra","USD","0.82","EUR","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","8,059,953.36","2.08","8,059,953.36","114,099.00","75513E101","US75513E1010","BM5M5Y3","70.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","7,599,659.65","1.96","7,599,659.65","43,021.00","88579Y101","US88579Y1010","2595708","176.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","7,246,351.48","1.87","7,246,351.48","40,444.00","149123101","US1491231015","2180201","179.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","7,113,006.72","1.84","7,113,006.72","653,769.00","369604103","US3696041033","2380498","10.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","6,477,262.00","1.67","6,477,262.00","18,370.00","539830109","US5398301094","2522096","352.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","6,190,795.59","1.60","6,190,795.59","23,403.00","244199105","US2441991054","2261203","264.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","5,918,379.94","1.53","5,918,379.94","53,224.00","136375102","CA1363751027","2180632","111.20","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","5,737,230.36","1.48","5,737,230.36","40,235.00","S48341085","FR0000121972","4834108","142.59","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"FDX","FEDEX CORP","Industrials","Equity","5,260,680.00","1.36","5,260,680.00","18,000.00","31428X106","US31428X1063","2142784","292.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","5,164,700.35","1.33","5,164,700.35","57,037.00","126408103","US1264081035","2160753","90.55","United States","NASDAQ","USD","1.00","USD","-"
"6594","NIDEC CORP","Industrials","Equity","5,127,238.32","1.32","5,127,238.32","41,000.00","S66406828","JP3734800000","6640682","125.05","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"AIR","AIRBUS GROUP","Industrials","Equity","5,054,866.41","1.30","5,054,866.41","45,675.00","S40122509","NL0000235190","4012250","110.67","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","5,049,062.94","1.30","5,049,062.94","126,700.00","-","JP3970300004","BQRRZ00","39.85","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","4,768,962.00","1.23","4,768,962.00","22,000.00","S62507249","JP3481800005","6250724","216.77","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","4,428,685.57","1.14","4,428,685.57","21,487.00","452308109","US4523081093","2457552","206.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","4,395,567.26","1.13","4,395,567.26","19,054.00","655844108","US6558441084","2641894","230.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","VINCI SA","Industrials","Equity","3,962,544.89","1.02","3,962,544.89","37,964.00","-","FR0000125486","B1XH026","104.38","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"ABBN","ABB LTD","Industrials","Equity","3,894,309.10","1.00","3,894,309.10","142,504.00","S71088991","CH0012221716","7108899","27.33","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"DPW","DEUTSCHE POST AG","Industrials","Equity","3,681,145.96","0.95","3,681,145.96","72,527.00","S46178596","DE0005552004","4617859","50.76","Germany","Xetra","USD","0.82","EUR","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","3,622,333.12","0.93","3,622,333.12","44,632.00","291011104","US2910111044","2313405","81.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REL","RELX PLC","Industrials","Equity","3,589,653.26","0.93","3,589,653.26","147,986.00","-","GB00B2B0DG97","B2B0DG9","24.26","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"6954","FANUC CORP","Industrials","Equity","3,549,803.46","0.92","3,549,803.46","14,100.00","S63569347","JP3802400006","6356934","251.76","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"SAF","SAFRAN SA","Industrials","Equity","3,507,103.92","0.91","3,507,103.92","24,532.00","-","FR0000073272","B058TZ6","142.96","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","3,492,097.52","0.90","3,492,097.52","11,614.00","666807102","US6668071029","2648806","300.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CP","CANADIAN PACIFIC RAILWAY LTD","Industrials","Equity","3,473,407.70","0.90","3,473,407.70","10,120.00","13645T100","CA13645T1003","2793115","343.22","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"ETN","EATON PLC","Industrials","Equity","3,445,095.78","0.89","3,445,095.78","29,882.00","-","IE00B8KQN827","B8KQN82","115.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","3,400,386.87","0.88","3,400,386.87","28,937.00","94106L109","US94106L1098","2937667","117.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Industrials","Equity","3,322,112.64","0.86","3,322,112.64","7,816.00","776696106","US7766961061","2749602","425.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","3,202,583.96","0.83","3,202,583.96","14,854.00","S59646513","DK0010268606","5964651","215.60","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.08","DKK","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","2,996,245.14","0.77","2,996,245.14","16,134.00","502431109","US5024311095","BK9DTN5","185.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8001","ITOCHU CORP","Industrials","Equity","2,946,383.27","0.76","2,946,383.27","104,900.00","S64678030","JP3143600009","6467803","28.09","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"6273","SMC (JAPAN) CORP","Industrials","Equity","2,921,677.10","0.75","2,921,677.10","4,700.00","S67639658","JP3162600005","6763965","621.63","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"VOLV B","VOLVO CLASS B","Industrials","Equity","2,803,968.71","0.72","2,803,968.71","118,078.00","928856301","SE0000115446","B1QH830","23.75","Sweden","Nasdaq Omx Nordic","USD","8.27","SEK","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","2,626,751.52","0.68","2,626,751.52","17,328.00","369550108","US3695501086","2365161","151.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","2,620,673.70","0.68","2,620,673.70","9,589.00","701094104","US7010941042","2671501","273.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8058","MITSUBISHI CORP","Industrials","Equity","2,610,144.13","0.67","2,610,144.13","105,300.00","S65967853","JP3898400001","6596785","24.79","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","2,590,888.10","0.67","2,590,888.10","55,778.00","-","IE00BY7QL619","BY7QL61","46.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPN","EXPERIAN PLC","Industrials","Equity","2,579,163.93","0.67","2,579,163.93","68,598.00","-","GB00B19NLV48","B19NLV4","37.60","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"DSV","DSV PANALPINA","Industrials","Equity","2,520,192.56","0.65","2,520,192.56","15,282.00","-","DK0060079531","B1WT5G2","164.91","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.08","DKK","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","2,519,556.81","0.65","2,519,556.81","17,873.00","-","IE00BK9ZQ967","BK9ZQ96","140.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","2,501,532.03","0.65","2,501,532.03","48,248.00","-","SE0011166610","BD97BN2","51.85","Sweden","Nasdaq Omx Nordic","USD","8.27","SEK","-"
"CMI","CUMMINS INC","Industrials","Equity","2,459,070.58","0.63","2,459,070.58","11,006.00","231021106","US2310211063","2240202","223.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INFO","IHS MARKIT LTD","Industrials","Equity","2,442,414.08","0.63","2,442,414.08","27,856.00","-","BMG475671050","BD0Q558","87.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","2,440,638.72","0.63","2,440,638.72","12,128.00","92345Y106","US92345Y1064","B4P9W92","201.24","United States","NASDAQ","USD","1.00","USD","-"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","2,428,969.28","0.63","2,428,969.28","161,100.00","S65970451","JP3902400005","6597045","15.08","Japan","Tokyo Stock Exchange","USD","103.04","JPY","-"
"KNEBV","KONE","Industrials","Equity","2,421,889.33","0.62","2,421,889.33","29,805.00","-","FI0009013403","B09M9D2","81.26","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","2,418,530.70","0.62","2,418,530.70","4,042.00","893641100","US8936411003","B11FJK3","598.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,390,000.00","0.62","2,390,000.00","2,390,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
