Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ASML","ASML HOLDING NV","Information Technology","Equity","231,669,913.73","4.67","231,669,913.73","413,979.00","-","NL0010273215","B929F46","559.62","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"MC","LVMH","Consumer Discretionary","Equity","164,372,398.56","3.32","164,372,398.56","269,992.00","S40614125","FR0000121014","4061412","608.81","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"SAP","SAP","Information Technology","Equity","129,994,797.78","2.62","129,994,797.78","1,015,618.00","S48462881","DE0007164600","4846288","128.00","Germany","Xetra","USD","0.82","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","115,844,575.63","2.34","115,844,575.63","744,021.00","S57279739","DE0007236101","5727973","155.70","Germany","Xetra","USD","0.82","EUR","-"
"SAN","SANOFI SA","Health Care","Equity","108,842,727.75","2.20","108,842,727.75","1,100,984.00","S56717358","FR0000120578","5671735","98.86","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"FP","TOTAL","Energy","Equity","105,115,400.55","2.12","105,115,400.55","2,451,411.00","-","FR0000120271","B15C557","42.88","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"ALV","ALLIANZ","Financials","Equity","93,745,980.60","1.89","93,745,980.60","405,735.00","S52314853","DE0008404005","5231485","231.05","Germany","Xetra","USD","0.82","EUR","-"
"OR","LOREAL SA","Consumer Staples","Equity","88,774,171.62","1.79","88,774,171.62","244,768.00","S40578080","FR0000120321","4057808","362.69","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","83,162,368.55","1.68","83,162,368.55","5,867,287.00","-","ES0144580Y14","B288C92","14.17","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"ENEL","ENEL","Utilities","Equity","80,087,599.92","1.62","80,087,599.92","7,921,344.00","S71445696","IT0003128367","7144569","10.11","Italy","Borsa Italiana","USD","0.82","EUR","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","79,254,917.22","1.60","79,254,917.22","523,961.00","S48341085","FR0000121972","4834108","151.26","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","73,380,892.79","1.48","73,380,892.79","460,391.00","-","FR0000120073","B1YXBJ7","159.39","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"BAS","BASF N","Materials","Equity","69,908,948.03","1.41","69,908,948.03","893,121.00","S50865773","DE000BASF111","5086577","78.28","Germany","Xetra","USD","0.82","EUR","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","60,399,858.78","1.22","60,399,858.78","185,107.00","S40319766","DE000A1EWWW0","4031976","326.30","Germany","Xetra","USD","0.82","EUR","-"
"BAYN","BAYER AG","Health Care","Equity","59,649,723.85","1.20","59,649,723.85","955,047.00","S50692110","DE000BAY0017","5069211","62.46","Germany","Xetra","USD","0.82","EUR","-"
"PRX","PROSUS NV","Consumer Discretionary","Equity","59,133,183.89","1.19","59,133,183.89","474,679.00","-","NL0013654783","BJDS7L3","124.58","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","58,864,139.44","1.19","58,864,139.44","571,789.00","S40122509","NL0000235190","4012250","102.95","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","58,644,448.60","1.18","58,644,448.60","3,240,390.00","S58423591","DE0005557508","5842359","18.10","Germany","Xetra","USD","0.82","EUR","-"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","57,975,846.79","1.17","57,975,846.79","832,093.00","S55290274","DE0007100000","5529027","69.67","Germany","Xetra","USD","0.82","EUR","-"
"BNP","BNP PARIBAS SA","Financials","Equity","54,690,561.65","1.10","54,690,561.65","1,093,549.00","S73096810","FR0000131104","7309681","50.01","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
