Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","7,628,871.74","12.58","7,628,871.74","165,629.00","30231G102","US30231G1022","2326618","46.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","6,710,594.66","11.06","6,710,594.66","75,383.00","166764100","US1667641005","2838555","89.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FP","TOTAL","Energy","Equity","4,285,275.04","7.07","4,285,275.04","98,701.00","-","FR0000120271","B15C557","43.42","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","3,012,494.72","4.97","3,012,494.72","160,645.00","-","GB00B03MLX29","B03MLX2","18.75","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BP.","BP PLC","Energy","Equity","3,011,309.66","4.97","3,011,309.66","793,791.00","S07980592","GB0007980591","0798059","3.79","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Energy","Equity","2,587,064.34","4.27","2,587,064.34","145,159.00","-","GB00B03MM408","B03MM40","17.82","United Kingdom","London Stock Exchange","USD","0.73","GBP","Dec 12, 1988"
"COP","CONOCOPHILLIPS","Energy","Equity","2,191,615.21","3.61","2,191,615.21","53,311.00","20825C104","US20825C1045","2685717","41.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","1,698,509.28","2.80","1,698,509.28","66,117.00","S60996261","INE002A01018","6099626","25.69","India","National Stock Exchange Of India","USD","73.05","INR","-"
"EOG","EOG RESOURCES INC","Energy","Equity","1,223,956.48","2.02","1,223,956.48","22,784.00","26875P101","US26875P1012","2318024","53.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LKOH","NK LUKOIL","Energy","Equity","1,194,097.62","1.97","1,194,097.62","16,276.00","-","RU0009024277","B59SNS8","73.37","Russian Federation","Standard-Classica-Forts","USD","76.06","RUB","Jan 01, 1970"
"NESTE","NESTE","Energy","Equity","1,191,613.29","1.96","1,191,613.29","16,554.00","-","FI0009013296","B06YV46","71.98","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"RIGD","RELIANCE INDUSTRIES GDR REPRESENTI 144A","Energy","Equity","1,184,768.00","1.95","1,184,768.00","22,784.00","759470107","US7594701077","B16CYP9","52.00","India","London Stock Exchange","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","1,139,575.58","1.88","1,139,575.58","25,454.00","56585A102","US56585A1025","B3K3L40","44.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","1,069,807.11","1.76","1,069,807.11","46,280.00","136385101","CA1363851017","2171573","23.12","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ENI","ENI","Energy","Equity","1,032,915.36","1.70","1,032,915.36","99,680.00","S71450563","IT0003132476","7145056","10.36","Italy","Borsa Italiana","USD","0.82","EUR","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","1,025,086.78","1.69","1,025,086.78","59,719.00","867224107","CA8672241079","B3NB1P2","17.17","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","992,937.40","1.64","992,937.40","8,099.00","723787107","US7237871071","2690830","122.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
