Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","34,378,792.11","8.06","34,378,792.11","12,450,034.00","S68895267","KW0EQ0100010","6889526","2.76","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"AUB","AHLI UNITED BANK","Financials","Equity","24,006,867.06","5.63","24,006,867.06","32,171,317.00","-","BH0005508765","B17M2Q5","0.75","Bahrain","Kuwait Stock Exchange","USD","0.30","KWD","-"
"SCOM","SAFARICOM","Communication","Equity","19,908,096.35","4.67","19,908,096.35","63,473,405.00","-","KE1000001402","B2QN3J6","0.31","Kenya","Nairobi Stock Exchange","USD","109.20","KES","-"
"IAM","ITISSALAT AL MAGHRIB STE SA","Communication","Equity","17,599,648.48","4.13","17,599,648.48","1,080,758.00","-","MA0000011488","B04SJM4","16.28","Morocco","Casablanca Stock Exchange","USD","8.90","MAD","-"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","16,173,416.50","3.79","16,173,416.50","7,267,287.00","S65031387","KW0EQ0100085","6503138","2.23","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"TLV","BANCA TRANSILVAN SA","Financials","Equity","14,690,367.44","3.44","14,690,367.44","25,973,549.00","S53933073","ROTLVAACNOR1","5393307","0.57","Romania","Spot Regulated Market - Bvb","USD","3.98","RON","-"
"ATW","ATTIJARIWAFA BANK SA","Financials","Equity","11,627,057.75","2.73","11,627,057.75","244,605.00","-","MA0000012445","BMX3JT1","47.53","Morocco","Casablanca Stock Exchange","USD","8.90","MAD","-"
"ZAIN","MOBILE TEL","Communication","Equity","10,237,744.48","2.40","10,237,744.48","5,139,145.00","S66000845","KW0EQ0601058","6600084","1.99","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
"VNM","VIET NAM DAIRY PRODUCTS","Consumer Staples","Equity","9,588,135.22","2.25","9,588,135.22","2,034,174.00","-","VN000000VNM8","B16GLK5","4.71","Vietnam","Hochiminh Stock Exchange","USD","23,082.50","VND","-"
"VIC","VINGROUP","Real Estate","Equity","9,346,098.73","2.19","9,346,098.73","1,993,820.00","-","VN000000VIC9","B27Y417","4.69","Vietnam","Hochiminh Stock Exchange","USD","23,082.50","VND","-"
"DANGCEM","DANGOTE CEMENT PLC","Materials","Equity","9,154,855.83","2.15","9,154,855.83","14,756,551.00","-","NGDANGCEM008","B4TFNR1","0.62","Nigeria","Nigerian Stock Exchange","USD","394.75","NGN","-"
"SQURPHARMA","SQUARE PHARMACEUTICALS LTD","Health Care","Equity","8,788,730.79","2.06","8,788,730.79","3,393,371.00","S68338029","BD0473SQPH00","6833802","2.59","Bangladesh","Dhaka Stock Exchange Ltd","USD","84.75","BDT","-"
"BKMB","BANK MUSCAT","Financials","Equity","7,971,524.66","1.87","7,971,524.66","7,789,434.00","-","OM0000002796","B11WYH6","1.02","Oman","Muscat Securities Market","USD","0.39","OMR","-"
"HPG","HOA PHAT GROUP","Materials","Equity","7,944,511.80","1.86","7,944,511.80","4,424,106.00","-","VN000000HPG4","B29CC15","1.80","Vietnam","Hochiminh Stock Exchange","USD","23,082.50","VND","-"
"VHM","VINHOMES","Real Estate","Equity","7,284,697.06","1.71","7,284,697.06","1,878,760.00","-","VN000000VHM0","BFZBXH0","3.88","Vietnam","Hochiminh Stock Exchange","USD","23,082.50","VND","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","6,912,784.24","1.62","6,912,784.24","6,912,784.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"HSBK","JSC HALYK SAVINGS BK OF KAZAKHSTAN","Financials","Equity","6,869,131.25","1.61","6,869,131.25","589,625.00","46627J302","US46627J3023","B1KDG41","11.65","Kazakhstan","London Stock Exchange","USD","1.00","USD","-"
"GUARANTY","GUARANTY TRUST BANK PLC","Financials","Equity","6,866,928.89","1.61","6,866,928.89","83,793,514.00","S62260591","NGGUARANTY06","6226059","0.08","Nigeria","Nigerian Stock Exchange","USD","394.75","NGN","-"
"KAP","JOINT STOCK COMPANY NATIONAL GDR","Energy","Equity","6,593,454.00","1.55","6,593,454.00","366,303.00","63253R201","US63253R2013","BGXQL36","18.00","Kazakhstan","London Stock Exchange","USD","1.00","USD","-"
"MTNN","MTN NIGERIA COMMUNICATIONS LTD","Communication","Equity","6,148,791.83","1.44","6,148,791.83","14,286,260.00","-","NGMTNN000002","BFYWJB0","0.43","Nigeria","Nigerian Stock Exchange","USD","394.75","NGN","-"
"SNP","PETROM SA","Energy","Equity","6,111,070.74","1.43","6,111,070.74","66,879,659.00","S71804116","ROSNPPACNOR9","7180411","0.09","Romania","Spot Regulated Market - Bvb","USD","3.98","RON","-"
