Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"OLN","OLIN CORP","Materials","Equity","2,045,785.63","5.11","2,045,785.63","53,879.00","680665205","US6806652052","2658526","37.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","Financials","Equity","1,384,192.18","3.46","1,384,192.18","10,507.00","29977A105","US29977A1051","B1BHXZ2","131.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Financials","Equity","1,307,114.38","3.27","1,307,114.38","14,743.00","72346Q104","US72346Q1040","2675097","88.66","United States","NASDAQ","USD","1.00","USD","-"
"PAG","PENSKE AUTOMOTIVE GROUP VOTING INC","Consumer Discretionary","Equity","1,283,198.08","3.21","1,283,198.08","15,992.00","70959W103","US70959W1036","2943523","80.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","1,260,651.60","3.15","1,260,651.60","17,082.00","27579R104","US27579R1041","2487407","73.80","United States","NASDAQ","USD","1.00","USD","-"
"AMG","AFFILIATED MANAGERS GROUP INC","Financials","Equity","1,237,396.09","3.09","1,237,396.09","8,303.00","008252108","US0082521081","2127899","149.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","1,204,433.28","3.01","1,204,433.28","23,728.00","858119100","US8581191009","2849472","50.76","United States","NASDAQ","USD","1.00","USD","-"
"WBS","WEBSTER FINANCIAL CORP","Financials","Equity","1,192,470.18","2.98","1,192,470.18","21,638.00","947890109","US9478901096","2945143","55.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BPOP","POPULAR INC","Financials","Equity","1,171,179.60","2.93","1,171,179.60","16,655.00","733174700","PR7331747001","B86QM90","70.32","United States","NASDAQ","USD","1.00","USD","-"
"MHK","MOHAWK INDUSTRIES INC","Consumer Discretionary","Equity","1,170,014.04","2.92","1,170,014.04","6,084.00","608190104","US6081901042","2598699","192.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
