Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"700","TENCENT HOLDINGS LTD","Communication","Equity","391,579,863.80","9.12","391,579,863.80","4,621,000.00","-","KYG875721634","BMMV2K8","84.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","387,671,864.52","9.03","387,671,864.52","9,248,300.00","-","KYG596691041","BGJW376","41.92","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","328,213,202.29","7.64","328,213,202.29","10,515,300.00","-","KYG017191142","BK6YZP5","31.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","234,463,186.81","5.46","234,463,186.81","5,232,700.00","-","KYG8208B1014","BKPQZT6","44.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","232,404,523.29","5.41","232,404,523.29","17,752,500.00","-","CNE1000003X6","B01FLR7","13.09","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","186,979,851.42","4.35","186,979,851.42","233,821,320.00","-","CNE1000002H1","B0LMTQ3","0.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","182,407,818.71","4.25","182,407,818.71","13,520,500.00","-","KYG970081173","BL6B9P1","13.49","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9999","NETEASE INC","Communication","Equity","169,775,606.20","3.95","169,775,606.20","7,943,900.00","-","KYG6427A1022","BM93SF4","21.37","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1810","XIAOMI CORP","Information Technology","Equity","166,306,505.70","3.87","166,306,505.70","43,124,000.00","-","KYG9830T1067","BG0ZMJ9","3.86","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","166,092,447.55","3.87","166,092,447.55","251,022,995.00","-","CNE1000003G1","B1G1QD8","0.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","141,633,573.72","3.30","141,633,573.72","18,271,438.00","-","CNE1000002M1","B1DYPZ5","7.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","129,370,774.65","3.01","129,370,774.65","367,413,000.00","-","CNE1000001Z5","B154564","0.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","105,358,303.67","2.45","105,358,303.67","25,527,000.00","S65318271","KYG3777B1032","6531827","4.13","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","101,210,584.02","2.36","101,210,584.02","3,333,500.00","S65366510","CNE100000296","6536651","30.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","85,261,633.91","1.99","85,261,633.91","5,027,000.00","-","KYG040111059","B1YVKN8","16.96","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
