Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,789,410.53","1.95","1,789,410.53","85,741.00","S68891068","TW0002330008","6889106","20.87","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,527,859.47","1.67","1,527,859.47","20,048.00","-","KYG875721634","BMMV2K8","76.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,503,184.16","1.64","1,503,184.16","6,611.00","01609W102","US01609W1027","BP41ZD1","227.37","China","New York Stock Exchange Inc.","USD","1.00","USD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,384,555.28","1.51","1,384,555.28","16,695.00","S67717207","KR7005930003","6771720","82.93","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"NESN","NESTLE SA","Consumer Staples","Equity","1,127,315.36","1.23","1,127,315.36","9,990.00","S71238703","CH0038863350","7123870","112.84","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","855,304.80","0.93","855,304.80","2,437.00","S71103881","CH0012032048","7110388","350.91","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"ASML","ASML HOLDING NV","Information Technology","Equity","748,263.23","0.82","748,263.23","1,484.00","-","NL0010273215","B929F46","504.13","Netherlands","Euronext Amsterdam","USD","0.82","EUR"
"NOVN","NOVARTIS AG","Health Care","Equity","726,643.91","0.79","726,643.91","7,731.00","S71030654","CH0012005267","7103065","93.99","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"MC","LVMH","Consumer Discretionary","Equity","611,152.88","0.67","611,152.88","963.00","S40614125","FR0000121014","4061412","634.74","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","558,318.79","0.61","558,318.79","7,335.00","S69006435","JP3633400001","6900643","76.12","Japan","Tokyo Stock Exchange","USD","104.30","JPY"
