Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ACWX","ISHARES MSCI ACWI EX US ETF","Financials","Equity","105,940,935.75","98.01","105,940,935.75","1,917,483.00","464288240","US4642882405","B2QKQP4","55.25","United States","NASDAQ","USD","1.00","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","668,119.83","0.62","668,119.83","-15,960,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","514,419.80","0.48","514,419.80","-1,589,534,000.00","-","-","-","1.00","United States","-","USD","110.30","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","232,080.04","0.21","232,080.04","-5,126,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","168,481.67","0.16","168,481.67","-6,192,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"TWD","TWD/USD","Cash and/or Derivatives","Forwards","105,729.03","0.10","105,729.03","-114,842,000.00","-","-","-","1.00","United States","-","USD","28.53","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","82,357.68","0.08","82,357.68","-17,191,000.00","-","-","-","1.00","United States","-","USD","8.75","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","79,214.29","0.07","79,214.29","-5,532,000.00","-","-","-","1.00","United States","-","USD","1.32","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","60,000.00","0.06","60,000.00","60,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","50,939.98","0.05","50,939.98","-9,043,000.00","-","-","-","1.00","United States","-","USD","6.34","USD","-"
"BRL","BRL/USD","Cash and/or Derivatives","Forwards","45,311.59","0.04","45,311.59","-7,874,000.00","-","-","-","1.00","United States","-","USD","5.77","USD","-"
"KRW","KRW/USD","Cash and/or Derivatives","Forwards","23,132.94","0.02","23,132.94","-5,293,118,000.00","-","-","-","1.00","United States","-","USD","1,134.41","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","21,910.64","0.02","21,910.64","-523,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","20,414.04","0.02","20,414.04","-63,138,000.00","-","-","-","1.00","United States","-","USD","110.30","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","Forwards","19,152.97","0.02","19,152.97","-67,199,000.00","-","-","-","1.00","United States","-","USD","7.77","USD","-"
