Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","607,117,264.18","10.48","607,117,264.18","12,802,979.00","30231G102","US30231G1022","2326618","47.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","500,153,552.92","8.64","500,153,552.92","17,543,092.00","00206R102","US00206R1023","2831811","28.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","415,259,563.50","7.17","415,259,563.50","2,587,287.00","478160104","US4781601046","2475833","160.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","363,865,882.24","6.28","363,865,882.24","4,090,219.00","166764100","US1667641005","2838555","88.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","344,822,234.75","5.95","344,822,234.75","6,293,525.00","92343V104","US92343V1044","2090571","54.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","277,202,267.60","4.79","277,202,267.60","2,149,688.00","742718109","US7427181091","2704407","128.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","261,862,875.04","4.52","261,862,875.04","7,516,156.00","717081103","US7170811035","2684703","34.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","232,509,998.05","4.02","232,509,998.05","5,079,965.00","17275R102","US17275R1023","2198163","45.77","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","215,919,421.00","3.73","215,919,421.00","4,427,300.00","191216100","US1912161007","2206657","48.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","212,891,341.60","3.68","212,891,341.60","2,753,380.00","58933Y105","US58933Y1055","2778844","77.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","199,796,095.76","3.45","199,796,095.76","1,447,588.00","713448108","US7134481081","2681511","138.02","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","153,841,099.24","2.66","153,841,099.24","2,480,108.00","110122108","US1101221083","2126335","62.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","144,146,520.54","2.49","144,146,520.54","855,063.00","882508104","US8825081040","2885409","168.58","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","143,985,322.24","2.49","143,985,322.24","607,328.00","031162100","US0311621009","2023607","237.08","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","143,001,621.99","2.47","143,001,621.99","685,169.00","580135101","US5801351017","2550707","208.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","126,270,670.04","2.18","126,270,670.04","719,573.00","88579Y101","US88579Y1010","2595708","175.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","108,030,937.08","1.87","108,030,937.08","1,156,772.00","26441C204","US26441C2044","B7VD3F2","93.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","100,427,085.39","1.73","100,427,085.39","628,809.00","911312106","US9113121068","2517382","159.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","98,500,208.10","1.70","98,500,208.10","1,656,858.00","842587107","US8425871071","2829601","59.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","87,639,609.35","1.51","87,639,609.35","263,665.00","539830109","US5398301094","2522096","332.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","70,760,368.48","1.22","70,760,368.48","3,228,119.00","969457100","US9694571004","2967181","21.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","69,522,513.45","1.20","69,522,513.45","1,608,945.00","20825C104","US20825C1045","2685717","43.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","60,691,672.15","1.05","60,691,672.15","851,335.00","718546104","US7185461040","B78C4Y8","71.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","53,174,432.64","0.92","53,174,432.64","654,213.00","025537101","US0255371017","2026242","81.28","United States","NASDAQ","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","53,010,015.12","0.92","53,010,015.12","400,408.00","494368103","US4943681035","2491839","132.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","44,448,467.76","0.77","44,448,467.76","782,268.00","370334104","US3703341046","2367026","56.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","37,701,090.00","0.65","37,701,090.00","648,900.00","744573106","US7445731067","2707677","58.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","34,317,975.56","0.59","34,317,975.56","614,137.00","26875P101","US26875P1012","2318024","55.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","32,949,775.80","0.57","32,949,775.80","237,630.00","89417E109","US89417E1091","2769503","138.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","32,428,588.14","0.56","32,428,588.14","513,273.00","98389B100","US98389B1008","2614807","63.18","United States","NASDAQ","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","31,842,597.80","0.55","31,842,597.80","200,773.00","74144T108","US74144T1088","2702337","158.60","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","31,200,806.10","0.54","31,200,806.10","132,465.00","231021106","US2310211063","2240202","235.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Information Technology","Equity","28,551,209.40","0.49","28,551,209.40","317,412.00","704326107","US7043261079","2674458","89.95","United States","NASDAQ","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","28,125,659.77","0.49","28,125,659.77","612,893.00","001055102","US0010551028","2026361","45.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","27,950,957.30","0.48","27,950,957.30","320,465.00","92939U106","US92939U1060","BYY8XK8","87.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","27,531,347.38","0.48","27,531,347.38","232,489.00","233331107","US2333311072","2280220","118.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","26,742,717.30","0.46","26,742,717.30","1,105,985.00","806857108","AN8068571086","2779201","24.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMCR","AMCOR PLC","Materials","Equity","26,034,499.23","0.45","26,034,499.23","2,364,623.00","-","JE00BJ1F3079","BJ1F307","11.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VFC","VF CORP","Consumer Discretionary","Equity","20,491,973.40","0.35","20,491,973.40","259,228.00","918204108","US9182041080","2928683","79.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"K","KELLOGG","Consumer Staples","Equity","20,159,809.23","0.35","20,159,809.23","347,523.00","487836108","US4878361082","2486813","58.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Information Technology","Equity","19,736,217.09","0.34","19,736,217.09","224,607.00","57772K101","US57772K1016","2573760","87.87","United States","NASDAQ","USD","1.00","USD","-"
"GPC","GENUINE PARTS","Consumer Discretionary","Equity","17,061,500.68","0.29","17,061,500.68","173,354.00","372460105","US3724601055","2367480","98.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","16,626,667.20","0.29","16,626,667.20","290,676.00","125896100","US1258961002","2219224","57.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAS","HASBRO INC","Consumer Discretionary","Equity","14,048,566.50","0.24","14,048,566.50","145,581.00","418056107","US4180561072","2414580","96.50","United States","NASDAQ","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","13,677,173.56","0.24","13,677,173.56","106,628.00","459506101","US4595061015","2464165","128.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNT","ALLIANT ENERGY CORP","Utilities","Equity","13,286,317.62","0.23","13,286,317.62","270,542.00","018802108","US0188021085","2973821","49.11","United States","NASDAQ","USD","1.00","USD","-"
"PNW","PINNACLE WEST CORP","Utilities","Equity","13,145,076.68","0.23","13,145,076.68","171,316.00","723484101","US7234841010","2048804","76.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","13,127,102.52","0.23","13,127,102.52","127,932.00","277432100","US2774321002","2298386","102.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BEN","FRANKLIN RESOURCES INC","Financials","Equity","11,619,699.66","0.20","11,619,699.66","449,331.00","354613101","US3546131018","2350684","25.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IVZ","INVESCO LTD","Financials","Equity","10,748,218.80","0.19","10,748,218.80","492,360.00","-","BMG491BT1088","B28XP76","21.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","10,250,050.45","0.18","10,250,050.45","117,749.00","049560105","US0495601058","2315359","87.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","9,742,670.08","0.17","9,742,670.08","54,944.00","833034101","US8330341012","2818740","177.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSO","WATSCO INC","Industrials","Equity","9,572,417.25","0.17","9,572,417.25","39,111.00","942622200","US9426222009","2943039","244.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RE","EVEREST RE GROUP LTD","Financials","Equity","8,408,990.04","0.15","8,408,990.04","39,243.00","G3223R108","BMG3223R1088","2556868","214.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JHG","JANUS HENDERSON GROUP PLC","Financials","Equity","7,941,166.53","0.14","7,941,166.53","244,871.00","-","JE00BYPZJM29","BYPZJQ6","32.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBB","HUBBELL INC","Industrials","Equity","7,939,442.70","0.14","7,939,442.70","49,185.00","443510607","US4435106079","BDFG6S3","161.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAF","FIRST AMERICAN FINANCIAL CORP","Financials","Equity","7,834,603.22","0.14","7,834,603.22","145,139.00","31847R102","US31847R1023","B4NFPK4","53.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","7,310,000.00","0.13","7,310,000.00","7,310,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
