Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","12,812,206.52","6.24","12,812,206.52","613,905.00","S68891068","TW0002330008","6889106","20.87","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","10,916,068.81","5.31","10,916,068.81","143,237.00","-","KYG875721634","BMMV2K8","76.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","10,734,188.72","5.22","10,734,188.72","47,210.00","01609W102","US01609W1027","BP41ZD1","227.37","China","New York Stock Exchange Inc.","USD","1.00","USD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","9,859,704.00","4.80","9,859,704.00","118,892.00","S67717207","KR7005930003","6771720","82.93","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","3,583,270.36","1.74","3,583,270.36","89,761.00","-","KYG596691041","BGJW376","39.92","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","2,236,749.90","1.09","2,236,749.90","10,841.00","S66226911","ZAE000015889","6622691","206.32","South Africa","Johannesburg Stock Exchange","USD","15.52","ZAR"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","2,005,922.48","0.98","2,005,922.48","31,992.00","62914V106","US62914V1061","BFZX9H8","62.70","China","New York Stock Exchange Inc.","USD","1.00","USD"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","1,948,939.64","0.95","1,948,939.64","21,564.00","47215P106","US47215P1066","BMM27D9","90.38","China","NASDAQ","USD","1.00","USD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","1,868,666.03","0.91","1,868,666.03","2,395,726.00","-","CNE1000002H1","B0LMTQ3","0.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","1,838,583.82","0.89","1,838,583.82","71,125.00","S60996261","INE002A01018","6099626","25.85","India","National Stock Exchange Of India","USD","73.39","INR"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","1,795,816.10","0.87","1,795,816.10","148,047.00","-","CNE1000003X6","B01FLR7","12.13","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","1,709,729.99","0.83","1,709,729.99","92,268.00","S21962865","BRVALEACNOR0","2196286","18.53","Brazil","XBSP","USD","5.50","BRL"
"000660","SK HYNIX INC","Information Technology","Equity","1,646,282.02","0.80","1,646,282.02","13,583.00","S64502677","KR7000660001","6450267","121.20","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","1,635,289.27","0.80","1,635,289.27","9,480.00","722304102","US7223041028","BYVW0F7","172.49","China","NASDAQ","USD","1.00","USD"
