Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EFA","ISHARES MSCI EAFE ETF","Financials","Equity","2,591,957,052.45","99.94","2,591,957,052.45","34,163,135.00","464287465","US4642874659","2801290","75.87","United States","NYSE Arca","USD","1.00","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","24,683,506.59","0.95","24,683,506.59","-625,315,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","21,529,735.19","0.83","21,529,735.19","-63,333,177,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","9,550,000.00","0.37","9,550,000.00","9,550,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","8,814,007.91","0.34","8,814,007.91","-204,326,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","4,616,050.12","0.18","4,616,050.12","-246,759,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","2,990,879.02","0.12","2,990,879.02","-684,997,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","2,784,734.13","0.11","2,784,734.13","-220,376,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","1,904,747.71","0.07","1,904,747.71","-360,391,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","952,650.49","0.04","952,650.49","-2,805,862,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","937,611.79","0.04","937,611.79","-23,748,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","Forwards","265,767.29","0.01","265,767.29","-9,963,000.00","-","-","-","1.00","United States","-","USD","1.43","USD","-"
"SGD","SGD/USD","Cash and/or Derivatives","Forwards","256,784.25","0.01","256,784.25","-33,467,000.00","-","-","-","1.00","United States","-","USD","1.34","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","Forwards","170,782.93","0.01","170,782.93","-583,515,000.00","-","-","-","1.00","United States","-","USD","7.77","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","139,682.44","0.01","139,682.44","-6,615,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","134,117.57","0.01","134,117.57","-420,041,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","129,908.43","0.01","129,908.43","-29,766,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","125,446.31","0.00","125,446.31","-4,161,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","110,859.90","0.00","110,859.90","-5,937,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","81,631.73","0.00","81,631.73","-652,981,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","77,978.54","0.00","77,978.54","-6,169,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","73,487.58","0.00","73,487.58","-2,129,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","69,067.57","0.00","69,067.57","-215,389,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","66,676.71","0.00","66,676.71","-2,951,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","65,310.10","0.00","65,310.10","-298,596,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"ILS","ILS/USD","Cash and/or Derivatives","Forwards","53,585.47","0.00","53,585.47","-25,283,000.00","-","-","-","1.00","United States","-","USD","3.33","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","41,167.03","0.00","41,167.03","-1,303,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","33,149.28","0.00","33,149.28","-2,508,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","32,713.40","0.00","32,713.40","-2,206,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","30,073.64","0.00","30,073.64","-2,051,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","29,132.86","0.00","29,132.86","-173,196,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","27,264.65","0.00","27,264.65","-848,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","27,253.87","0.00","27,253.87","-1,746,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","25,694.26","0.00","25,694.26","-85,466,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","24,793.96","0.00","24,793.96","-7,471,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","24,635.35","0.00","24,635.35","-1,328,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","23,535.99","0.00","23,535.99","-1,314,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","23,347.14","0.00","23,347.14","-131,049,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","22,672.19","0.00","22,672.19","-1,449,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","21,296.08","0.00","21,296.08","-667,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","21,044.14","0.00","21,044.14","651,840,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","20,145.63","0.00","20,145.63","-175,864,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","20,044.13","0.00","20,044.13","-1,597,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","19,295.41","0.00","19,295.41","-136,851,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","18,272.64","0.00","18,272.64","-4,580,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","15,721.11","0.00","15,721.11","-742,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","13,821.83","0.00","13,821.83","-816,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","Forwards","13,117.75","0.00","13,117.75","-45,410,000.00","-","-","-","1.00","United States","-","USD","7.77","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","13,269.46","0.00","13,269.46","-929,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","10,969.08","0.00","10,969.08","-2,355,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","10,974.15","0.00","10,974.15","-1,145,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","10,989.44","0.00","10,989.44","-1,034,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","10,147.24","0.00","10,147.24","-3,584,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","9,831.82","0.00","9,831.82","-3,296,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","9,283.12","0.00","9,283.12","-2,300,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","8,497.75","0.00","8,497.75","-548,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","8,413.70","0.00","8,413.70","-416,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","7,271.68","0.00","7,271.68","361,426,000.00","-","-","-","1.00","United States","-","USD","110.46","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","6,919.08","0.00","6,919.08","-268,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","7,087.04","0.00","7,087.04","-506,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","6,437.21","0.00","6,437.21","-675,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","6,100.37","0.00","6,100.37","-598,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","5,748.89","0.00","5,748.89","-1,950,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","5,758.18","0.00","5,758.18","-412,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","5,786.30","0.00","5,786.30","-442,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","5,447.47","0.00","5,447.47","-1,177,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","5,390.63","0.00","5,390.63","-450,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","5,157.75","0.00","5,157.75","-326,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","5,054.56","0.00","5,054.56","-295,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","4,782.24","0.00","4,782.24","-1,580,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","4,783.45","0.00","4,783.45","-1,473,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"SGD","SGD/USD","Cash and/or Derivatives","Forwards","4,478.38","0.00","4,478.38","-582,000.00","-","-","-","1.00","United States","-","USD","1.34","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","4,130.76","0.00","4,130.76","-1,504,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","3,847.15","0.00","3,847.15","-945,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","3,311.50","0.00","3,311.50","-67,346,214,000.00","-","-","-","1.00","United States","-","USD","110.46","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","3,129.42","0.00","3,129.42","-503,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","2,738.56","0.00","2,738.56","-1,777,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","2,467.64","0.00","2,467.64","-134,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"SGD","SGD/USD","Cash and/or Derivatives","Forwards","1,999.44","0.00","1,999.44","-224,000.00","-","-","-","1.00","United States","-","USD","1.34","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","2,005.60","0.00","2,005.60","-466,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","Forwards","2,055.34","0.00","2,055.34","-1,306,000.00","-","-","-","1.00","United States","-","USD","8.54","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","1,904.30","0.00","1,904.30","-918,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","1,696.32","0.00","1,696.32","-708,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","1,789.93","0.00","1,789.93","-716,000.00","-","-","-","1.00","United States","-","USD","6.33","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","1,827.25","0.00","1,827.25","-2,032,000.00","-","-","-","1.00","United States","-","USD","8.72","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","1,795.53","0.00","1,795.53","1,500,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","Forwards","1,533.83","0.00","1,533.83","-58,000.00","-","-","-","1.00","United States","-","USD","1.43","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","Forwards","1,526.37","0.00","1,526.37","-87,000.00","-","-","-","1.00","United States","-","USD","1.43","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","1,615.39","0.00","1,615.39","-13,432,000.00","-","-","-","1.00","United States","-","USD","110.49","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","Forwards","1,211.85","0.00","1,211.85","771,000.00","-","-","-","1.00","United States","-","USD","8.54","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","Forwards","1,236.94","0.00","1,236.94","-3,968,000.00","-","-","-","1.00","United States","-","USD","7.77","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","Forwards","1,231.73","0.00","1,231.73","-6,130,000.00","-","-","-","1.00","United States","-","USD","7.77","USD","-"
"SGD","SGD/USD","Cash and/or Derivatives","Forwards","937.86","0.00","937.86","-114,000.00","-","-","-","1.00","United States","-","USD","1.34","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","994.07","0.00","994.07","-563,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","1,088.24","0.00","1,088.24","253,924,000.00","-","-","-","1.00","United States","-","USD","0.72","USD","-"
