Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","932,162.67","7.58","932,162.67","813.00","82509L107","CA82509L1076","BX865C7","1,147.13","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"RY","ROYAL BANK OF CANADA","Financials","Equity","889,572.22","7.23","889,572.22","10,924.00","780087102","CA7800871021","2754383","81.43","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"TD","TORONTO DOMINION","Financials","Equity","785,629.64","6.38","785,629.64","13,861.00","891160509","CA8911605092","2897222","56.68","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","501,882.62","4.08","501,882.62","9,381.00","064149107","CA0641491075","2076281","53.50","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","483,975.25","3.93","483,975.25","4,719.00","136375102","CA1363751027","2180632","102.55","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"ENB","ENBRIDGE INC","Energy","Equity","477,948.60","3.88","477,948.60","14,099.00","29250N105","CA29250N1050","2466149","33.90","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Financials","Equity","392,190.00","3.19","392,190.00","10,007.00","112585104","CA1125851040","2092599","39.19","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"BMO","BANK OF MONTREAL","Financials","Equity","374,387.89","3.04","374,387.89","5,019.00","063671101","CA0636711016","2076009","74.59","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CP","CANADIAN PACIFIC RAILWAY LTD","Industrials","Equity","358,744.79","2.92","358,744.79","1,060.00","13645T100","CA13645T1003","2793115","338.59","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"TRP","TC ENERGY CORP","Energy","Equity","316,744.28","2.57","316,744.28","7,335.00","87807B107","CA87807B1076","BJMY6G0","43.18","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"ABX","BARRICK GOLD CORP","Materials","Equity","315,088.29","2.56","315,088.29","13,948.00","067901108","CA0679011084","2024644","22.59","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","298,136.81","2.42","298,136.81","3,504.00","136069101","CA1360691010","2170525","85.09","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","278,618.74","2.26","278,618.74","15,267.00","56501R106","CA56501R1064","2492519","18.25","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"NTR","NUTRIEN LTD","Materials","Equity","225,466.97","1.83","225,466.97","4,524.00","67077M108","CA67077M1086","BDRJLN0","49.84","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","217,364.52","1.77","217,364.52","4,647.00","866796105","CA8667961053","2566124","46.78","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","216,129.57","1.76","216,129.57","9,393.00","136385101","CA1363851017","2171573","23.01","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"ATD.B","ALIMENTATION COUCHE TARD SUB VOTIN","Consumer Staples","Equity","210,177.58","1.71","210,177.58","6,846.00","01626P403","CA01626P4033","2011646","30.70","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"SU","SUNCOR ENERGY INC","Energy","Equity","203,815.58","1.66","203,815.58","12,132.00","867224107","CA8672241079","B3NB1P2","16.80","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","202,127.77","1.64","202,127.77","159.00","21037X100","CA21037X1006","B15C4L6","1,269.87","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"FNV","FRANCO NEVADA CORP","Materials","Equity","182,929.15","1.49","182,929.15","1,489.00","351858105","CA3518581051","B29NF31","122.87","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","165,140.49","1.34","165,140.49","2,296.00","559222401","CA5592224011","2554475","71.92","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","153,631.84","1.25","153,631.84","3,542.00","962879102","CA9628791027","BF13KN5","43.37","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"GIB.A","CGI INC","Information Technology","Equity","149,909.86","1.22","149,909.86","1,875.00","12532H104","CA12532H1047","BJ2L575","79.96","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","149,570.83","1.22","149,570.83","2,655.00","633067103","CA6330671034","2077303","56.33","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"FTS","FORTIS INC","Utilities","Equity","140,383.98","1.14","140,383.98","3,472.00","349553107","CA3495531079","2347200","40.43","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","135,146.77","1.10","135,146.77","1,906.00","008474108","CA0084741085","2009823","70.90","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","133,271.70","1.08","133,271.70","2,252.00","76131D103","CA76131D1033","BTF8CF0","59.17","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","129,023.43","1.05","129,023.43","2,853.00","775109200","CA7751092007","2169051","45.22","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","122,351.77","0.99","122,351.77","1,105.00","45823T106","CA45823T1066","B04YJV1","110.69","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","121,367.72","0.99","121,367.72","1,450.00","884903709","CA8849037095","BFXPTB0","83.69","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","115,233.37","0.94","115,233.37","4,370.00","706327103","CA7063271034","B4PT2P8","26.37","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","105,249.74","0.86","105,249.74","4,543.00","739239101","CA7392391016","2697701","23.17","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","99,274.49","0.81","99,274.49","2,159.00","683715106","CA6837151068","2260824","45.99","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","94,815.70","0.77","94,815.70","2,397.00","25675T107","CA25675T1075","B4TP9G2","39.55","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CAD","CAD/USD","Cash and/or Derivatives","Forwards","94,562.25","0.77","94,562.25","94,562.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"MRU","METRO INC","Consumer Staples","Equity","88,656.87","0.72","88,656.87","2,028.00","59162N109","CA59162N1096","2583952","43.71","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","87,074.32","0.71","87,074.32","5,045.00","335934105","CA3359341052","2347608","17.26","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"KL","KIRKLAND LAKE GOLD LTD","Materials","Equity","85,873.64","0.70","85,873.64","2,185.00","49741E100","CA49741E1007","BD4G349","39.30","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"WSP","WSP GLOBAL INC","Industrials","Equity","84,117.30","0.68","84,117.30","913.00","92938W202","CA92938W2022","BHR3R21","92.09","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"EMA","EMERA INC","Utilities","Equity","79,489.60","0.65","79,489.60","1,931.00","290876101","CA2908761018","2650050","41.17","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"AQN","ALGONQUIN POWER UTILITIES CORP","Utilities","Equity","79,474.92","0.65","79,474.92","4,728.00","015857105","CA0158571053","B51BMR7","16.81","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","78,598.58","0.64","78,598.58","216.00","303901102","CA3039011026","2566351","364.05","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","76,280.45","0.62","76,280.45","4,079.00","878742204","CA8787422044","2879327","18.70","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"K","KINROSS GOLD CORP","Materials","Equity","73,131.27","0.59","73,131.27","10,143.00","496902404","CA4969024047","B03Z841","7.21","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","71,771.48","0.58","71,771.48","1,462.00","539481101","CA5394811015","2521800","49.10","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"WEED","CANOPY GROWTH CORP","Health Care","Equity","71,417.76","0.58","71,417.76","1,783.00","138035100","CA1380351009","BYTN3W0","40.05","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CVE","CENOVUS ENERGY INC","Energy","Equity","69,295.46","0.56","69,295.46","11,123.00","15135U109","CA15135U1093","B57FG04","6.23","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"BHC","BAUSCH HEALTH COMPANIES INC","Health Care","Equity","67,119.31","0.55","67,119.31","2,589.00","071734107","CA0717341071","BFFY852","25.92","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"BB","BLACKBERRY LTD","Information Technology","Equity","66,776.60","0.54","66,776.60","4,558.00","09228F103","CA09228F1036","BCBHZ31","14.65","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"T","TELUS CORP","Communication","Equity","66,420.44","0.54","66,420.44","3,212.00","87971M103","CA87971M1032","2381093","20.68","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"SJR.B","SHAW COMMUNICATIONS INC CLASS B","Communication","Equity","65,672.62","0.53","65,672.62","3,803.00","82028K200","CA82028K2002","2801836","17.27","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","64,397.28","0.52","64,397.28","482.00","136681202","CA1366812024","2172286","133.59","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"H","HYDRO ONE LTD","Utilities","Equity","62,169.72","0.51","62,169.72","2,674.00","448811208","CA4488112083","BYYXJY9","23.25","Canada","Toronto Stock Exchange","USD","1.28","CAD"
"CAD","CAD/USD","Cash and/or Derivatives","Forwards","58,601.80","0.48","58,601.80","58,602.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"CCL.B","CCL INDUSTRIES INC CLASS B","Materials","Equity","57,266.64","0.47","57,266.64","1,233.00","124900309","CA1249003098","2159795","46.44","Canada","Toronto Stock Exchange","USD","1.28","CAD"
