Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"SAP","SAP","Information Technology","Equity","5,490,428.87","9.06","5,490,428.87","42,453.00","S48462881","DE0007164600","4846288","129.33","Germany","Xetra","USD","0.83","EUR"
"SIE","SIEMENS N AG","Industrials","Equity","4,905,389.73","8.10","4,905,389.73","31,100.00","S57279739","DE0007236101","5727973","157.73","Germany","Xetra","USD","0.83","EUR"
"ALV","ALLIANZ","Financials","Equity","3,857,802.42","6.37","3,857,802.42","16,960.00","S52314853","DE0008404005","5231485","227.47","Germany","Xetra","USD","0.83","EUR"
"BAS","BASF N","Materials","Equity","2,923,991.11","4.83","2,923,991.11","37,339.00","S50865773","DE000BASF111","5086577","78.31","Germany","Xetra","USD","0.83","EUR"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","2,533,625.74","4.18","2,533,625.74","7,741.00","S40319766","DE000A1EWWW0","4031976","327.32","Germany","Xetra","USD","0.83","EUR"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","2,454,799.82","4.05","2,454,799.82","34,795.00","S55290274","DE0007100000","5529027","70.55","Germany","Xetra","USD","0.83","EUR"
"BAYN","BAYER AG","Health Care","Equity","2,437,008.58","4.02","2,437,008.58","39,938.00","S50692110","DE000BAY0017","5069211","61.02","Germany","Xetra","USD","0.83","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","2,428,793.53","4.01","2,428,793.53","135,535.00","S58423591","DE0005557508","5842359","17.92","Germany","Xetra","USD","0.83","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","2,156,022.61","3.56","2,156,022.61","53,091.00","S58895053","DE0006231004","5889505","40.61","Germany","Xetra","USD","0.83","EUR"
"DPW","DEUTSCHE POST AG","Industrials","Equity","1,997,087.92","3.30","1,997,087.92","40,215.00","S46178596","DE0005552004","4617859","49.66","Germany","Xetra","USD","0.83","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","1,536,069.52","2.53","1,536,069.52","5,696.00","S52941218","DE0008430026","5294121","269.68","Germany","Xetra","USD","0.83","EUR"
"VNA","VONOVIA SE","Real Estate","Equity","1,447,685.47","2.39","1,447,685.47","21,199.00","-","DE000A1ML7J1","BBJPFY1","68.29","Germany","Xetra","USD","0.83","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","1,425,063.98","2.35","1,425,063.98","7,545.00","S54971684","DE0007664039","5497168","188.87","Germany","Xetra","USD","0.83","EUR"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","1,277,759.24","2.11","1,277,759.24","7,725.00","S70219639","DE0005810055","7021963","165.41","Germany","Xetra","USD","0.83","EUR"
"BMW","BMW AG","Consumer Discretionary","Equity","1,136,543.52","1.88","1,136,543.52","13,461.00","D12096109","DE0005190003","5756029","84.43","Germany","Xetra","USD","0.83","EUR"
"RWE","RWE AG","Utilities","Equity","1,132,869.64","1.87","1,132,869.64","26,115.00","S47689625","DE0007037129","4768962","43.38","Germany","Xetra","USD","0.83","EUR"
"EOAN","E.ON N","Utilities","Equity","979,746.92","1.62","979,746.92","91,309.00","S49429046","DE000ENAG999","4942904","10.73","Germany","Xetra","USD","0.83","EUR"
"MRK","MERCK","Health Care","Equity","885,026.93","1.46","885,026.93","5,255.00","S47418447","DE0006599905","4741844","168.43","Germany","Xetra","USD","0.83","EUR"
"DBK","DEUTSCHE BANK AG","Financials","Equity","820,944.73","1.35","820,944.73","79,858.00","S57503559","DE0005140008","5750355","10.28","Germany","Xetra","USD","0.83","EUR"
"DHER","DELIVERY HERO","Consumer Discretionary","Equity","797,311.41","1.32","797,311.41","5,262.00","-","DE000A2E4K43","BZCNB42","151.52","Germany","Xetra","USD","0.83","EUR"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","766,717.75","1.27","766,717.75","766,718.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"HEN3","HENKEL & KGAA PREF AG","Consumer Staples","Equity","760,717.10","1.26","760,717.10","7,244.00","S50767052","DE0006048432","5076705","105.02","Germany","Xetra","USD","0.83","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Health Care","Equity","740,576.98","1.22","740,576.98","16,997.00","S43520972","DE0005785604","4352097","43.57","Germany","Xetra","USD","0.83","EUR"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","739,065.27","1.22","739,065.27","1,446.00","S58433293","DE0007165631","5843329","511.09","Germany","Xetra","USD","0.83","EUR"
"ZAL","ZALANDO","Consumer Discretionary","Equity","720,882.55","1.19","720,882.55","6,219.00","-","DE000ZAL1111","BQV0SV7","115.92","Germany","Xetra","USD","0.83","EUR"
"DWNI","DEUTSCHE WOHNEN","Real Estate","Equity","710,294.53","1.17","710,294.53","13,897.00","-","DE000A0HN5C6","B0YZ0Z5","51.11","Germany","Xetra","USD","0.83","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","676,627.29","1.12","676,627.29","8,669.00","S51290740","DE0005785802","5129074","78.05","Germany","Xetra","USD","0.83","EUR"
"SY1","SYMRISE AG","Materials","Equity","656,661.83","1.08","656,661.83","5,231.00","-","DE000SYM9999","B1JB4K8","125.54","Germany","Xetra","USD","0.83","EUR"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","627,927.23","1.04","627,927.23","4,472.00","S45985892","DE0005439004","4598589","140.40","Germany","Xetra","USD","0.83","EUR"
"SHL","SIEMENS HEALTHINEERS AG","Health Care","Equity","621,380.48","1.03","621,380.48","10,926.00","-","DE000SHL1006","BD594Y4","56.87","Germany","Xetra","USD","0.83","EUR"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","613,683.39","1.01","613,683.39","16,248.00","-","DE000ENER6Y0","BMTVQK9","37.77","Germany","Xetra","USD","0.83","EUR"
