Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","13,281,188.25","4.01","13,281,188.25","175,631.00","S69006435","JP3633400001","6900643","75.62","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"6758","SONY CORP","Consumer Discretionary","Equity","10,434,727.99","3.15","10,434,727.99","104,441.00","S68215060","JP3435000009","6821506","99.91","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"9984","SOFTBANK GROUP CORP","Communication","Equity","10,193,601.20","3.08","10,193,601.20","129,789.00","S67706200","JP3436100006","6770620","78.54","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"6861","KEYENCE CORP","Information Technology","Equity","8,155,019.86","2.46","8,155,019.86","15,113.00","S64909955","JP3236200006","6490995","539.61","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"7974","NINTENDO LTD","Communication","Equity","5,809,234.19","1.75","5,809,234.19","9,272.00","S66395500","JP3756600007","6639550","626.56","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","5,034,327.89","1.52","5,034,327.89","29,332.00","S68045855","JP3371200001","6804585","171.63","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"6594","NIDEC CORP","Industrials","Equity","4,756,623.65","1.44","4,756,623.65","37,031.00","S66406828","JP3734800000","6640682","128.45","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","4,741,906.68","1.43","4,741,906.68","140,918.00","-","JP3475350009","B0J7D91","33.65","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","4,606,411.34","1.39","4,606,411.34","130,567.00","S68704451","JP3463000004","6870445","35.28","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","4,582,798.05","1.38","4,582,798.05","112,351.00","-","JP3970300004","BQRRZ00","40.79","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","4,579,424.72","1.38","4,579,424.72","12,372.00","S68956754","JP3571400005","6895675","370.15","Japan","Tokyo Stock Exchange","USD","103.39","JPY"
