Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EWU","ISHARES MSCI UNITED KINGDOM ETF","Financials","Equity","7,258,184.64","99.28","7,258,184.64","244,548.00","46435G334","US46435G3341","BDR7G62","29.68","United States","NYSE Arca","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","207,187.02","2.83","207,187.02","207,187.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","63,252.64","0.87","63,252.64","-6,982,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","1,734.18","0.02","1,734.18","1,496,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","253.62","0.00","253.62","79,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","217.67","0.00","217.67","-24,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","0.27","0.00","0.27","0.00","-","-","-","135.80","United Kingdom","-","USD","0.74","GBP","-"
"GBP","GBP/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","-6,982,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","-79,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","81,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","839,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","6,141,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","-1,283.69","-0.02","-1,283.69","162,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","-1,995.09","-0.03","-1,995.09","-81,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","-18,527.13","-0.25","-18,527.13","-839,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","-62,937.14","-0.86","-62,937.14","6,982,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","-135,541.70","-1.85","-135,541.70","-6,141,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
