Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"AMXL","AMERICA MOVIL L","Communication","Equity","103,183.40","15.05","103,183.40","149,541.00","S26674705","MXP001691213","2667470","0.69","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","72,684.01","10.60","72,684.01","22,714.00","-","MX01WA000038","BW1YVH8","3.20","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","64,170.59","9.36","64,170.59","8,421.00","S22420590","MXP320321310","2242059","7.62","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","63,434.08","9.25","63,434.08","11,227.00","S24210411","MXP370711014","2421041","5.65","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"CEMEXCPO","CEMEX CPO","Materials","Equity","31,356.88","4.57","31,356.88","46,801.00","S24064578","MXP225611567","2406457","0.67","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","29,806.72","4.35","29,806.72","5,949.00","S26436741","MXP370841019","2643674","5.01","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","21,485.79","3.13","21,485.79","11,368.00","S23801087","MXP4987V1378","2380108","1.89","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","18,429.26","2.69","18,429.26","1,807.00","-","MX01GA000004","B0ZV104","10.20","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","17,201.25","2.51","17,201.25","14,958.00","-","MXCFFU000001","B671GT8","1.15","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","17,088.75","2.49","17,088.75","990.00","S26393496","MXP001661018","2639349","17.26","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","16,569.81","2.42","16,569.81","7,779.00","S23924715","MXP495211262","2392471","2.13","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materials","Equity","14,217.47","2.07","14,217.47","5,208.00","-","MX01OR010004","BH3T8K8","2.73","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"GRUMAB","GRUMA","Consumer Staples","Equity","12,742.92","1.86","12,742.92","1,079.00","S23925456","MXP4948K1056","2392545","11.81","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","12,416.32","1.81","12,416.32","7,480.00","S24919144","MXP606941179","2491914","1.66","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","11,205.76","1.63","11,205.76","2,219.00","S28238855","MX01AC100006","2823885","5.05","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN"
