Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"ASML","ASML HOLDING NV","Information Technology","Equity","20,878,084.52","4.14","20,878,084.52","41,795.00","-","NL0010273215","B929F46","499.53","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"MC","LVMH","Consumer Discretionary","Equity","16,939,966.52","3.36","16,939,966.52","27,259.00","S40614125","FR0000121014","4061412","621.44","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"SAP","SAP","Information Technology","Equity","13,222,616.59","2.62","13,222,616.59","102,541.00","S48462881","DE0007164600","4846288","128.95","Germany","Xetra","USD","0.81","EUR"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","12,970,092.86","2.57","12,970,092.86","12,970,093.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD"
"SIE","SIEMENS N AG","Industrials","Equity","10,824,716.24","2.15","10,824,716.24","75,119.00","S57279739","DE0007236101","5727973","144.10","Germany","Xetra","USD","0.81","EUR"
"FP","TOTAL","Energy","Equity","10,785,063.97","2.14","10,785,063.97","247,477.00","-","FR0000120271","B15C557","43.58","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"SAN","SANOFI SA","Health Care","Equity","10,779,399.36","2.14","10,779,399.36","111,162.00","S56717358","FR0000120578","5671735","96.97","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ALV","ALLIANZ","Financials","Equity","9,885,908.24","1.96","9,885,908.24","40,964.00","S52314853","DE0008404005","5231485","241.33","Germany","Xetra","USD","0.81","EUR"
"OR","LOREAL SA","Consumer Staples","Equity","9,358,897.17","1.86","9,358,897.17","24,711.00","S40578080","FR0000120321","4057808","378.73","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"IBE","IBERDROLA SA","Utilities","Equity","8,523,266.00","1.69","8,523,266.00","592,305.00","-","ES0144580Y14","B288C92","14.39","Spain","Bolsa De Madrid","USD","0.81","EUR"
"ENEL","ENEL","Utilities","Equity","8,242,513.75","1.63","8,242,513.75","799,468.00","S71445696","IT0003128367","7144569","10.31","Italy","Borsa Italiana","USD","0.81","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","7,831,930.66","1.55","7,831,930.66","52,897.00","S48341085","FR0000121972","4834108","148.06","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","7,703,718.27","1.53","7,703,718.27","46,484.00","-","FR0000120073","B1YXBJ7","165.73","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"BAS","BASF N","Materials","Equity","7,129,063.79","1.41","7,129,063.79","90,173.00","S50865773","DE000BASF111","5086577","79.06","Germany","Xetra","USD","0.81","EUR"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","6,644,233.84","1.32","6,644,233.84","18,688.00","S40319766","DE000A1EWWW0","4031976","355.53","Germany","Xetra","USD","0.81","EUR"
"AIR","AIRBUS GROUP","Industrials","Equity","6,366,313.90","1.26","6,366,313.90","57,729.00","S40122509","NL0000235190","4012250","110.28","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","6,020,620.94","1.19","6,020,620.94","327,208.00","S58423591","DE0005557508","5842359","18.40","Germany","Xetra","USD","0.81","EUR"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","5,867,271.85","1.16","5,867,271.85","84,010.00","S55290274","DE0007100000","5529027","69.84","Germany","Xetra","USD","0.81","EUR"
"BAYN","BAYER AG","Health Care","Equity","5,856,600.12","1.16","5,856,600.12","96,421.00","S50692110","DE000BAY0017","5069211","60.74","Germany","Xetra","USD","0.81","EUR"
"BNP","BNP PARIBAS SA","Financials","Equity","5,817,504.20","1.15","5,817,504.20","110,410.00","S73096810","FR0000131104","7309681","52.69","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"SAN","BANCO SANTANDER SA","Financials","Equity","5,382,795.93","1.07","5,382,795.93","1,703,416.00","S57059461","ES0113900J37","5705946","3.16","Spain","Bolsa De Madrid","USD","0.81","EUR"
"PRX","PROSUS NV","Consumer Discretionary","Equity","5,311,431.96","1.05","5,311,431.96","47,924.00","-","NL0013654783","BJDS7L3","110.83","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"ABI","ANHEUSER BUSCH INBEV NV","Consumer Staples","Equity","5,248,868.36","1.04","5,248,868.36","74,770.00","-","BE0974293251","BYYHL23","70.20","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"KER","KERING SA","Consumer Discretionary","Equity","5,215,083.01","1.03","5,215,083.01","7,433.00","S55050728","FR0000121485","5505072","701.61","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"DG","VINCI SA","Industrials","Equity","5,102,903.49","1.01","5,102,903.49","51,116.00","-","FR0000125486","B1XH026","99.83","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","4,996,135.71","0.99","4,996,135.71","128,238.00","S58895053","DE0006231004","5889505","38.96","Germany","Xetra","USD","0.81","EUR"
"PHIA","KONINKLIJKE PHILIPS NV","Health Care","Equity","4,915,364.43","0.97","4,915,364.43","89,468.00","S59866228","NL0000009538","5986622","54.94","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"DPW","DEUTSCHE POST AG","Industrials","Equity","4,792,159.16","0.95","4,792,159.16","97,047.00","S46178596","DE0005552004","4617859","49.38","Germany","Xetra","USD","0.81","EUR"
"CS","AXA SA","Financials","Equity","4,526,124.78","0.90","4,526,124.78","189,775.00","S70884291","FR0000120628","7088429","23.85","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"SAF","SAFRAN SA","Industrials","Equity","4,492,086.54","0.89","4,492,086.54","31,435.00","-","FR0000073272","B058TZ6","142.90","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"EL","ESSILORLUXOTTICA SA","Consumer Discretionary","Equity","4,373,332.03","0.87","4,373,332.03","27,962.00","S72124779","FR0000121667","7212477","156.40","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"BN","DANONE SA","Consumer Staples","Equity","4,069,971.92","0.81","4,069,971.92","60,719.00","-","FR0000120644","B1Y9TB3","67.03","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","4,002,654.10","0.79","4,002,654.10","13,740.00","S52941218","DE0008430026","5294121","291.32","Germany","Xetra","USD","0.81","EUR"
"ADYEN","ADYEN NV","Information Technology","Equity","3,989,504.11","0.79","3,989,504.11","1,777.00","-","NL0012969182","BZ1HM42","2,245.38","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","3,924,361.09","0.78","3,924,361.09","20,570.00","S46823290","FR0000120693","4682329","190.78","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ISP","INTESA SANPAOLO","Financials","Equity","3,751,388.17","0.74","3,751,388.17","1,623,978.00","S40768368","IT0000072618","4076836","2.31","Italy","Borsa Italiana","USD","0.81","EUR"
"VNA","VONOVIA SE","Real Estate","Equity","3,748,909.90","0.74","3,748,909.90","51,201.00","-","DE000A1ML7J1","BBJPFY1","73.22","Germany","Xetra","USD","0.81","EUR"
"INGA","ING GROEP NV","Financials","Equity","3,592,627.35","0.71","3,592,627.35","382,601.00","-","NL0011821202","BZ57390","9.39","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Consumer Discretionary","Equity","3,390,673.88","0.67","3,390,673.88","107,266.00","-","ES0148396007","BP9DL90","31.61","Spain","Bolsa De Madrid","USD","0.81","EUR"
"FLTR","FLUTTER ENTERTAINMENT PLC","Consumer Discretionary","Equity","3,360,681.79","0.67","3,360,681.79","15,976.00","-","IE00BWT6H894","BWT6H89","210.36","Ireland","Irish Stock Exchange - All Market","USD","0.81","EUR"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","3,311,217.60","0.66","3,311,217.60","3,100.00","S52539731","FR0000052292","5253973","1,068.06","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","3,298,168.77","0.65","3,298,168.77","18,246.00","S54971684","DE0007664039","5497168","180.76","Germany","Xetra","USD","0.81","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","3,279,303.59","0.65","3,279,303.59","655,861.00","S55019061","ES0113211835","5501906","5.00","Spain","Bolsa De Madrid","USD","0.81","EUR"
"CRG","CRH PLC","Materials","Equity","3,277,078.21","0.65","3,277,078.21","77,180.00","S41822495","IE0001827041","4182249","42.46","Ireland","Irish Stock Exchange - All Market","USD","0.81","EUR"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","3,174,002.53","0.63","3,174,002.53","18,614.00","S70219639","DE0005810055","7021963","170.52","Germany","Xetra","USD","0.81","EUR"
