Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"9984","SOFTBANK GROUP CORP","Communication","Equity","60,433.06","1.79","60,433.06","729.00","S67706200","JP3436100006","6770620","82.91","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6758","SONY CORP","Consumer Discretionary","Equity","58,402.99","1.73","58,402.99","577.00","S68215060","JP3435000009","6821506","101.21","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6594","NIDEC CORP","Industrials","Equity","56,913.06","1.69","56,913.06","425.00","S66406828","JP3734800000","6640682","133.86","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","55,825.73","1.66","55,825.73","319.00","S68045855","JP3371200001","6804585","175.07","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6861","KEYENCE CORP","Information Technology","Equity","55,794.86","1.66","55,794.86","104.00","S64909955","JP3236200006","6490995","535.62","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","52,969.01","1.57","52,969.01","11,175.00","S63351712","JP3902900004","6335171","4.74","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","52,358.74","1.55","52,358.74","1,124.00","-","JP3970300004","BQRRZ00","46.60","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","48,536.80","1.44","48,536.80","224.00","S62507249","JP3481800005","6250724","216.70","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","48,432.80","1.44","48,432.80","516.00","S66104035","JP3914400001","6610403","93.81","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communication","Equity","47,729.94","1.42","47,729.94","1,883.00","S66413733","JP3735400008","6641373","25.35","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","45,221.13","1.34","45,221.13","611.00","S69006435","JP3633400001","6900643","74.06","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","45,179.19","1.34","45,179.19","1,428.00","-","JP3475350009","B0J7D91","31.64","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","43,407.45","1.29","43,407.45","1,245.00","S68704451","JP3463000004","6870445","34.86","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"7974","NINTENDO LTD","Communication","Equity","42,903.20","1.27","42,903.20","72.00","S66395500","JP3756600007","6639550","594.81","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"7741","HOYA CORP","Health Care","Equity","42,395.94","1.26","42,395.94","349.00","S64415060","JP3837800006","6441506","121.39","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"9433","KDDI CORP","Communication","Equity","42,186.59","1.25","42,186.59","1,397.00","S62489901","JP3496400007","6248990","30.20","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6954","FANUC CORP","Industrials","Equity","40,789.60","1.21","40,789.60","152.00","S63569347","JP3802400006","6356934","268.62","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","39,828.74","1.18","39,828.74","102.00","S68956754","JP3571400005","6895675","388.58","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","39,100.05","1.16","39,100.05","1,215.00","S65630246","JP3890350006","6563024","32.19","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","38,503.55","1.14","38,503.55","1,397.00","S64351455","JP3854600008","6435145","27.56","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6501","HITACHI LTD","Information Technology","Equity","36,911.63","1.10","36,911.63","850.00","S64291040","JP3788600009","6429104","43.41","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"8001","ITOCHU CORP","Industrials","Equity","34,597.06","1.03","34,597.06","1,215.00","S64678030","JP3143600009","6467803","28.48","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
"6273","SMC (JAPAN) CORP","Industrials","Equity","32,786.41","0.97","32,786.41","53.00","S67639658","JP3162600005","6763965","616.89","Japan","Tokyo Stock Exchange","USD","105.08","JPY"
