Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"ASM","ASM INTERNATIONAL NV","Information Technology","Equity","292,260.06","0.43","292,260.06","1,038.00","S51652949","NL0000334118","5165294","281.63","Netherlands","Euronext Amsterdam","USD","0.83","EUR"
"VACN","VAT GROUP AG","Industrials","Equity","183,262.94","0.27","183,262.94","623.00","-","CH0311864901","BYZWMR9","294.21","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"SIGN","SIG COMBIBLOC GROUP AG","Materials","Equity","183,045.23","0.27","183,045.23","7,411.00","-","CH0435377954","BD5GN60","24.70","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"RMV","RIGHTMOVE PLC","Communication","Equity","170,533.79","0.25","170,533.79","20,253.00","-","GB00BGDT3G23","BGDT3G2","8.42","United Kingdom","London Stock Exchange","USD","0.72","GBP"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Financials","Equity","167,370.22","0.25","167,370.22","6,711.00","-","GB00BYT1DJ19","BYT1DJ1","24.94","United Kingdom","London Stock Exchange","USD","0.72","GBP"
"WEIR","WEIR GROUP PLC","Industrials","Equity","166,247.66","0.24","166,247.66","6,019.00","S09465808","GB0009465807","0946580","27.62","United Kingdom","London Stock Exchange","USD","0.72","GBP"
"BME","B&M EUROPEAN VALUE RETAIL SA","Consumer Discretionary","Equity","160,852.57","0.24","160,852.57","20,675.00","-","LU1072616219","BMTRW10","7.78","United Kingdom","London Stock Exchange","USD","0.72","GBP"
"EMBRAC B","EMBRACER GROUP","Communication","Equity","159,668.78","0.23","159,668.78","5,369.00","-","SE0013121589","BK5MWJ3","29.74","Sweden","Nasdaq Omx Nordic","USD","8.34","SEK"
"SMDS","SMITH (DS) PLC","Materials","Equity","159,219.75","0.23","159,219.75","31,780.00","S08220113","GB0008220112","0822011","5.01","United Kingdom","London Stock Exchange","USD","0.72","GBP"
"AMS","AMS AG","Information Technology","Equity","155,695.60","0.23","155,695.60","6,068.00","-","AT0000A18XM4","BPF0548","25.66","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"IMCD","IMCD NV","Industrials","Equity","153,688.60","0.23","153,688.60","1,217.00","-","NL0010801007","BNCBD46","126.24","Netherlands","Euronext Amsterdam","USD","0.83","EUR"
