Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SCZ","ISHARES MSCI EAFE SMALL-CAP ETF","Financials","Equity","74,955,223.96","97.84","74,955,223.96","1,030,454.00","464288273","US4642882736","B29YQH5","72.74","United States","NASDAQ","USD","1.00","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","519,631.48","0.68","519,631.48","-1,988,481,000.00","-","-","-","1.00","United States","-","USD","109.54","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","400,017.51","0.52","400,017.51","-11,477,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","162,710.79","0.21","162,710.79","-8,489,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","140,451.50","0.18","140,451.50","-40,860,000.00","-","-","-","1.00","United States","-","USD","8.65","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","132,539.79","0.17","132,539.79","-3,191,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","89,778.33","0.12","89,778.33","-7,740,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","30,000.00","0.04","30,000.00","30,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","29,539.74","0.04","29,539.74","-6,351,000.00","-","-","-","1.00","United States","-","USD","6.30","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","Forwards","26,482.24","0.03","26,482.24","-960,000.00","-","-","-","1.00","United States","-","USD","1.43","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","17,361.69","0.02","17,361.69","-498,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","15,106.53","0.02","15,106.53","-57,902,000.00","-","-","-","1.00","United States","-","USD","109.54","USD","-"
"SGD","SGD/USD","Cash and/or Derivatives","Forwards","13,375.43","0.02","13,375.43","-1,507,000.00","-","-","-","1.00","United States","-","USD","1.35","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","9,868.02","0.01","9,868.02","-40,770,000.00","-","-","-","1.00","United States","-","USD","109.54","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","8,858.69","0.01","8,858.69","-463,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"ILS","ILS/USD","Cash and/or Derivatives","Forwards","8,143.64","0.01","8,143.64","-4,175,000.00","-","-","-","1.00","United States","-","USD","3.33","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","7,572.64","0.01","7,572.64","7,573.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","7,174.81","0.01","7,174.81","-29,827,000.00","-","-","-","1.00","United States","-","USD","109.54","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","7,060.73","0.01","7,060.73","-236,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","4,418.12","0.01","4,418.12","-173,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","4,163.75","0.01","4,163.75","-1,212,000.00","-","-","-","1.00","United States","-","USD","8.65","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","4,160.93","0.01","4,160.93","-41,819,000.00","-","-","-","1.00","United States","-","USD","109.54","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","3,367.97","0.00","3,367.97","-242,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","3,191.33","0.00","3,191.33","-239,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","3,186.95","0.00","3,186.95","-853,000.00","-","-","-","1.00","United States","-","USD","8.65","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","3,127.28","0.00","3,127.28","-156,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","3,081.60","0.00","3,081.60","-177,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","2,764.87","0.00","2,764.87","-44,371,000.00","-","-","-","1.00","United States","-","USD","109.54","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","2,623.77","0.00","2,623.77","-181,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","2,489.93","0.00","2,489.93","-60,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","2,004.18","0.00","2,004.18","-864,000.00","-","-","-","1.00","United States","-","USD","8.65","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","1,965.11","0.00","1,965.11","-65,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","1,928.57","0.00","1,928.57","-160,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","1,899.86","0.00","1,899.86","-622,000.00","-","-","-","1.00","United States","-","USD","8.65","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","Forwards","1,829.22","0.00","1,829.22","-9,405,000.00","-","-","-","1.00","United States","-","USD","7.77","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","1,722.14","0.00","1,722.14","-156,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","1,716.36","0.00","1,716.36","-131,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","1,693.78","0.00","1,693.78","-146,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","1,677.75","0.00","1,677.75","-115,000.00","-","-","-","1.00","United States","-","USD","1.31","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","1,589.57","0.00","1,589.57","-873,000.00","-","-","-","1.00","United States","-","USD","8.65","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","1,450.45","0.00","1,450.45","-312,000.00","-","-","-","1.00","United States","-","USD","6.30","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","1,403.99","0.00","1,403.99","-47,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","1,246.10","0.00","1,246.10","-67,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","1,208.17","0.00","1,208.17","-180,000.00","-","-","-","1.00","United States","-","USD","0.73","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","815.05","0.00","815.05","-66,000.00","-","-","-","1.00","United States","-","USD","0.94","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","689.88","0.00","689.88","-61,000.00","-","-","-","1.00","United States","-","USD","0.85","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","Forwards","571.73","0.00","571.73","-276,000.00","-","-","-","1.00","United States","-","USD","8.58","USD","-"
