Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MCSXX","BLACKROCK LIQ MUNICASH CL INS MMF","Cash and/or Derivatives","Money Market","15,708,232.54","62.33","15,708,232.54","15,705,092.00","09248U841","US09248U8412","B0BW5H6","1.00","United States","-","USD","1.00","USD","-"
"GLDGEN","GOLDEN ST TOB SECURITIZATION C","Government Related","Fixed Income","1,244,042.21","4.94","1,244,042.21","1,000,000.00","38122NZC9","US38122NZC90","-","122.81","United States","-","USD","1.00","USD","Apr 13, 2017"
"NJSTRN","NEW JERSEY ST TRANSN TR FD AUT","Government Related","Fixed Income","1,134,832.22","4.50","1,134,832.22","1,000,000.00","6461367C9","US6461367C90","-","112.36","United States","-","USD","1.00","USD","Dec 15, 2020"
"ILS","ILLINOIS ST","Government Related","Fixed Income","826,959.15","3.28","826,959.15","750,000.00","452153AV1","US452153AV19","-","110.24","United States","-","USD","1.00","USD","Mar 24, 2021"
"PCURA","PUEBLO COLO URBAN RENEWAL AUTH","Municipals","Fixed Income","635,759.99","2.52","635,759.99","600,000.00","744826AW8","US744826AW80","-","105.96","United States","-","USD","1.00","USD","Mar 30, 2021"
"NYTTRN","NEW YORK TRANSN DEV CORP SPL F","Government Related","Fixed Income","627,728.88","2.49","627,728.88","500,000.00","650116EP7","US650116EP75","-","124.14","United States","-","USD","1.00","USD","Dec 15, 2020"
"MEMAPT","MEMPHIS-SHELBY CNTY TENN ARPT","Government Related","Fixed Income","615,760.00","2.44","615,760.00","500,000.00","586111PN0","US586111PN00","-","123.15","United States","-","USD","1.00","USD","Apr 06, 2021"
"NNDDEV","NEXUS NORTH AT DIA MET DIST CO","Municipals","Fixed Income","598,058.14","2.37","598,058.14","565,000.00","65344KAB9","US65344KAB98","-","105.85","United States","-","USD","1.00","USD","Apr 01, 2021"
"NYSHGR","NEW YORK ST DORM AUTH ST PERS","Government Related","Fixed Income","575,025.57","2.28","575,025.57","500,000.00","64990FA38","US64990FA384","-","114.99","United States","-","USD","1.00","USD","Mar 25, 2021"
"PTM","PORT MORROW ORE FULL FAITH & C","Government Related","Fixed Income","571,015.02","2.27","571,015.02","500,000.00","73473RFF7","US73473RFF73","-","114.20","United States","-","USD","1.00","USD","Apr 01, 2021"
"CASHSG","CALIFORNIA HSG FIN AGY MUN CTF","Corporates","Fixed Income","563,790.27","2.24","563,790.27","500,000.00","13033DAE5","US13033DAE58","-","112.52","United States","-","USD","1.00","USD","Mar 01, 2021"
"ILSGEN","ILLINOIS FIN AUTH REV","Corporates","Fixed Income","560,185.02","2.22","560,185.02","500,000.00","45204FHU2","US45204FHU21","-","112.04","United States","-","USD","1.00","USD","Apr 22, 2021"
"NYTTRN","NEW YORK TRANSN DEV CORP EXEMP","Government Related","Fixed Income","558,499.98","2.22","558,499.98","500,000.00","650110AE9","US650110AE94","-","111.70","United States","-","USD","1.00","USD","Mar 30, 2021"
"ESCMED","ESCAMBIA CNTY FLA HEALTH FACS","Government Related","Fixed Income","557,262.79","2.21","557,262.79","500,000.00","296110GD5","US296110GD59","-","111.00","United States","-","USD","1.00","USD","Feb 12, 2020"
"GLSFAC","GEO L SMITH II GA WORLD CONGRE","Municipals","Fixed Income","553,790.02","2.20","553,790.02","500,000.00","37255MAC9","US37255MAC91","-","110.76","United States","-","USD","1.00","USD","Apr 14, 2021"
"PRCGEN","PUERTO RICO SALES TAX FING COR","Corporates","Fixed Income","546,697.77","2.17","546,697.77","500,000.00","74529JRL1","US74529JRL16","-","108.21","United States","-","USD","1.00","USD","Aug 01, 2019"
"PEAGEN","PEAK MET DIST NO 1 COLO","Municipals","Fixed Income","530,778.32","2.11","530,778.32","500,000.00","704676AC9","US704676AC97","-","106.11","United States","-","USD","1.00","USD","Mar 23, 2021"
"FLSDEV","FLORIDA DEV FIN CORP EDL FACS","Municipals","Fixed Income","502,744.71","2.00","502,744.71","500,000.00","34061UGX0","US34061UGX00","-","100.49","United States","-","USD","1.00","USD","Mar 22, 2021"
"PUBEDU","PUBLIC FIN AUTH WIS ED REV","Municipals","Fixed Income","499,889.98","1.98","499,889.98","500,000.00","74442EFW5","US74442EFW57","-","99.98","United States","-","USD","1.00","USD","Mar 30, 2021"
"BERHGR","BERKS CNTY PA MUN AUTH UNIV RE","Corporates","Fixed Income","329,035.67","1.31","329,035.67","300,000.00","08454AAB7","US08454AAB70","-","107.25","United States","-","USD","1.00","USD","Feb 27, 2020"
"GMSGEN","GUAM GOVT HOTEL OCCUPANCY TAX","Government Related","Fixed Income","302,614.99","1.20","302,614.99","250,000.00","40065KAV5","US40065KAV52","-","121.05","United States","-","USD","1.00","USD","Mar 31, 2021"
"PRCUTL","PUERTO RICO COMWLTH AQUEDUCT &","Corporates","Fixed Income","292,490.01","1.16","292,490.01","250,000.00","745160SJ1","US745160SJ13","-","115.62","United States","-","USD","1.00","USD","Dec 17, 2020"
"BUCGEN","BUCKEYE OHIO TOB SETTLEMENT FI","Municipals","Fixed Income","284,610.56","1.13","284,610.56","250,000.00","118217CZ9","US118217CZ97","-","112.25","United States","-","USD","1.00","USD","Mar 04, 2020"
"ILS","ILLINOIS ST","Government Related","Fixed Income","276,415.26","1.10","276,415.26","245,000.00","4521527B1","US4521527B18","-","111.17","United States","-","USD","1.00","USD","Oct 27, 2020"
"ARSDEV","ARKANSAS ST DEV FIN AUTH INDL","Government Related","Fixed Income","272,486.25","1.08","272,486.25","250,000.00","04108WCC4","US04108WCC47","-","108.68","United States","-","USD","1.00","USD","May 31, 2019"
"GLSFAC","GEO L SMITH II GA WORLD CONGRE","Municipals","Fixed Income","266,927.51","1.06","266,927.51","250,000.00","37255MAF2","US37255MAF23","-","106.77","United States","-","USD","1.00","USD","Apr 14, 2021"
