Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"VODAFONE GROUP PLC RegS","Communications","Fixed Income","390,482.33","0.77","390,482.33","300,000.00","-","XS1888179477","BGNKT67","126.44","United Kingdom","-","USD","2.85","2.69","0.82","Jan 03, 2079","3.10","2.41","-","1.89","2.82","1.89","EUR","Oct 03, 2018","Oct 03, 2018"
"SOFTBANK GROUP CORP RegS","Communications","Fixed Income","315,010.05","0.62","315,010.05","250,000.00","-","XS1684385161","BF13347","124.95","Japan","-","USD","4.25","2.60","0.82","Sep 19, 2025","3.13","4.34","-","2.58","4.13","2.58","EUR","Sep 19, 2017","Sep 19, 2017"
"IQVIA INC RegS","Consumer Non-Cyclical","Fixed Income","311,204.67","0.62","311,204.67","250,000.00","-","XS1533922776","BF1HQX9","123.35","United States","-","USD","0.55","3.00","0.82","Mar 15, 2025","3.25","3.88","-","2.41","0.21","2.41","EUR","Feb 28, 2017","Feb 28, 2017"
"DEUTSCHE BANK AG MTN RegS","Banking","Fixed Income","289,973.80","0.57","289,973.80","200,000.00","-","DE000DL19VB0","BMCTKW0","140.79","Germany","-","USD","4.55","3.79","0.82","May 19, 2031","5.63","4.59","-","2.43","4.47","2.43","EUR","May 19, 2020","May 19, 2020"
"INTESA SANPAOLO SPA MTN RegS","Banking","Fixed Income","283,346.60","0.56","283,346.60","200,000.00","-","XS0971213201","BDRZPG9","139.32","Italy","-","USD","2.55","1.31","0.82","Sep 13, 2023","6.63","2.51","-","1.31","2.51","1.31","EUR","Sep 13, 2013","Sep 13, 2013"
"NETFLIX INC RegS","Communications","Fixed Income","281,886.06","0.56","281,886.06","200,000.00","-","XS1989380172","BK4PGH9","140.77","United States","-","USD","7.72","1.99","0.82","Nov 15, 2029","3.88","7.62","-","1.99","7.62","1.99","EUR","Apr 29, 2019","Apr 29, 2019"
"TELECOM ITALIA SPA MTN RegS","Communications","Fixed Income","279,191.34","0.55","279,191.34","207,000.00","-","XS1347748607","BYVXWT8","130.71","Italy","-","USD","2.88","1.27","0.82","Jan 19, 2024","3.63","2.83","-","1.27","2.83","1.27","EUR","Jan 20, 2016","Jan 20, 2016"
"EDP - ENERGIAS DE PORTUGAL SA RegS","Electric","Fixed Income","275,296.70","0.55","275,296.70","200,000.00","-","PTEDPKOM0034","BJFT372","134.01","Portugal","-","USD","2.89","1.60","0.82","Apr 30, 2079","4.50","2.87","-","1.60","2.87","1.60","EUR","Jan 30, 2019","Jan 30, 2019"
"FIAT CHRYSLER AUTOMOBILES NV MTN RegS","Consumer Cyclical","Fixed Income","274,649.31","0.54","274,649.31","200,000.00","-","XS1388625425","BZ8TQT4","133.89","United Kingdom","-","USD","3.07","0.74","0.82","Mar 29, 2024","3.75","3.03","-","0.74","3.03","0.74","EUR","Mar 30, 2016","Mar 30, 2016"
"TEVA PHARMACEUTICAL FINANCE NETHER","Consumer Non-Cyclical","Fixed Income","269,443.73","0.53","269,443.73","200,000.00","-","XS2198213956","-","131.71","Israel","-","USD","2.83","3.95","0.82","Jan 31, 2025","6.00","3.55","-","3.34","2.77","3.34","EUR","Sep 14, 2020","Jul 31, 2020"
"ALTICE FRANCE HOLDING SA RegS","Communications","Fixed Income","267,314.88","0.53","267,314.88","200,000.00","-","XS2138128314","BL5F4L5","132.49","Luxembourg","-","USD","1.33","6.36","0.82","May 15, 2027","8.00","4.98","-","4.44","1.30","4.44","EUR","Mar 27, 2020","Nov 15, 2019"
"BANCO BPM SPA MTN RegS","Banking","Fixed Income","265,032.62","0.53","265,032.62","209,000.00","-","XS1811053641","BZ1M838","125.36","Italy","-","USD","2.28","0.60","0.82","Apr 24, 2023","1.75","2.26","-","0.60","2.26","0.60","EUR","Apr 24, 2018","Apr 24, 2018"
"SCHAEFFLER AG RegS","Consumer Cyclical","Fixed Income","260,299.10","0.52","260,299.10","200,000.00","-","DE000A289Q91","-","129.44","Germany","-","USD","4.34","1.45","0.82","Oct 12, 2025","2.75","4.47","-","1.38","4.26","1.38","EUR","Oct 12, 2020","Oct 12, 2020"
"BANCA MONTE DEI PASCHI DI SIENA SP RegS","Banking","Fixed Income","259,409.70","0.51","259,409.70","200,000.00","-","XS2055091784","BJSF9F7","128.55","Italy","-","USD","3.56","2.15","0.82","Sep 24, 2024","3.63","3.47","-","2.15","3.47","2.15","EUR","Sep 24, 2019","Sep 24, 2019"
"VOLVO CAR AB MTN RegS","Consumer Cyclical","Fixed Income","254,922.62","0.51","254,922.62","200,000.00","-","XS1724626699","BFNL576","125.20","Sweden","-","USD","3.69","1.36","0.82","Jan 24, 2025","2.00","3.83","-","1.32","3.62","1.32","EUR","Nov 24, 2017","Nov 24, 2017"
"TELECOM ITALIA SPA MTN RegS","Communications","Fixed Income","254,886.12","0.51","254,886.12","200,000.00","-","XS1698218523","BF92HZ5","126.83","Italy","-","USD","6.23","1.77","0.82","Oct 12, 2027","2.38","6.22","-","1.75","6.02","1.75","EUR","Oct 12, 2017","Oct 12, 2017"
"THYSSENKRUPP AG MTN RegS","Capital Goods","Fixed Income","252,681.63","0.50","252,681.63","200,000.00","-","DE000A2TEDB8","BJLRJW7","123.37","Germany","-","USD","2.80","2.54","0.82","Feb 22, 2024","2.88","2.92","-","2.51","2.70","2.51","EUR","Feb 22, 2019","Feb 22, 2019"
"UNICREDIT SPA MTN RegS","Banking","Fixed Income","252,329.75","0.50","252,329.75","200,000.00","-","XS2101558307","-","122.99","Italy","-","USD","5.54","2.50","0.82","Jan 15, 2032","2.73","5.40","-","2.61","5.45","2.61","EUR","Jan 15, 2020","Jan 15, 2020"
"DKT FINANCE APS RegS","Communications","Fixed Income","251,777.29","0.50","251,777.29","200,000.00","-","XS1841967356","BDFWXB3","125.63","Denmark","-","USD","0.47","5.83","0.82","Jun 17, 2023","7.00","2.24","-","4.57","0.46","4.57","EUR","Jul 02, 2018","Jul 02, 2018"
"VERISURE MIDHOLDING AB RegS","Consumer Cyclical","Fixed Income","248,449.65","0.49","248,449.65","200,000.00","-","XS1720016531","BD5VJ12","123.70","Sweden","-","USD","0.92","5.34","0.82","Dec 01, 2023","5.75","2.65","-","4.38","0.89","4.38","EUR","Nov 24, 2017","Nov 24, 2017"
"LINCOLN FINANCING SARL RegS","Financial Other","Fixed Income","248,125.45","0.49","248,125.45","200,000.00","-","XS1974797364","BHQ4FS7","122.99","Netherlands","-","USD","1.79","3.40","0.82","Apr 01, 2024","3.63","3.03","-","3.21","1.68","3.21","EUR","Apr 02, 2019","Apr 02, 2019"
"LOXAM SAS RegS","Capital Goods","Fixed Income","246,256.20","0.49","246,256.20","200,000.00","-","XS2031870921","BKDK0Z1","121.99","France","-","USD","3.14","3.31","0.82","Jan 14, 2025","3.25","3.73","-","3.31","3.73","3.31","EUR","Jul 22, 2019","Jul 22, 2019"
"NIDDA HEALTHCARE HOLDING AG RegS","Consumer Non-Cyclical","Fixed Income","245,158.59","0.49","245,158.59","200,000.00","-","XS1690644668","BD813P1","121.53","Germany","-","USD","2.96","3.68","0.82","Sep 30, 2024","3.50","3.46","-","3.68","3.46","3.68","EUR","Sep 29, 2017","Sep 29, 2017"
"ZF EUROPE FINANCE BV RegS","Consumer Cyclical","Fixed Income","245,116.98","0.49","245,116.98","200,000.00","-","XS2010039381","BKWD4L5","120.50","Germany","-","USD","4.87","2.28","0.82","Feb 23, 2026","2.00","4.76","-","2.28","4.76","2.28","EUR","Oct 23, 2019","Oct 23, 2019"
"UNICREDIT SPA MTN RegS","Banking","Fixed Income","242,114.91","0.48","242,114.91","200,000.00","-","XS2055089457","BKTC608","120.41","Italy","-","USD","3.63","2.16","0.82","Sep 23, 2029","2.00","3.52","-","2.40","3.58","2.40","EUR","Sep 23, 2019","Sep 23, 2019"
"AUTOSTRADE PER LITALIA SPA MTN RegS","Transportation","Fixed Income","242,043.12","0.48","242,043.12","200,000.00","-","XS1688199949","BZ02CF9","120.44","Italy","-","USD","8.09","2.05","0.82","Sep 26, 2029","1.88","7.94","-","2.05","7.94","2.05","EUR","Sep 26, 2017","Sep 26, 2017"
"REPSOL INTERNATIONAL FINANCE BV RegS","Energy","Fixed Income","241,653.74","0.48","241,653.74","175,000.00","-","XS1207058733","BWFL4S7","133.90","Spain","-","USD","3.87","3.85","0.82","Mar 25, 2075","4.50","3.42","-","2.10","3.81","2.10","EUR","Mar 25, 2015","Mar 25, 2015"
"INTESA SANPAOLO SPA MTN RegS","Banking","Fixed Income","241,382.54","0.48","241,382.54","175,000.00","-","XS1109765005","BQSC0N2","136.57","Italy","-","USD","5.23","1.74","0.82","Sep 15, 2026","3.93","5.12","-","1.74","5.12","1.74","EUR","Sep 15, 2014","Sep 15, 2014"
"ALTICE FINANCING SA RegS","Communications","Fixed Income","238,471.83","0.47","238,471.83","200,000.00","-","XS2102493389","-","117.58","Luxembourg","-","USD","6.30","3.61","0.82","Jan 15, 2028","3.00","6.19","-","3.61","6.19","3.61","EUR","Jan 22, 2020","Jan 22, 2020"
"UNIPOL GRUPPO FINANZIARIO SPA MTN RegS","Insurance","Fixed Income","232,662.87","0.46","232,662.87","175,000.00","-","XS1206977495","BWDP157","130.09","Italy","-","USD","3.96","1.40","0.82","Mar 18, 2025","3.00","3.89","-","1.40","3.89","1.40","EUR","Mar 18, 2015","Mar 18, 2015"
"CASINO GUICHARD PERRACHON SA MTN RegS","Consumer Non-Cyclical","Fixed Income","227,016.16","0.45","227,016.16","200,000.00","-","FR0012369122","BT9PRF2","109.63","France","-","USD","3.77","6.50","0.82","Feb 07, 2025","3.58","3.52","-","6.50","3.52","6.50","EUR","Dec 08, 2014","Dec 08, 2014"
"FIAT CHRYSLER AUTOMOBILES NV MTN RegS","Consumer Cyclical","Fixed Income","226,864.15","0.45","226,864.15","150,000.00","-","XS2199351375","-","148.62","United Kingdom","-","USD","6.39","1.44","0.82","Jul 07, 2028","4.50","6.45","-","1.35","6.28","1.35","EUR","Jul 07, 2020","Jul 07, 2020"
"TEVA PHARMACEUTICAL FINANCE NETHER RegS","Consumer Non-Cyclical","Fixed Income","225,303.98","0.45","225,303.98","200,000.00","-","XS1439749281","BDH4HK4","112.37","Israel","-","USD","3.74","3.41","0.82","Oct 15, 2024","1.13","3.60","-","3.41","3.60","3.41","EUR","Jul 25, 2016","Jul 25, 2016"
"EUR CASH","Cash and/or Derivatives","Cash","224,277.65","0.44","224,277.65","183,616.00","-","-","-","122.14","European Union","-","USD","0.00","-0.57","0.82","-","0.00","0.00","-","-0.57","0.00","-0.57","EUR","Jan 01, 1989","-"
"CAD CASH","Cash and/or Derivatives","Cash","216,880.04","0.43","216,880.04","279,081.00","-","-","-","77.71","Canada","-","USD","0.00","0.46","1.29","-","0.00","0.00","-","0.46","0.00","0.46","CAD","Jan 01, 1989","-"
"ADIENT GLOBAL HOLDINGS LTD RegS","Consumer Cyclical","Fixed Income","215,162.32","0.43","215,162.32","175,000.00","-","XS1468662801","BDCSFH4","121.38","United States","-","USD","3.35","3.68","0.82","Aug 15, 2024","3.50","3.34","-","3.68","3.34","3.68","EUR","Aug 19, 2016","Aug 19, 2016"
"INTRUM AB MTN RegS","Financial Other","Fixed Income","214,736.42","0.43","214,736.42","175,000.00","-","XS2034925375","BKLVKT0","120.77","Sweden","-","USD","4.69","3.76","0.82","Jul 15, 2026","3.50","4.92","-","3.76","4.92","3.76","EUR","Jul 31, 2019","Jul 31, 2019"
