Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MS","MORGAN STANLEY","Financials","Equity","30,685,478.04","19.59","30,685,478.04","452,388.00","617446448","US6174464486","2262314","67.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","27,986,149.92","17.86","27,986,149.92","108,904.00","38141G104","US38141G1040","2407966","256.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","12,548,805.75","8.01","12,548,805.75","242,489.00","808513105","US8085131055","2779397","51.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","7,106,692.40","4.54","7,106,692.40","68,890.00","50212V100","US50212V1008","B75JX34","103.16","United States","NASDAQ","USD","1.00","USD","-"
"MKTX","MARKETAXESS HOLDINGS INC","Financials","Equity","6,947,642.84","4.43","6,947,642.84","12,011.00","57060D108","US57060D1081","B03Q9D0","578.44","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","6,928,074.94","4.42","6,928,074.94","61,561.00","45866F104","US45866F1049","BFSSDS9","112.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","6,887,560.08","4.40","6,887,560.08","76,308.00","12503M108","US12503M1080","B5834C5","90.26","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","6,887,169.25","4.40","6,887,169.25","53,785.00","631103108","US6311031081","2965107","128.05","United States","NASDAQ","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","6,884,092.30","4.39","6,884,092.30","73,274.00","754730109","US7547301090","2718992","93.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","6,759,662.76","4.31","6,759,662.76","37,188.00","12572Q105","US12572Q1058","2965839","181.77","United States","NASDAQ","USD","1.00","USD","-"
"SF","STIFEL FINANCIAL CORP","Financials","Equity","5,638,692.91","3.60","5,638,692.91","109,553.00","860630102","US8606301021","2849234","51.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","5,062,347.48","3.23","5,062,347.48","85,919.00","45841N107","US45841N1072","B1WT4X2","58.92","United States","NASDAQ","USD","1.00","USD","-"
"LAZ","LAZARD LTD CLASS A","Financials","Equity","4,821,387.00","3.08","4,821,387.00","119,935.00","G54050102","BMG540501027","B081VQ7","40.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","Financials","Equity","4,679,752.35","2.99","4,679,752.35","43,215.00","29977A105","US29977A1051","B1BHXZ2","108.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLI","HOULIHAN LOKEY INC CLASS A","Financials","Equity","3,753,457.50","2.40","3,753,457.50","54,795.00","441593100","US4415931009","BYQ3PM7","68.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MC","MOELIS CLASS A","Financials","Equity","2,680,369.28","1.71","2,680,369.28","58,987.00","60786M105","US60786M1053","BLG38Q1","45.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VIRT","VIRTU FINANCIAL INC CLASS A","Financials","Equity","2,154,942.90","1.38","2,154,942.90","86,284.00","928254101","US9282541013","BWTVWD4","24.98","United States","NASDAQ","USD","1.00","USD","-"
"PJT","PJT PARTNERS INC CLASS A","Financials","Equity","1,980,332.64","1.26","1,980,332.64","25,311.00","69343T107","US69343T1079","BYNWB63","78.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","1,503,699.06","0.96","1,503,699.06","14,626.00","724078100","US7240781002","2227089","102.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BGCP","BGC PARTNERS INC CLASS A","Financials","Equity","1,411,380.55","0.90","1,411,380.55","336,845.00","05541T101","US05541T1016","2528168","4.19","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","998,786.88","0.64","998,786.88","17,304.00","861896108","US8618961085","BMQ8XV3","57.72","United States","NASDAQ","USD","1.00","USD","-"
"COWN","COWEN INC CLASS A","Financials","Equity","749,119.58","0.48","749,119.58","28,258.00","223622606","US2236226062","BZ1J497","26.51","United States","NASDAQ","USD","1.00","USD","-"
"RILY","B RILEY FINANCIAL INC","Financials","Equity","726,312.42","0.46","726,312.42","17,582.00","05580M108","US05580M1080","BSKS2D6","41.31","United States","NASDAQ","USD","1.00","USD","-"
"DHIL","DIAMOND HILL INVESTMENT GROUP INC","Financials","Equity","466,955.00","0.30","466,955.00","3,062.00","25264R207","US25264R2076","2801137","152.50","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","223,784.33","0.14","223,784.33","223,784.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","160,000.00","0.10","160,000.00","160,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","37,000.00","0.02","37,000.00","37,000.00","-","-","-","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"RTYH1","RUSSELL 2000 EMINI CME MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","98,305.00","1.00","-","-","-","1,966.10","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"IXAH1","EMINI FINANCIAL SELECT SECTOR MAR","Cash and/or Derivatives","Futures","0.00","0.00","264,712.50","3.00","-","-","-","352.95","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
