Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","38,025,877.28","12.51","38,025,877.28","792,536.00","89832Q109","US89832Q1094","BKP7287","47.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","35,745,234.72","11.76","35,745,234.72","249,061.00","693475105","US6934751057","2692665","143.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","34,530,029.75","11.36","34,530,029.75","805,835.00","902973304","US9029733048","2736035","42.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRC","FIRST REPUBLIC BANK","Financials","Equity","14,826,532.41","4.88","14,826,532.41","102,259.00","33616C100","US33616C1009","B4WHY15","144.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIVB","SVB FINANCIAL GROUP","Financials","Equity","13,330,401.00","4.39","13,330,401.00","30,450.00","78486Q101","US78486Q1013","2808053","437.78","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","12,116,375.81","3.99","12,116,375.81","418,817.00","316773100","US3167731005","2336747","28.93","United States","NASDAQ","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","9,991,152.34","3.29","9,991,152.34","75,422.00","55261F104","US55261F1049","2340168","132.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEY","KEYCORP","Financials","Equity","9,678,466.14","3.18","9,678,466.14","574,049.00","493267108","US4932671088","2490911","16.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","9,604,356.30","3.16","9,604,356.30","564,630.00","7591EP100","US7591EP1005","B01R311","17.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","9,148,917.92","3.01","9,148,917.92","251,068.00","174610105","US1746101054","BQRX1X3","36.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","7,909,317.05","2.60","7,909,317.05","598,058.00","446150104","US4461501045","2445966","13.23","United States","NASDAQ","USD","1.00","USD","-"
"SBNY","SIGNATURE BANK","Financials","Equity","5,202,163.48","1.71","5,202,163.48","31,492.00","82669G104","US82669G1040","B00JQL9","165.19","United States","NASDAQ","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","4,988,446.56","1.64","4,988,446.56","83,224.00","27579R104","US27579R1041","2487407","59.94","United States","NASDAQ","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","4,677,129.60","1.54","4,677,129.60","81,768.00","200340107","US2003401070","2212870","57.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","Financials","Equity","4,530,195.72","1.49","4,530,195.72","326,148.00","320517105","US3205171057","2341484","13.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","4,256,022.94","1.40","4,256,022.94","96,421.00","989701107","US9897011071","2989828","44.14","United States","NASDAQ","USD","1.00","USD","-"
"CBSH","COMMERCE BANCSHARES INC","Financials","Equity","4,142,560.80","1.36","4,142,560.80","61,968.00","200525103","US2005251036","2213204","66.85","United States","NASDAQ","USD","1.00","USD","-"
"WAL","WESTERN ALLIANCE","Financials","Equity","4,041,437.68","1.33","4,041,437.68","59,276.00","957638109","US9576381092","B0CCGJ4","68.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PB","PROSPERITY BANCSHARES INC","Financials","Equity","3,669,680.16","1.21","3,669,680.16","54,414.00","743606105","US7436061052","2310257","67.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TCF","TCF FINANCIAL CORP","Financials","Equity","3,483,526.98","1.15","3,483,526.98","89,643.00","872307103","US8723071036","BK5FNZ5","38.86","United States","NASDAQ","USD","1.00","USD","-"
"PBCT","PEOPLES UNITED FINANCIAL INC","Financials","Equity","3,411,912.84","1.12","3,411,912.84","249,774.00","712704105","US7127041058","B1W41J2","13.66","United States","NASDAQ","USD","1.00","USD","-"
"SNV","SYNOVUS FINANCIAL CORP","Financials","Equity","3,232,456.80","1.06","3,232,456.80","86,894.00","87161C501","US87161C5013","BMH4NJ8","37.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","3,164,684.60","1.04","3,164,684.60","83,545.00","32020R109","US32020R1095","2266026","37.88","United States","NASDAQ","USD","1.00","USD","-"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Financials","Equity","3,055,752.70","1.01","3,055,752.70","44,590.00","72346Q104","US72346Q1040","2675097","68.53","United States","NASDAQ","USD","1.00","USD","-"
"CFR","CULLEN FROST BANKERS INC","Financials","Equity","3,033,312.40","1.00","3,033,312.40","32,885.00","229899109","US2298991090","2239556","92.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NYCB","NEW YORK COMMUNITY BANCORP INC","Financials","Equity","2,852,703.50","0.94","2,852,703.50","272,725.00","649445103","US6494451031","2711656","10.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BPOP","POPULAR INC","Financials","Equity","2,810,827.50","0.92","2,810,827.50","49,530.00","733174700","PR7331747001","B86QM90","56.75","United States","NASDAQ","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","2,616,738.45","0.86","2,616,738.45","56,093.00","37637Q105","US37637Q1058","2370585","46.65","United States","NASDAQ","USD","1.00","USD","-"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Equity","2,531,169.53","0.83","2,531,169.53","4,247.00","31946M103","US31946M1036","2355582","595.99","United States","NASDAQ","USD","1.00","USD","-"
"WBS","WEBSTER FINANCIAL CORP","Financials","Equity","2,479,059.00","0.82","2,479,059.00","53,028.00","947890109","US9478901096","2945143","46.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","2,424,170.51","0.80","2,424,170.51","237,431.00","919794107","US9197941076","2935326","10.21","United States","NASDAQ","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","2,415,214.76","0.79","2,415,214.76","76,286.00","909907107","US9099071071","2905794","31.66","United States","NASDAQ","USD","1.00","USD","-"
"CIT","CIT GROUP INC","Financials","Equity","2,137,321.80","0.70","2,137,321.80","57,922.00","125581801","US1255818015","B4Z73G0","36.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STL","STERLING BANCORP","Financials","Equity","2,109,294.98","0.69","2,109,294.98","114,263.00","85917A100","US85917A1007","BFNXVB8","18.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PACW","PACWEST BANCORP","Financials","Equity","2,072,694.45","0.68","2,072,694.45","68,655.00","695263103","US6952631033","2619772","30.19","United States","NASDAQ","USD","1.00","USD","-"
"WTFC","WINTRUST FINANCIAL CORP","Financials","Equity","2,039,417.77","0.67","2,039,417.77","33,883.00","97650W108","US97650W1080","2425258","60.19","United States","NASDAQ","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","1,893,817.20","0.62","1,893,817.20","89,331.00","436893200","US4368932004","B17MTL9","21.20","United States","NASDAQ","USD","1.00","USD","-"
"UMPQ","UMPQUA HOLDINGS CORP","Financials","Equity","1,878,580.68","0.62","1,878,580.68","129,468.00","904214103","US9042141039","2484389","14.51","United States","NASDAQ","USD","1.00","USD","-"
"FNB","FNB CORP","Financials","Equity","1,870,156.06","0.62","1,870,156.06","189,671.00","302520101","US3025201019","2041308","9.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKU","BANKUNITED INC","Financials","Equity","1,845,770.85","0.61","1,845,770.85","53,269.00","06652K103","US06652K1034","B3NNTZ4","34.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOH","BANK OF HAWAII CORP.","Financials","Equity","1,841,530.88","0.61","1,841,530.88","23,552.00","062540109","US0625401098","2074070","78.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","1,803,489.64","0.59","1,803,489.64","25,412.00","902788108","US9027881088","2918510","70.97","United States","NASDAQ","USD","1.00","USD","-"
"FHB","FIRST HAWAIIAN INC","Financials","Equity","1,787,646.00","0.59","1,787,646.00","76,888.00","32051X108","US32051X1081","BDC6HG1","23.25","United States","NASDAQ","USD","1.00","USD","-"
