Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMGN","AMGEN INC","Health Care","Equity","911,034,982.89","9.25","911,034,982.89","3,661,569.00","031162100","US0311621009","2023607","248.81","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","674,802,023.89","6.85","674,802,023.89","10,441,003.00","375558103","US3755581036","2369174","64.63","United States","NASDAQ","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","465,591,329.28","4.73","465,591,329.28","1,212,288.00","452327109","US4523271090","2613990","384.06","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","464,161,325.55","4.71","464,161,325.55","2,159,995.00","92532F100","US92532F1003","2931034","214.89","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","434,972,555.55","4.42","434,972,555.55","3,321,669.00","60770K107","US60770K1079","BGSXTS3","130.95","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","413,896,721.18","4.20","413,896,721.18","874,787.00","75886F107","US75886F1075","2730190","473.14","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","354,095,520.75","3.60","354,095,520.75","1,265,757.00","09062X103","US09062X1037","2455965","279.75","United States","NASDAQ","USD","1.00","USD","-"
"ALXN","ALEXION PHARMACEUTICALS INC","Health Care","Equity","279,322,531.92","2.84","279,322,531.92","1,826,712.00","015351109","US0153511094","2036070","152.91","United States","NASDAQ","USD","1.00","USD","-"
"SGEN","SEAGEN INC","Health Care","Equity","209,023,319.66","2.12","209,023,319.66","1,505,281.00","81181C104","US81181C1045","BLPK4D2","138.86","United States","NASDAQ","USD","1.00","USD","-"
"AZN","ASTRAZENECA ADR REPRESENTING .5 PL","Health Care","Equity","189,506,885.04","1.92","189,506,885.04","3,811,482.00","046353108","US0463531089","2989044","49.72","United Kingdom","NASDAQ","USD","1.00","USD","-"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Health Care","Equity","171,341,571.96","1.74","171,341,571.96","1,861,599.00","-","IE00BQPVQZ61","BQPVQZ6","92.04","United States","NASDAQ","USD","1.00","USD","-"
"INCY","INCYTE CORP","Health Care","Equity","148,453,795.98","1.51","148,453,795.98","1,826,674.00","45337C102","US45337C1027","2471950","81.27","United States","NASDAQ","USD","1.00","USD","-"
"BGNE","BEIGENE ADR REPRESENTING LTD","Health Care","Equity","142,795,991.12","1.45","142,795,991.12","410,239.00","07725L102","US07725L1026","BYYWPW6","348.08","China","NASDAQ","USD","1.00","USD","-"
"RPRX","ROYALTY PHARMA PLC CLASS A","Health Care","Equity","140,674,369.14","1.43","140,674,369.14","3,224,997.00","-","GB00BMVP7Y09","BMVP7Y0","43.62","United States","NASDAQ","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","137,259,693.97","1.39","137,259,693.97","972,163.00","02043Q107","US02043Q1076","B00FWN1","141.19","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","127,377,876.60","1.29","127,377,876.60","834,444.00","40131M109","US40131M1099","BFXC911","152.65","United States","NASDAQ","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","114,081,414.12","1.16","114,081,414.12","1,510,812.00","09061G101","US09061G1013","2437071","75.51","United States","NASDAQ","USD","1.00","USD","-"
"NVAX","NOVAVAX INC","Health Care","Equity","95,902,111.40","0.97","95,902,111.40","528,940.00","670002401","US6700024010","BJDQXG4","181.31","United States","NASDAQ","USD","1.00","USD","-"
"SNY","SANOFI ADR REPRESENTING SA","Health Care","Equity","83,948,903.14","0.85","83,948,903.14","1,697,309.00","80105N105","US80105N1054","2964557","49.46","France","NASDAQ","USD","1.00","USD","-"
"PRAH","PRA HEALTH SCIENCES INC","Health Care","Equity","82,230,265.68","0.83","82,230,265.68","536,296.00","69354M108","US69354M1080","BSHZ3V5","153.33","United States","NASDAQ","USD","1.00","USD","-"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Health Care","Equity","76,926,639.33","0.78","76,926,639.33","468,009.00","-","IE00B4Q5ZN47","B4Q5ZN4","164.37","United States","NASDAQ","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","76,367,781.60","0.78","76,367,781.60","626,736.00","-","CH0334081137","BDHF4K6","121.85","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","76,240,533.60","0.77","76,240,533.60","1,237,671.00","10806X102","US10806X1028","BK1KWG8","61.60","United States","NASDAQ","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","Health Care","Equity","75,910,918.75","0.77","75,910,918.75","780,575.00","64125C109","US64125C1099","2623911","97.25","United States","NASDAQ","USD","1.00","USD","-"
"MRTX","MIRATI THERAPEUTICS INC","Health Care","Equity","72,069,164.70","0.73","72,069,164.70","420,719.00","60468T105","US60468T1051","BBPK0J0","171.30","United States","NASDAQ","USD","1.00","USD","-"
"BNTX","BIONTECH SE ADR","Health Care","Equity","68,342,676.14","0.69","68,342,676.14","625,906.00","09075V102","US09075V1026","BK6H543","109.19","Germany","NASDAQ","USD","1.00","USD","-"
"XLRN","ACCELERON PHARMA INC","Health Care","Equity","68,226,069.05","0.69","68,226,069.05","503,105.00","00434H108","US00434H1086","BDGTXQ8","135.61","United States","NASDAQ","USD","1.00","USD","-"
"ZLAB","ZAI LABORATORY ADR REPRESENTING LT","Health Care","Equity","66,301,767.29","0.67","66,301,767.29","496,903.00","98887Q104","US98887Q1040","BD9GVY0","133.43","China","NASDAQ","USD","1.00","USD","-"
"SYNH","SYNEOS HEALTH INC CLASS A","Health Care","Equity","65,737,753.85","0.67","65,737,753.85","866,681.00","87166B102","US87166B1026","BFMZ4V6","75.85","United States","NASDAQ","USD","1.00","USD","-"
"FATE","FATE THERAPEUTICS INC","Health Care","Equity","64,250,069.45","0.65","64,250,069.45","779,261.00","31189P102","US31189P1021","BCZS820","82.45","United States","NASDAQ","USD","1.00","USD","-"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Health Care","Equity","63,338,610.10","0.64","63,338,610.10","556,285.00","90400D108","US90400D1081","BJ62Z18","113.86","United States","NASDAQ","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","61,911,477.83","0.63","61,911,477.83","370,129.00","91307C102","US91307C1027","2430412","167.27","United States","NASDAQ","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","Health Care","Equity","58,561,050.96","0.59","58,561,050.96","2,592,344.00","30161Q104","US30161Q1040","2576941","22.59","United States","NASDAQ","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","57,400,974.10","0.58","57,400,974.10","1,005,271.00","24823R105","US24823R1059","BD2B4V0","57.10","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","57,186,606.03","0.58","57,186,606.03","862,413.00","04280A100","US04280A1007","BYQBFJ8","66.31","United States","NASDAQ","USD","1.00","USD","-"
"ARGX","ARGENX SE ADR","Health Care","Equity","56,251,161.40","0.57","56,251,161.40","204,260.00","04016X101","US04016X1019","BDVLM39","275.39","Belgium","NASDAQ","USD","1.00","USD","-"
"ASND","ASCENDIS PHARMA ADR REPRESENTING","Health Care","Equity","55,879,790.40","0.57","55,879,790.40","433,580.00","04351P101","US04351P1012","BV9G6B8","128.88","Denmark","NASDAQ","USD","1.00","USD","-"
"VIR","VIR BIOTECHNOLOGY INC","Health Care","Equity","54,458,891.46","0.55","54,458,891.46","1,062,198.00","92764N102","US92764N1028","BK4PZ38","51.27","United States","NASDAQ","USD","1.00","USD","-"
"GWPH","GW PHARMACEUTICALS ADR REPRESENTIN","Health Care","Equity","54,335,619.00","0.55","54,335,619.00","250,510.00","36197T103","US36197T1034","B94RPL5","216.90","United Kingdom","NASDAQ","USD","1.00","USD","-"
"PACB","PACIFIC BIOSCIENCES OF CALIFORNIA","Health Care","Equity","53,444,762.46","0.54","53,444,762.46","1,604,466.00","69404D108","US69404D1081","B4N8MH9","33.31","United States","NASDAQ","USD","1.00","USD","-"
"IONS","IONIS PHARMACEUTICALS INC","Health Care","Equity","52,621,813.44","0.53","52,621,813.44","1,170,414.00","462222100","US4622221004","BDJ0LS6","44.96","United States","NASDAQ","USD","1.00","USD","-"
"ALLK","ALLAKOS INC","Health Care","Equity","50,072,545.44","0.51","50,072,545.44","436,248.00","01671P100","US01671P1003","BDD19P8","114.78","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","50,063,592.70","0.51","50,063,592.70","404,195.00","90184D100","US90184D1000","BGKG6G7","123.86","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","48,868,277.58","0.50","48,868,277.58","655,686.00","803607100","US8036071004","B8DPDT7","74.53","United States","NASDAQ","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","48,708,741.70","0.49","48,708,741.70","296,914.00","58506Q109","US58506Q1094","BDCBC61","164.05","United States","NASDAQ","USD","1.00","USD","-"
