Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","308,058,000.01","21.61","308,058,000.01","308,058,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.10","0.03","1.00","-","0.11","0.13","-","0.03","0.13","0.03","USD","Feb 04, 2009","-"
"ORACLE CORPORATION","Corporates","Fixed Income","38,933,557.53","2.73","38,933,557.53","38,670,000.00","68389XBK0","US68389XBK00","BYVGS22","100.58","United States","-","USD","0.38","0.63","1.00","Sep 15, 2021","1.90","0.45","-","0.35","0.37","0.35","USD","Jul 07, 2016","Jul 07, 2016"
"CREDIT SUISSE NEW YORK NY MTN","Corporates","Fixed Income","34,477,194.08","2.42","34,477,194.08","33,544,000.00","22546QAR8","US22546QAR83","BRK8CH3","101.48","Switzerland","-","USD","0.57","0.43","1.00","Oct 29, 2021","3.00","0.57","-","0.43","0.57","0.43","USD","Oct 29, 2014","Oct 29, 2014"
"MORGAN STANLEY MTN","Corporates","Fixed Income","32,185,290.64","2.26","32,185,290.64","31,395,000.00","61746BED4","US61746BED47","BZ3FFF6","101.51","United States","-","USD","0.63","0.21","1.00","Nov 17, 2021","2.63","0.62","-","0.21","0.62","0.21","USD","Nov 17, 2016","Nov 17, 2016"
"DEUTSCHE BANK AG (NEW YORK BRANCH)","Corporates","Fixed Income","27,041,976.52","1.90","27,041,976.52","26,032,000.00","251526BX6","US251526BX61","BFWFZJ1","101.86","Germany","-","USD","0.53","0.76","1.00","Oct 14, 2021","4.25","0.52","-","0.76","0.52","0.76","USD","Jun 01, 2018","Apr 14, 2018"
"EASTMAN CHEMICAL COMPANY","Corporates","Fixed Income","21,829,319.70","1.53","21,829,319.70","21,147,000.00","277432AV2","US277432AV21","BGL7WV6","102.02","United States","-","USD","0.66","0.46","1.00","Dec 01, 2021","3.50","0.66","-","0.46","0.66","0.46","USD","Nov 06, 2018","Nov 06, 2018"
"CITIGROUP INC","Corporates","Fixed Income","21,693,414.93","1.52","21,693,414.93","21,169,000.00","172967LC3","US172967LC35","BYNXLZ5","101.57","United States","-","USD","0.60","0.61","1.00","Dec 08, 2021","2.90","0.68","-","0.30","0.60","0.30","USD","Dec 08, 2016","Dec 08, 2016"
"GENERAL MOTORS FINANCIAL CO INC","Corporates","Fixed Income","19,107,206.84","1.34","19,107,206.84","18,391,000.00","37045XCP9","US37045XCP96","BGL7X24","102.16","United States","-","USD","0.60","0.58","1.00","Nov 06, 2021","4.20","0.59","-","0.58","0.59","0.58","USD","Nov 06, 2018","Nov 06, 2018"
"BPCE SA MTN","Corporates","Fixed Income","17,675,488.00","1.24","17,675,488.00","17,231,000.00","05578DAW2","US05578DAW20","BYV4440","101.64","France","-","USD","0.67","0.31","1.00","Dec 02, 2021","2.75","0.66","-","0.31","0.66","0.31","USD","Dec 02, 2016","Dec 02, 2016"
"SHELL INTERNATIONAL FINANCE BV","Corporates","Fixed Income","16,043,646.74","1.13","16,043,646.74","15,924,000.00","822582BW1","US822582BW12","BD37KM0","100.66","Netherlands","-","USD","0.45","0.27","1.00","Sep 12, 2021","1.75","0.45","-","0.27","0.45","0.27","USD","Sep 12, 2016","Sep 12, 2016"
"CREDIT SUISSE AG (NEW YORK BRANCH) MTN","Corporates","Fixed Income","15,700,478.14","1.10","15,700,478.14","15,413,000.00","22550L2A8","US22550L2A85","BJYCWZ3","101.03","Switzerland","-","USD","0.61","0.42","1.00","Nov 12, 2021","2.10","0.61","-","0.42","0.61","0.42","USD","Nov 12, 2019","Nov 12, 2019"
"GOLDMAN SACHS GROUP INC/THE","Corporates","Fixed Income","14,612,554.73","1.02","14,612,554.73","14,260,000.00","38141GGQ1","US38141GGQ10","B8BDN60","101.54","United States","-","USD","0.32","0.46","1.00","Jul 27, 2021","5.25","0.32","-","0.46","0.32","0.46","USD","Jul 27, 2011","Jul 27, 2011"
"ALIBABA GROUP HOLDING LTD","Corporates","Fixed Income","14,041,964.51","0.98","14,041,964.51","13,645,000.00","01609WAP7","US01609WAP77","BYP8WV1","101.81","China","-","USD","0.49","0.39","1.00","Nov 28, 2021","3.13","0.65","-","-0.52","0.49","-0.52","USD","Nov 25, 2015","May 28, 2015"
"ABBVIE INC","Corporates","Fixed Income","12,757,246.80","0.89","12,757,246.80","12,518,000.00","00287YBH1","US00287YBH18","BK7BXK6","101.10","United States","-","USD","0.63","0.41","1.00","Nov 19, 2021","2.15","0.63","-","0.41","0.63","0.41","USD","Nov 17, 2020","May 19, 2020"
"NEXTERA ENERGY CAPITAL HOLDINGS IN","Corporates","Fixed Income","12,520,485.71","0.88","12,520,485.71","12,385,000.00","65339KAS9","US65339KAS96","BJVHXQ9","100.87","United States","-","USD","0.42","0.32","1.00","Sep 01, 2021","2.40","0.42","-","0.32","0.42","0.32","USD","Aug 08, 2019","Aug 08, 2019"
"GILEAD SCIENCES INC","Corporates","Fixed Income","12,052,893.07","0.85","12,052,893.07","11,692,000.00","375558AU7","US375558AU71","B761XS4","101.62","United States","-","USD","0.42","1.94","1.00","Dec 01, 2021","4.40","0.65","-","0.50","0.41","0.50","USD","Dec 13, 2011","Dec 13, 2011"
"BANK OF MONTREAL MTN","Corporates","Fixed Income","11,426,468.66","0.80","11,426,468.66","11,330,000.00","06367TJX9","US06367TJX90","BD8DSY1","100.67","Canada","-","USD","0.41","0.24","1.00","Aug 27, 2021","1.90","0.41","-","0.24","0.41","0.24","USD","Aug 29, 2016","Aug 29, 2016"
"JPMORGAN CHASE & CO","Corporates","Fixed Income","11,374,603.16","0.80","11,374,603.16","11,147,000.00","46625HJC5","US46625HJC51","B4KLND4","101.49","United States","-","USD","0.38","0.35","1.00","Aug 15, 2021","4.35","0.37","-","0.35","0.37","0.35","USD","Aug 10, 2011","Aug 10, 2011"
"SANTANDER HOLDINGS USA INC","Corporates","Fixed Income","11,205,714.00","0.79","11,205,714.00","10,800,000.00","80282KAU0","US80282KAU07","BFMZB48","102.30","United States","-","USD","0.59","1.01","1.00","Dec 03, 2021","4.45","0.66","-","0.54","0.58","0.54","USD","Dec 05, 2018","Dec 05, 2018"
"SUMITOMO MITSUI FINANCIAL GROUP IN","Corporates","Fixed Income","11,067,683.05","0.78","11,067,683.05","10,818,000.00","86562MAH3","US86562MAH34","BYM5163","101.18","Japan","-","USD","0.55","0.29","1.00","Oct 19, 2021","2.44","0.54","-","0.29","0.54","0.29","USD","Oct 19, 2016","Oct 19, 2016"
"WELLS FARGO & COMPANY","Corporates","Fixed Income","10,255,731.63","0.72","10,255,731.63","10,159,000.00","949746SA0","US949746SA05","BYYKPB9","100.57","United States","-","USD","0.32","0.30","1.00","Jul 26, 2021","2.10","0.32","-","0.30","0.32","0.30","USD","Jul 25, 2016","Jul 25, 2016"
"CISCO SYSTEMS INC","Corporates","Fixed Income","9,674,725.06","0.68","9,674,725.06","9,610,000.00","17275RBJ0","US17275RBJ05","BD8GNQ7","100.62","United States","-","USD","0.39","0.53","1.00","Sep 20, 2021","1.85","0.47","-","0.25","0.39","0.25","USD","Sep 20, 2016","Sep 20, 2016"
"VIATRIS INC","Corporates","Fixed Income","9,551,259.80","0.67","9,551,259.80","9,436,000.00","62854AAM6","US62854AAM62","BDRJ2C6","100.29","United States","-","USD","0.12","1.70","1.00","Jun 15, 2021","3.15","0.20","-","0.72","0.12","0.72","USD","Jan 31, 2017","Dec 15, 2016"
"MORGAN STANLEY MTN","Corporates","Fixed Income","9,320,320.26","0.65","9,320,320.26","9,084,000.00","61747WAL3","US61747WAL37","B6WCYB4","101.64","United States","-","USD","0.33","0.45","1.00","Jul 28, 2021","5.50","0.32","-","0.45","0.32","0.45","USD","Jul 28, 2011","Jul 28, 2011"
"MICROSOFT CORPORATION","Corporates","Fixed Income","9,203,269.88","0.65","9,203,269.88","9,150,000.00","594918BP8","US594918BP86","BDCBCQ1","100.35","United States","-","USD","0.27","0.54","1.00","Aug 08, 2021","1.55","0.35","-","0.23","0.27","0.23","USD","Aug 08, 2016","Aug 08, 2016"
"PFIZER INC","Corporates","Fixed Income","9,162,541.23","0.64","9,162,541.23","8,976,000.00","717081DZ3","US717081DZ31","BZ3FFK1","101.41","United States","-","USD","0.70","0.20","1.00","Dec 15, 2021","2.20","0.70","-","0.20","0.70","0.20","USD","Nov 21, 2016","Nov 21, 2016"
"LLOYDS BANKING GROUP PLC","Corporates","Fixed Income","9,145,870.23","0.64","9,145,870.23","9,018,000.00","539439AK5","US539439AK53","BD2NL04","100.69","United Kingdom","-","USD","0.27","0.49","1.00","Jul 06, 2021","3.10","0.26","-","0.49","0.26","0.49","USD","Jul 06, 2016","Jul 06, 2016"
"ASSOCIATED BANK NA","Corporates","Fixed Income","9,071,322.22","0.64","9,071,322.22","8,950,000.00","04550KAA9","US04550KAA97","BFZ7PV6","100.85","United States","-","USD","0.28","1.17","1.00","Aug 13, 2021","3.50","0.36","-","0.49","0.29","0.49","USD","Aug 13, 2018","Aug 13, 2018"
"ABBVIE INC","Corporates","Fixed Income","8,971,359.53","0.63","8,971,359.53","8,702,000.00","00287YBE8","US00287YBE86","BF2L511","101.81","United States","-","USD","0.62","0.44","1.00","Nov 14, 2021","3.38","0.61","-","0.44","0.61","0.44","USD","Sep 18, 2018","Sep 18, 2018"
"SANTANDER UK GROUP HOLDINGS PLC","Corporates","Fixed Income","8,762,937.87","0.61","8,762,937.87","8,652,000.00","80281LAE5","US80281LAE56","BDCBFG2","100.83","United Kingdom","-","USD","0.35","0.45","1.00","Aug 05, 2021","2.88","0.34","-","0.45","0.34","0.45","USD","Aug 05, 2016","Aug 05, 2016"
"MIZUHO FINANCIAL GROUP INC","Corporates","Fixed Income","8,356,579.27","0.59","8,356,579.27","8,276,000.00","60687YAE9","US60687YAE95","BD3RSD7","100.86","Japan","-","USD","0.45","0.36","1.00","Sep 13, 2021","2.27","0.45","-","0.36","0.45","0.36","USD","Sep 13, 2016","Sep 13, 2016"
"APPLE INC","Corporates","Fixed Income","8,332,250.97","0.58","8,332,250.97","8,219,000.00","037833AR1","US037833AR12","BM6NV81","100.23","United States","-","USD","0.10","0.48","1.00","May 06, 2021","2.85","0.10","-","0.48","0.10","0.48","USD","May 06, 2014","May 06, 2014"
"TOYOTA MOTOR CREDIT CORP. MTN","Corporates","Fixed Income","8,313,891.35","0.58","8,313,891.35","8,189,000.00","89233P5F9","US89233P5F99","B6SF7V8","101.37","Japan","-","USD","0.46","0.38","1.00","Sep 15, 2021","3.40","0.45","-","0.38","0.45","0.38","USD","Sep 15, 2011","Sep 15, 2011"
"GENERAL MOTORS FINANCIAL CO INC","Corporates","Fixed Income","8,037,001.72","0.56","8,037,001.72","7,882,000.00","37045XAQ9","US37045XAQ97","BQH0Y24","101.85","United States","-","USD","0.49","0.55","1.00","Sep 25, 2021","4.38","0.48","-","0.55","0.48","0.55","USD","Sep 25, 2014","Sep 25, 2014"
"ABBVIE INC","Corporates","Fixed Income","7,632,334.36","0.54","7,632,334.36","7,377,000.00","00287YCR8","US00287YCR80","-","101.99","United States","-","USD","0.46","2.14","1.00","Dec 15, 2021","5.00","0.69","-","0.65","0.45","0.65","USD","Nov 19, 2020","Jun 15, 2020"
"GENERAL DYNAMICS CORPORATION","Corporates","Fixed Income","7,566,609.25","0.53","7,566,609.25","7,459,000.00","369550BE7","US369550BE71","BZ5YFG2","100.28","United States","-","USD","0.11","0.51","1.00","May 11, 2021","3.00","0.11","-","0.51","0.11","0.51","USD","May 11, 2018","May 11, 2018"
"CVS HEALTH CORP","Corporates","Fixed Income","7,495,832.88","0.53","7,495,832.88","7,433,000.00","126650CT5","US126650CT50","BD72452","100.14","United States","-","USD","0.08","1.29","1.00","Jun 01, 2021","2.13","0.17","-","0.46","0.09","0.46","USD","May 25, 2016","May 25, 2016"
"WALMART INC","Corporates","Fixed Income","7,469,068.15","0.52","7,469,068.15","7,359,000.00","931142EJ8","US931142EJ83","BG0MVM6","100.65","United States","-","USD","0.23","0.29","1.00","Jun 23, 2021","3.13","0.23","-","0.29","0.23","0.29","USD","Jun 27, 2018","Jun 27, 2018"
"SUMITOMO MITSUI FINANCIAL GROUP IN","Corporates","Fixed Income","7,451,206.84","0.52","7,451,206.84","7,381,000.00","86562MAE0","US86562MAE03","BD1DFG9","100.51","Japan","-","USD","0.29","0.27","1.00","Jul 14, 2021","2.06","0.29","-","0.27","0.29","0.27","USD","Jul 14, 2016","Jul 14, 2016"
"WELLS FARGO BANK NA","Corporates","Fixed Income","7,449,857.11","0.52","7,449,857.11","7,222,000.00","94988J5T0","US94988J5T07","BGK3KP5","101.55","United States","-","USD","0.47","0.83","1.00","Oct 22, 2021","3.63","0.55","-","0.33","0.46","0.33","USD","Oct 23, 2018","Oct 23, 2018"
"INTEL CORPORATION","Corporates","Fixed Income","7,252,288.94","0.51","7,252,288.94","7,033,000.00","458140AJ9","US458140AJ91","B4KV6M4","101.47","United States","-","USD","0.50","0.36","1.00","Oct 01, 2021","3.30","0.49","-","0.36","0.49","0.36","USD","Sep 19, 2011","Sep 19, 2011"
"WALT DISNEY CO","Corporates","Fixed Income","7,229,446.35","0.51","7,229,446.35","7,140,000.00","25468PCN4","US25468PCN42","B3ZXG28","100.91","United States","-","USD","0.38","0.32","1.00","Aug 16, 2021","2.75","0.37","-","0.32","0.37","0.32","USD","Aug 22, 2011","Aug 22, 2011"
"ABBVIE INC","Corporates","Fixed Income","6,995,863.67","0.49","6,995,863.67","6,932,000.00","00287YAU3","US00287YAU38","BYP8MW2","100.05","United States","-","USD","0.12","1.90","1.00","May 14, 2021","2.30","0.12","-","1.84","0.12","1.84","USD","May 12, 2016","May 12, 2016"
"HONEYWELL INTERNATIONAL INC","Corporates","Fixed Income","6,895,100.75","0.48","6,895,100.75","6,789,000.00","438516BM7","US438516BM77","BYX8WQ8","100.79","United States","-","USD","0.50","0.49","1.00","Nov 01, 2021","1.85","0.58","-","0.26","0.49","0.26","USD","Oct 31, 2016","Oct 31, 2016"
"AMERICAN HONDA FINANCE CORPORATION MTN","Corporates","Fixed Income","6,893,622.31","0.48","6,893,622.31","6,843,000.00","02665WBG5","US02665WBG50","BD8F5N5","100.62","Japan","-","USD","0.44","0.29","1.00","Sep 09, 2021","1.70","0.44","-","0.29","0.44","0.29","USD","Sep 09, 2016","Sep 09, 2016"
"KEURIG DR PEPPER INC","Corporates","Fixed Income","6,715,927.89","0.47","6,715,927.89","6,604,000.00","49271VAE0","US49271VAE02","BJYHK87","100.45","United States","-","USD","0.15","0.53","1.00","May 25, 2021","3.55","0.15","-","0.53","0.15","0.53","USD","May 31, 2019","May 25, 2019"
"TORONTO-DOMINION BANK/THE MTN","Corporates","Fixed Income","6,672,488.98","0.47","6,672,488.98","6,604,000.00","89114QBG2","US89114QBG29","BYSVHV2","100.01","Canada","-","USD","0.02","1.51","1.00","Apr 07, 2021","2.13","0.02","-","1.51","0.02","1.51","USD","Apr 07, 2016","Apr 07, 2016"
"APPLE INC","Corporates","Fixed Income","6,631,398.07","0.47","6,631,398.07","6,593,000.00","037833CC2","US037833CC25","BD08F09","100.34","United States","-","USD","0.26","0.56","1.00","Aug 04, 2021","1.55","0.34","-","0.24","0.26","0.24","USD","Aug 04, 2016","Aug 04, 2016"
"NATIONAL AUSTRALIA BANK LTD ( NEW","Corporates","Fixed Income","6,571,677.16","0.46","6,571,677.16","6,516,000.00","63254AAR9","US63254AAR95","BDDX556","100.44","Australia","-","USD","0.28","0.29","1.00","Jul 12, 2021","1.88","0.28","-","0.29","0.28","0.29","USD","Jul 12, 2016","Jul 12, 2016"
"CITIGROUP INC","Corporates","Fixed Income","6,565,155.02","0.46","6,565,155.02","6,495,000.00","172967KV2","US172967KV25","BYN9584","100.69","United States","-","USD","0.34","0.28","1.00","Aug 02, 2021","2.35","0.34","-","0.28","0.34","0.28","USD","Aug 02, 2016","Aug 02, 2016"
"MORGAN STANLEY","Corporates","Fixed Income","6,435,887.38","0.45","6,435,887.38","6,359,000.00","61746BEA0","US61746BEA08","BYPCT01","100.10","United States","-","USD","0.06","0.73","1.00","Apr 21, 2021","2.50","0.06","-","0.73","0.06","0.73","USD","Apr 21, 2016","Apr 21, 2016"
"GENERAL MILLS INC","Corporates","Fixed Income","6,414,389.55","0.45","6,414,389.55","6,278,000.00","370334BM5","US370334BM56","B6XC6T5","101.25","United States","-","USD","0.46","1.37","1.00","Dec 15, 2021","3.15","0.69","-","0.41","0.45","0.41","USD","Nov 28, 2011","Nov 28, 2011"
"WELLS FARGO & CO MTN","Corporates","Fixed Income","6,398,865.00","0.45","6,398,865.00","6,255,000.00","94974BEV8","US94974BEV80","BCZTDH3","100.00","United States","-","USD","0.00","0.00","1.00","Apr 01, 2021","4.60","0.00","-","0.00","0.00","0.00","USD","Mar 29, 2011","Mar 29, 2011"
"J M SMUCKER CO","Corporates","Fixed Income","6,350,709.60","0.45","6,350,709.60","6,146,000.00","832696AB4","US832696AB44","B73S5K4","101.68","United States","-","USD","0.53","0.38","1.00","Oct 15, 2021","3.50","0.53","-","0.38","0.53","0.38","USD","Oct 18, 2011","Oct 18, 2011"
"WESTPAC BANKING CORP","Corporates","Fixed Income","6,206,695.80","0.44","6,206,695.80","6,145,000.00","961214CV3","US961214CV30","BYP8N96","100.20","Australia","-","USD","0.12","0.39","1.00","May 13, 2021","2.10","0.12","-","0.39","0.12","0.39","USD","May 13, 2016","May 13, 2016"
"SOUTHERN COMPANY (THE)","Corporates","Fixed Income","6,154,470.41","0.43","6,154,470.41","6,099,000.00","842587CS4","US842587CS44","BYT14V0","100.32","United States","-","USD","0.17","1.05","1.00","Jul 01, 2021","2.35","0.25","-","0.41","0.17","0.41","USD","May 24, 2016","May 24, 2016"
