Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"T-MOBILE USA INC 144A","Corporates","Fixed Income","955,885.85","1.53","955,885.85","837,000.00","87264ABE4","US87264ABE47","-","113.19","United States","-","USD","7.73","2.28","1.00","Apr 15, 2030","3.88","7.80","-","2.25","7.62","2.25","USD","Apr 09, 2020","Apr 09, 2020"
"BOEING CO","Corporates","Fixed Income","745,908.57","1.20","745,908.57","620,000.00","097023CY9","US097023CY98","-","119.19","United States","-","USD","7.44","2.79","1.00","May 01, 2030","5.15","7.50","-","2.74","7.33","2.74","USD","May 04, 2020","May 04, 2020"
"DEUTSCHE TELEKOM INTERNATIONAL FIN","Corporates","Fixed Income","723,535.79","1.16","723,535.79","460,000.00","25156PAC7","US25156PAC77","4081788","156.46","Germany","-","USD","7.11","2.10","1.00","Jun 15, 2030","8.75","7.11","-","2.10","7.11","2.10","USD","Jul 06, 2000","Jul 06, 2000"
"AT&T INC","Corporates","Fixed Income","566,810.11","0.91","566,810.11","475,000.00","00206RGQ9","US00206RGQ92","BG6F4D1","117.49","United States","-","USD","7.47","2.17","1.00","Feb 15, 2030","4.30","7.54","-","2.12","7.37","2.12","USD","Nov 23, 2018","Aug 15, 2018"
"BRITISH TELECOMMUNICATIONS PLC","Corporates","Fixed Income","544,797.09","0.87","544,797.09","330,000.00","111021AE1","US111021AE12","B23XQ67","164.18","United Kingdom","-","USD","7.27","2.33","1.00","Dec 15, 2030","9.63","7.26","-","2.33","7.26","2.33","USD","Dec 12, 2000","Dec 12, 2000"
"HSBC HOLDINGS PLC","Corporates","Fixed Income","500,255.00","0.80","500,255.00","400,000.00","404280CF4","US404280CF48","-","123.57","United Kingdom","-","USD","7.55","2.12","1.00","Mar 31, 2030","4.95","7.53","-","2.12","7.53","2.12","USD","Mar 31, 2020","Mar 31, 2020"
"BROADCOM INC","Corporates","Fixed Income","492,379.14","0.79","492,379.14","430,000.00","11135FAQ4","US11135FAQ46","-","113.77","United States","-","USD","8.08","2.56","1.00","Nov 15, 2030","4.15","8.13","-","2.52","7.96","2.52","USD","Aug 07, 2020","May 08, 2020"
"GOLDMAN SACHS GROUP INC/THE","Corporates","Fixed Income","426,323.24","0.68","426,323.24","365,000.00","38141GXH2","US38141GXH28","-","115.49","United States","-","USD","7.68","1.94","1.00","Mar 15, 2030","3.80","7.77","-","1.90","7.58","1.90","USD","Mar 19, 2020","Mar 19, 2020"
"GE CAPITAL FUNDING LLC 144A","Corporates","Fixed Income","414,654.99","0.67","414,654.99","355,000.00","36166NAB9","US36166NAB91","-","116.02","United States","-","USD","7.67","2.47","1.00","May 15, 2030","4.40","7.73","-","2.42","7.56","2.42","USD","May 18, 2020","May 18, 2020"
"PACIFIC GAS AND ELECTRIC COMPANY","Corporates","Fixed Income","410,907.03","0.66","410,907.03","358,000.00","694308JM0","US694308JM04","-","114.55","United States","-","USD","7.65","2.79","1.00","Jul 01, 2030","4.55","7.79","-","2.71","7.45","2.71","USD","Jul 01, 2020","Jul 02, 2020"
"ANHEUSER-BUSCH INBEV WORLDWIDE INC","Corporates","Fixed Income","378,858.70","0.61","378,858.70","330,000.00","035240AV2","US035240AV25","-","114.34","Belgium","-","USD","7.98","1.83","1.00","Jun 01, 2030","3.50","8.06","-","1.79","7.87","1.79","USD","Apr 03, 2020","Apr 03, 2020"
"CVS HEALTH CORP","Corporates","Fixed Income","373,849.60","0.60","373,849.60","320,000.00","126650DJ6","US126650DJ69","-","115.70","United States","-","USD","7.74","1.88","1.00","Apr 01, 2030","3.75","7.83","-","1.84","7.65","1.84","USD","Mar 31, 2020","Mar 31, 2020"
"SABINE PASS LIQUEFACTION LLC 144A","Corporates","Fixed Income","351,153.25","0.56","351,153.25","295,000.00","785592AW6","US785592AW69","-","118.24","United States","-","USD","7.55","2.31","1.00","May 15, 2030","4.50","7.73","-","2.21","7.39","2.21","USD","May 08, 2020","May 08, 2020"
"COMCAST CORPORATION","Corporates","Fixed Income","343,765.68","0.55","343,765.68","282,000.00","20030NCU3","US20030NCU37","BGGFKB1","120.79","United States","-","USD","8.01","1.90","1.00","Oct 15, 2030","4.25","8.10","-","1.85","7.93","1.85","USD","Oct 05, 2018","Oct 05, 2018"
"ORACLE CORPORATION","Corporates","Fixed Income","340,616.50","0.55","340,616.50","307,000.00","68389XBV6","US68389XBV64","-","110.07","United States","-","USD","7.98","1.76","1.00","Apr 01, 2030","2.95","8.05","-","1.73","7.86","1.73","USD","Apr 01, 2020","Apr 01, 2020"
"EXXON MOBIL CORP","Corporates","Fixed Income","332,365.13","0.53","332,365.13","287,000.00","30231GBK7","US30231GBK76","-","114.65","United States","-","USD","7.79","1.75","1.00","Mar 19, 2030","3.48","7.88","-","1.70","7.69","1.70","USD","Mar 19, 2020","Mar 19, 2020"
