Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"OHIO STATE","Prerefund/Escrow","Fixed Income","4,908,456.96","1.56","4,908,456.96","4,680,000.00","677521UV6","US677521UV61","-","102.99","United States","-","USD","0.61","0.18","1.00","Aug 01, 2021","5.00","0.61","-","0.18","0.61","0.18","USD","Apr 03, 2012","Apr 03, 2012"
"MARYLAND ST DEPT TRANSN CONS T","Prerefund/Escrow","Fixed Income","2,560,842.11","0.81","2,560,842.11","2,500,000.00","574204XN8","US574204XN87","-","100.74","United States","-","USD","0.17","0.40","1.00","Feb 15, 2021","5.00","0.16","-","0.40","0.16","0.40","USD","Feb 28, 2013","Feb 28, 2013"
"ARLINGTON CNTY VA","Prerefund/Escrow","Fixed Income","2,077,860.62","0.66","2,077,860.62","2,000,000.00","041431ML8","US041431ML87","-","102.38","United States","-","USD","0.61","0.17","1.00","Aug 01, 2021","4.00","0.61","-","0.17","0.61","0.17","USD","May 09, 2013","May 09, 2013"
"VIRGINIA COMWLTH TRANSN BRD TRANSN","Prerefund/Escrow","Fixed Income","1,638,652.07","0.52","1,638,652.07","1,600,000.00","927793TZ2","US927793TZ29","-","101.97","United States","-","USD","0.41","0.20","1.00","May 15, 2021","5.00","0.41","-","0.20","0.41","0.20","USD","May 25, 2011","May 25, 2011"
"KING CNTY WASH SWR REV","Prerefund/Escrow","Fixed Income","1,598,057.85","0.51","1,598,057.85","1,560,000.00","4952897H7","US4952897H78","-","100.13","United States","-","USD","0.12","1.52","1.00","Jan 01, 2021","5.00","0.04","-","1.52","0.04","1.52","USD","Oct 05, 2011","Oct 05, 2011"
"DISTRICT COLUMBIA","State Tax-Backed","Fixed Income","1,576,732.88","0.50","1,576,732.88","1,540,000.00","25476FRX8","US25476FRX86","-","102.16","United States","-","USD","0.45","0.25","1.00","Jun 01, 2021","5.00","0.46","-","0.25","0.46","0.25","USD","Jun 23, 2016","Jun 23, 2016"
"NORTH TEX TWY AUTH REV","Prerefund/Escrow","Fixed Income","1,576,261.40","0.50","1,576,261.40","1,500,000.00","66285WJH0","US66285WJH07","-","103.54","United States","-","USD","0.69","0.23","1.00","Sep 01, 2021","5.25","0.69","-","0.23","0.69","0.23","USD","Nov 10, 2011","Nov 10, 2011"
"MASSACHUSETTS ST","Prerefund/Escrow","Fixed Income","1,504,799.48","0.48","1,504,799.48","1,435,000.00","57582PB74","US57582PB740","-","103.81","United States","-","USD","0.78","0.17","1.00","Oct 01, 2021","5.00","0.78","-","0.17","0.78","0.17","USD","Sep 28, 2011","Sep 28, 2011"
"FAIRFAX CNTY VA","Prerefund/Escrow","Fixed Income","1,310,800.94","0.42","1,310,800.94","1,250,000.00","3038208J6","US3038208J61","-","103.81","United States","-","USD","0.78","0.17","1.00","Oct 01, 2021","5.00","0.78","-","0.17","0.78","0.17","USD","Jan 24, 2013","Jan 24, 2013"
"WASHINGTON ST","Prerefund/Escrow","Fixed Income","1,258,578.71","0.40","1,258,578.71","1,200,000.00","93974CZA1","US93974CZA16","-","102.99","United States","-","USD","0.61","0.18","1.00","Aug 01, 2021","5.00","0.61","-","0.18","0.61","0.18","USD","Aug 01, 2011","Aug 01, 2011"
"CALIFORNIA INFRASTRUCTURE & EC","Utility","Fixed Income","1,258,079.83","0.40","1,258,079.83","1,200,000.00","13034AKA7","US13034AKA78","-","103.78","United States","-","USD","0.78","0.20","1.00","Oct 01, 2021","5.00","0.78","-","0.20","0.78","0.20","USD","Apr 28, 2016","Apr 28, 2016"
"VIRGINIA COMWLTH TRANSN BRD TRANSN","Prerefund/Escrow","Fixed Income","1,203,385.11","0.38","1,203,385.11","1,175,000.00","927793TS8","US927793TS85","-","101.97","United States","-","USD","0.41","0.20","1.00","May 15, 2021","5.00","0.41","-","0.20","0.41","0.20","USD","May 25, 2011","May 25, 2011"
"MARYLAND ST","State Tax-Backed","Fixed Income","1,185,019.69","0.38","1,185,019.69","1,130,000.00","574193KK3","US574193KK39","-","102.98","United States","-","USD","0.61","0.20","1.00","Aug 01, 2021","5.00","0.61","-","0.20","0.61","0.20","USD","Aug 05, 2014","Aug 05, 2014"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","1,158,686.45","0.37","1,158,686.45","1,105,000.00","13063BMX7","US13063BMX72","-","103.39","United States","-","USD","0.69","0.19","1.00","Sep 01, 2021","5.00","0.69","-","0.19","0.69","0.19","USD","Sep 28, 2011","Sep 28, 2011"
"FAIRFAX CNTY VA","Prerefund/Escrow","Fixed Income","1,153,504.83","0.37","1,153,504.83","1,100,000.00","3038208N7","US3038208N73","-","103.81","United States","-","USD","0.78","0.17","1.00","Oct 01, 2021","5.00","0.78","-","0.17","0.78","0.17","USD","Jan 24, 2013","Jan 24, 2013"
"LOS ANGELES CALIF DEPT WTR & P","Utility","Fixed Income","1,148,173.17","0.36","1,148,173.17","1,105,000.00","544495Q56","US544495Q560","-","102.06","United States","-","USD","0.53","0.17","1.00","Jul 01, 2021","4.00","0.53","-","0.17","0.53","0.17","USD","May 19, 2016","May 19, 2016"
"ARLINGTON CNTY VA","Prerefund/Escrow","Fixed Income","1,126,770.53","0.36","1,126,770.53","1,100,000.00","041431KU0","US041431KU05","-","100.74","United States","-","USD","0.17","0.40","1.00","Feb 15, 2021","5.00","0.16","-","0.40","0.16","0.40","USD","Jun 20, 2012","Jun 20, 2012"
"TEXAS ST","Cash and/or Derivatives","Cash","1,038,183.84","0.33","1,038,183.84","1,000,000.00","882724SY4","US882724SY48","-","102.66","United States","-","USD","0.69","0.15","1.00","Aug 26, 2021","4.00","0.69","-","0.15","0.69","0.15","USD","Sep 02, 2020","Sep 02, 2020"
"PENNSYLVANIA ST HIGHER EDL FAC","Prerefund/Escrow","Fixed Income","1,025,222.13","0.32","1,025,222.13","1,000,000.00","70917SX24","US70917SX244","-","101.85","United States","-","USD","0.38","0.27","1.00","May 01, 2021","5.25","0.37","-","0.27","0.37","0.27","USD","May 16, 2011","May 16, 2011"
"PENNSYLVANIA ST","State Tax-Backed","Fixed Income","1,024,133.58","0.32","1,024,133.58","1,000,000.00","70914PWU2","US70914PWU29","-","101.14","United States","-","USD","0.24","0.34","1.00","Mar 15, 2021","5.00","0.24","-","0.34","0.24","0.34","USD","Feb 12, 2015","Feb 12, 2015"
"TEXAS ST UNIV SYS FING REV","Education","Fixed Income","1,024,109.68","0.32","1,024,109.68","1,000,000.00","88278PUD4","US88278PUD40","-","101.13","United States","-","USD","0.24","0.36","1.00","Mar 15, 2021","5.00","0.24","-","0.36","0.24","0.36","USD","Mar 01, 2015","Mar 18, 2015"
"MISSISSIPPI ST","Prerefund/Escrow","Fixed Income","990,965.51","0.31","990,965.51","945,000.00","6055807D5","US6055807D55","-","103.81","United States","-","USD","0.78","0.17","1.00","Oct 01, 2021","5.00","0.78","-","0.17","0.78","0.17","USD","Oct 26, 2011","Oct 26, 2011"
"BLACKROCK LIQ MUNICASH CL INS MMF","Cash and/or Derivatives","Money Market","951,021.25","0.30","951,021.25","950,831.00","09248U841","US09248U8412","B0BW5H6","1.00","United States","-","USD","0.05","0.08","1.00","-","0.15","0.06","-","0.08","0.06","0.08","USD","Feb 23, 1984","-"
"HONOLULU HAWAII CITY & CNTY WASTEW","Prerefund/Escrow","Fixed Income","945,993.36","0.30","945,993.36","900,000.00","438701SC9","US438701SC91","-","102.69","United States","-","USD","0.52","0.25","1.00","Jul 01, 2021","5.25","0.53","-","0.25","0.53","0.25","USD","Nov 03, 2011","Nov 03, 2011"
"CALIFORNIA ST DEPT WTR RES PWR","Prerefund/Escrow","Fixed Income","942,352.68","0.30","942,352.68","920,000.00","13066YSW0","US13066YSW02","-","101.79","United States","-","USD","0.38","0.18","1.00","May 01, 2021","5.00","0.37","-","0.18","0.37","0.18","USD","Apr 29, 2015","Apr 29, 2015"
"CHICAGO ILL O HARE INTL ARPT REV","Prerefund/Escrow","Fixed Income","941,821.64","0.30","941,821.64","915,000.00","167593FU1","US167593FU17","-","100.16","United States","-","USD","0.12","1.71","1.00","Jan 01, 2021","6.00","0.04","-","1.71","0.04","1.71","USD","May 05, 2011","May 05, 2011"
"LOS ANGELES CALIF UNI SCH DIST","School Districts","Fixed Income","935,018.32","0.30","935,018.32","900,000.00","5446463G5","US5446463G59","-","102.05","United States","-","USD","0.53","0.20","1.00","Jul 01, 2021","4.00","0.53","-","0.20","0.53","0.20","USD","Apr 05, 2016","Apr 05, 2016"
"CALIFORNIA ST FOR PREVIOUS ISS","State Tax-Backed","Fixed Income","922,754.82","0.29","922,754.82","880,000.00","13063CA91","US13063CA918","-","103.39","United States","-","USD","0.69","0.19","1.00","Sep 01, 2021","5.00","0.69","-","0.19","0.69","0.19","USD","Mar 17, 2016","Mar 17, 2016"
"UTAH ST","Prerefund/Escrow","Fixed Income","901,824.00","0.29","901,824.00","860,000.00","917542SJ2","US917542SJ25","-","102.56","United States","-","USD","0.52","0.25","1.00","Jul 01, 2021","5.00","0.53","-","0.25","0.53","0.25","USD","Jul 06, 2011","Jul 06, 2011"
"MICHIGAN FIN AUTH REV","Utility","Fixed Income","891,071.71","0.28","891,071.71","850,000.00","59447PHG9","US59447PHG90","-","103.78","United States","-","USD","0.78","0.21","1.00","Oct 01, 2021","5.00","0.78","-","0.21","0.78","0.21","USD","Nov 03, 2011","Nov 03, 2011"
"NORTH TEX TWY AUTH REV","Prerefund/Escrow","Fixed Income","863,715.47","0.27","863,715.47","820,000.00","66285WGS9","US66285WGS98","-","103.71","United States","-","USD","0.69","0.23","1.00","Sep 01, 2021","5.50","0.69","-","0.23","0.69","0.23","USD","Apr 28, 2011","Apr 28, 2011"
"FAIRFAX CNTY VA","Local Tax-Backed","Fixed Income","859,819.57","0.27","859,819.57","820,000.00","30382AFE7","US30382AFE73","-","103.80","United States","-","USD","0.78","0.18","1.00","Oct 01, 2021","5.00","0.78","-","0.18","0.78","0.18","USD","Feb 07, 2017","Feb 07, 2017"
"METROPOLITAN COUNCIL MINN MINN","Local Tax-Backed","Fixed Income","838,868.02","0.27","838,868.02","800,000.00","591852TR9","US591852TR96","-","103.39","United States","-","USD","0.69","0.19","1.00","Sep 01, 2021","5.00","0.69","-","0.19","0.69","0.19","USD","Jun 15, 2012","Jun 15, 2012"
"NORTH TEX TWY AUTH REV","Prerefund/Escrow","Fixed Income","838,696.34","0.27","838,696.34","800,000.00","66285WJJ6","US66285WJJ62","-","103.36","United States","-","USD","0.69","0.22","1.00","Sep 01, 2021","5.00","0.69","-","0.22","0.69","0.22","USD","Nov 10, 2011","Nov 10, 2011"
"NEW YORK ST DORM AUTH ST PERS","State Tax-Backed","Fixed Income","819,383.42","0.26","819,383.42","800,000.00","64990EEV5","US64990EEV56","-","101.15","United States","-","USD","0.24","0.31","1.00","Mar 15, 2021","5.00","0.24","-","0.31","0.24","0.31","USD","Jul 26, 2012","Jul 26, 2012"
"HOUSTON TEX ARPT SYS REV","Transportation","Fixed Income","811,936.47","0.26","811,936.47","775,000.00","4423486M5","US4423486M54","-","102.46","United States","-","USD","0.52","0.42","1.00","Jul 01, 2021","5.00","0.53","-","0.42","0.53","0.42","USD","Apr 05, 2012","Apr 05, 2012"
"NEW JERSEY ECONOMIC DEV AUTH R","State Tax-Backed","Fixed Income","807,709.65","0.26","807,709.65","790,000.00","64577BKQ6","US64577BKQ67","-","102.21","United States","-","USD","0.49","0.51","1.00","Jun 15, 2021","5.00","0.49","-","0.51","0.49","0.51","USD","Aug 31, 2015","Aug 31, 2015"
"RHODE ISLAND HEALTH & EDL BLDG","Education","Fixed Income","807,300.28","0.26","807,300.28","770,000.00","762197KC4","US762197KC44","-","103.37","United States","-","USD","0.69","0.21","1.00","Sep 01, 2021","5.00","0.69","-","0.21","0.69","0.21","USD","Jul 19, 2012","Jul 19, 2012"
"TENNESSEE ST SCH BD AUTH","Education","Fixed Income","807,180.44","0.26","807,180.44","770,000.00","880558FM8","US880558FM83","-","104.19","United States","-","USD","0.86","0.19","1.00","Nov 01, 2021","5.00","0.86","-","0.19","0.86","0.19","USD","Aug 27, 2014","Aug 27, 2014"
"NEW YORK ST DORM AUTH ST PERS","State Tax-Backed","Fixed Income","804,019.98","0.25","804,019.98","785,000.00","64990FHK3","US64990FHK30","-","101.15","United States","-","USD","0.24","0.31","1.00","Mar 15, 2021","5.00","0.24","-","0.31","0.24","0.31","USD","Dec 21, 2018","Dec 21, 2018"
"NORTH CAROLINA ST CAP IMPT LTD","Prerefund/Escrow","Fixed Income","768,139.04","0.24","768,139.04","750,000.00","65825PDZ0","US65825PDZ09","-","101.78","United States","-","USD","0.38","0.21","1.00","May 01, 2021","5.00","0.37","-","0.21","0.37","0.21","USD","Nov 29, 2011","Nov 29, 2011"
"MARYLAND ST DEPT TRANSN CONS T","State Tax-Backed","Fixed Income","765,362.60","0.24","765,362.60","730,000.00","574204G80","US574204G800","-","103.37","United States","-","USD","0.69","0.21","1.00","Sep 01, 2021","5.00","0.69","-","0.21","0.69","0.21","USD","Sep 21, 2017","Sep 21, 2017"
"SAN DIEGO CALIF UNI SCH DIST","School Districts","Fixed Income","764,314.25","0.24","764,314.25","765,000.00","797355JK1","US797355JK17","-","99.91","United States","-","USD","0.54","0.17","1.00","Jul 01, 2021","0.00","0.54","-","0.17","0.54","0.17","USD","May 27, 1999","May 27, 1999"
"NORTH CAROLINA EASTN MUN PWR AGY P","Prerefund/Escrow","Fixed Income","763,196.29","0.24","763,196.29","745,000.00","6581963Q1","US6581963Q14","-","100.14","United States","-","USD","0.05","1.44","1.00","Jan 01, 2021","5.00","0.04","-","1.44","0.04","1.44","USD","Sep 21, 2010","Sep 21, 2010"
"ARKANSAS ST","State Tax-Backed","Fixed Income","762,731.58","0.24","762,731.58","745,000.00","041042VB5","US041042VB55","-","102.35","United States","-","USD","0.49","0.24","1.00","Jun 15, 2021","5.00","0.49","-","0.24","0.49","0.24","USD","Oct 01, 2013","Oct 01, 2013"
"ILLINOIS ST","State Tax-Backed","Fixed Income","746,004.16","0.24","746,004.16","720,000.00","452152P54","US452152P544","-","102.97","United States","-","USD","0.86","1.55","1.00","Nov 01, 2021","5.00","0.85","-","1.55","0.85","1.55","USD","Nov 08, 2017","Nov 08, 2017"
"WISCONSIN ST","State Tax-Backed","Fixed Income","739,041.83","0.23","739,041.83","705,000.00","97705L6N2","US97705L6N29","-","104.19","United States","-","USD","0.86","0.19","1.00","Nov 01, 2021","5.00","0.86","-","0.19","0.86","0.19","USD","Sep 03, 2014","Sep 03, 2014"
"SEATTLE WASH WTR SYS REV","Utility","Fixed Income","733,959.47","0.23","733,959.47","700,000.00","812728RZ8","US812728RZ82","-","103.38","United States","-","USD","0.69","0.20","1.00","Sep 01, 2021","5.00","0.69","-","0.20","0.69","0.20","USD","May 30, 2012","May 30, 2012"
"MONTGOMERY CNTY MD","Local Tax-Backed","Fixed Income","733,800.40","0.23","733,800.40","700,000.00","61334PAX1","US61334PAX15","-","104.19","United States","-","USD","0.86","0.19","1.00","Nov 01, 2021","5.00","0.86","-","0.19","0.86","0.19","USD","Nov 07, 2019","Nov 07, 2019"
"MASSACHUSETTS ST","State Tax-Backed","Fixed Income","730,513.20","0.23","730,513.20","695,000.00","57582NUV5","US57582NUV53","-","103.13","United States","-","USD","0.61","0.22","1.00","Aug 01, 2021","5.25","0.61","-","0.22","0.61","0.22","USD","Jan 28, 2004","Jan 28, 2004"
"ALABAMA ST","State Tax-Backed","Fixed Income","718,309.56","0.23","718,309.56","685,000.00","010411AE6","US010411AE63","-","102.97","United States","-","USD","0.61","0.21","1.00","Aug 01, 2021","5.00","0.61","-","0.21","0.61","0.21","USD","Aug 06, 2014","Aug 06, 2014"
"MASSACHUSETTS ST SCH BLDG AUTH","State Tax-Backed","Fixed Income","718,273.22","0.23","718,273.22","685,000.00","576000YD9","US576000YD97","-","103.16","United States","-","USD","0.65","0.21","1.00","Aug 15, 2021","5.00","0.65","-","0.21","0.65","0.21","USD","Aug 16, 2012","Aug 16, 2012"
"SAN DIEGO CNTY CALIF REGL TRAN","Local Tax-Backed","Fixed Income","713,550.07","0.23","713,550.07","700,000.00","797400KY3","US797400KY39","-","101.09","United States","-","USD","0.29","0.22","1.00","Apr 01, 2021","4.00","0.29","-","0.22","0.29","0.22","USD","Apr 18, 2018","Apr 18, 2018"
"DISTRICT COLUMBIA","State Tax-Backed","Fixed Income","711,577.50","0.23","711,577.50","695,000.00","25476FMT2","US25476FMT20","-","102.16","United States","-","USD","0.45","0.25","1.00","Jun 01, 2021","5.00","0.46","-","0.25","0.46","0.25","USD","Dec 18, 2013","Dec 18, 2013"
"FREMONT CALIF UN HIGH SCH DIST","Prerefund/Escrow","Fixed Income","709,991.78","0.23","709,991.78","1,770,000.00","357172UQ6","US357172UQ69","-","40.11","United States","-","USD","0.62","0.23","1.00","Aug 01, 2021","0.00","0.62","-","0.23","0.62","0.23","USD","Mar 23, 2011","Mar 23, 2011"
"LOS ANGELES CNTY CALIF MET TRA","Local Tax-Backed","Fixed Income","701,401.38","0.22","701,401.38","685,000.00","54466HDG8","US54466HDG83","-","102.17","United States","-","USD","0.45","0.23","1.00","Jun 01, 2021","5.00","0.46","-","0.23","0.46","0.23","USD","Nov 30, 2016","Nov 30, 2016"
"TEXAS TRANSN COMMN ST HWY FD R","State Tax-Backed","Fixed Income","696,370.63","0.22","696,370.63","680,000.00","88283LHZ2","US88283LHZ22","-","101.35","United States","-","USD","0.29","0.31","1.00","Apr 01, 2021","5.00","0.29","-","0.31","0.29","0.31","USD","Apr 02, 2014","Apr 02, 2014"
"MARYLAND ST","State Tax-Backed","Fixed Income","686,891.94","0.22","686,891.94","655,000.00","574193JH2","US574193JH29","-","102.98","United States","-","USD","0.61","0.20","1.00","Aug 01, 2021","5.00","0.61","-","0.20","0.61","0.20","USD","Mar 18, 2014","Mar 18, 2014"
"CLARK CNTY NEV HWY IMPT REV","Local Tax-Backed","Fixed Income","686,748.08","0.22","686,748.08","655,000.00","181000NY2","US181000NY29","-","102.54","United States","-","USD","0.52","0.28","1.00","Jul 01, 2021","5.00","0.53","-","0.28","0.53","0.28","USD","Jun 29, 2016","Jun 29, 2016"
"DELAWARE TRANSN AUTH TRANSN SY","State Tax-Backed","Fixed Income","671,332.58","0.21","671,332.58","640,000.00","246428A48","US246428A483","-","102.59","United States","-","USD","0.52","0.19","1.00","Jul 01, 2021","5.00","0.53","-","0.19","0.53","0.19","USD","May 15, 2014","May 15, 2014"
"OHIO ST WTR DEV AUTH WTR POLLU","Utility","Fixed Income","670,955.66","0.21","670,955.66","640,000.00","67766WVL3","US67766WVL35","-","104.61","United States","-","USD","0.94","0.16","1.00","Dec 01, 2021","5.00","0.94","-","0.16","0.94","0.16","USD","May 01, 2014","May 01, 2014"
"NEW YORK N Y","Local Tax-Backed","Fixed Income","669,432.69","0.21","669,432.69","645,000.00","64966J2H8","US64966J2H89","-","102.94","United States","-","USD","0.78","0.26","1.00","Oct 01, 2021","4.00","0.78","-","0.26","0.78","0.26","USD","Oct 23, 2012","Oct 23, 2012"
"CALIFORNIA ST FOR PREVIOUS ISS","State Tax-Backed","Fixed Income","660,410.37","0.21","660,410.37","630,000.00","13063CHR4","US13063CHR43","-","104.60","United States","-","USD","0.94","0.17","1.00","Dec 01, 2021","5.00","0.94","-","0.17","0.94","0.17","USD","Mar 27, 2014","Mar 27, 2014"
"KANSAS ST DEPT TRANSN HWY REV","State Tax-Backed","Fixed Income","655,365.64","0.21","655,365.64","625,000.00","485424NS0","US485424NS04","-","103.39","United States","-","USD","0.69","0.19","1.00","Sep 01, 2021","5.00","0.69","-","0.19","0.69","0.19","USD","Oct 17, 2012","Oct 17, 2012"
"MIAMI-DADE CNTY FLA WTR & SWR","Utility","Fixed Income","655,149.60","0.21","655,149.60","625,000.00","59334DHU1","US59334DHU19","-","103.77","United States","-","USD","0.78","0.22","1.00","Oct 01, 2021","5.00","0.78","-","0.22","0.78","0.22","USD","Jun 03, 2015","Jun 03, 2015"
