Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"UNIVERSITY CALIF REVS FOR PREV","Education","Fixed Income","2,382,930.14","0.80","2,382,930.14","2,125,000.00","91412GST3","US91412GST30","-","111.12","United States","-","USD","2.18","0.15","1.00","May 15, 2023","5.00","2.18","-","0.15","2.18","0.15","USD","Oct 02, 2013","Oct 02, 2013"
"WISCONSIN ST","Prerefund/Escrow","Fixed Income","2,240,046.67","0.75","2,240,046.67","2,000,000.00","97705L8C4","US97705L8C46","-","110.79","United States","-","USD","2.14","0.21","1.00","May 01, 2023","5.00","2.14","-","0.21","2.14","0.21","USD","Feb 19, 2015","Feb 19, 2015"
"SALT LAKE CNTY UTAH EXCISE TAX","Prerefund/Escrow","Fixed Income","2,004,623.06","0.67","2,004,623.06","1,750,000.00","79567TAS4","US79567TAS42","-","112.29","United States","-","USD","2.38","0.16","1.00","Aug 15, 2023","5.00","2.38","-","0.16","2.38","0.16","USD","Jan 07, 2014","Jan 07, 2014"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","1,741,818.67","0.58","1,741,818.67","1,520,000.00","13063DHG6","US13063DHG60","-","112.14","United States","-","USD","2.34","0.15","1.00","Aug 01, 2023","5.00","2.34","-","0.15","2.34","0.15","USD","Sep 18, 2018","Sep 18, 2018"
"BLACKROCK LIQ MUNICASH CL INS MMF","Cash and/or Derivatives","Money Market","1,502,244.78","0.50","1,502,244.78","1,501,944.00","09248U841","US09248U8412","B0BW5H6","1.00","United States","-","USD","0.05","0.07","1.00","-","0.12","0.05","-","0.07","0.05","0.07","USD","Feb 23, 1984","-"
"WISCONSIN ST CLEAN WTR REV","Prerefund/Escrow","Fixed Income","1,427,804.50","0.48","1,427,804.50","1,275,000.00","977092WE1","US977092WE14","-","111.19","United States","-","USD","2.23","0.21","1.00","Jun 01, 2023","5.00","2.23","-","0.21","2.23","0.21","USD","Mar 20, 2013","Mar 20, 2013"
"METROPOLITAN GOVT NASHVILLE &","Prerefund/Escrow","Fixed Income","1,370,162.50","0.46","1,370,162.50","1,250,000.00","592112NE2","US592112NE26","-","109.24","United States","-","USD","1.86","0.19","1.00","Jan 01, 2023","5.00","1.85","-","0.19","1.85","0.19","USD","May 09, 2013","May 09, 2013"
"TEXAS ST UNIV SYS FING REV","Education","Fixed Income","1,272,121.87","0.43","1,272,121.87","1,135,000.00","88278PUF9","US88278PUF97","-","110.23","United States","-","USD","2.01","0.18","1.00","Mar 15, 2023","5.00","2.02","-","0.18","2.02","0.18","USD","Mar 01, 2015","Mar 18, 2015"
"VIRGINIA COMWLTH TRANSN BRD","Prerefund/Escrow","Fixed Income","1,233,564.44","0.41","1,233,564.44","1,100,000.00","927790GM1","US927790GM14","-","110.30","United States","-","USD","2.01","0.16","1.00","Mar 15, 2023","5.00","2.02","-","0.16","2.02","0.16","USD","Nov 21, 2013","Nov 21, 2013"
"UNIVERSITY UTAH UNIV REVS","Prerefund/Escrow","Fixed Income","1,230,040.08","0.41","1,230,040.08","1,075,000.00","915183A49","US915183A492","-","111.96","United States","-","USD","2.34","0.21","1.00","Aug 01, 2023","5.00","2.34","-","0.21","2.34","0.21","USD","Jul 15, 2014","Jul 15, 2014"
