Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"NEW YORK N Y CITY MUN WTR FIN","Government Related","Fixed Income","1,387,097.06","0.70","1,387,097.06","1,190,000.00","64972GSB1","US64972GSB13","-","116.16","United States","-","USD","3.19","0.25","1.00","Jun 15, 2024","5.00","3.19","-","0.25","3.19","0.25","USD","Aug 21, 2018","Aug 21, 2018"
"TEXAS ST","Government Related","Fixed Income","1,189,135.56","0.60","1,189,135.56","1,000,000.00","882723TB5","US882723TB52","-","117.48","United States","-","USD","3.42","0.27","1.00","Oct 01, 2024","5.00","3.42","-","0.27","3.42","0.27","USD","Dec 18, 2014","Dec 18, 2014"
"CLEVELAND OHIO WTR REV","Government Related","Fixed Income","1,157,358.22","0.58","1,157,358.22","1,040,000.00","186427CU2","US186427CU20","-","111.14","United States","-","USD","2.83","0.23","1.00","Jan 01, 2024","4.00","2.83","-","0.23","2.83","0.23","USD","May 27, 2015","May 27, 2015"
"MONTGOMERY CNTY MD","Government Related","Fixed Income","1,149,231.11","0.58","1,149,231.11","1,000,000.00","6133403Q9","US6133403Q95","-","114.11","United States","-","USD","3.55","0.26","1.00","Nov 01, 2024","4.00","3.55","-","0.26","3.55","0.26","USD","Nov 19, 2014","Nov 19, 2014"
"WASHINGTON ST FOR ISSUES DTD P","Government Related","Fixed Income","1,042,411.47","0.52","1,042,411.47","895,000.00","93974DGV4","US93974DGV47","-","116.29","United States","-","USD","3.23","0.27","1.00","Jul 01, 2024","5.00","3.23","-","0.27","3.23","0.27","USD","Jul 09, 2014","Jul 09, 2014"
"MARYLAND ST","Government Related","Fixed Income","994,734.57","0.50","994,734.57","835,000.00","574193PC6","US574193PC67","-","116.87","United States","-","USD","3.25","0.22","1.00","Aug 01, 2024","5.00","3.25","-","0.22","3.25","0.22","USD","Aug 30, 2017","Aug 30, 2017"
"NEW YORK N Y","Government Related","Fixed Income","911,378.84","0.46","911,378.84","770,000.00","64966MJH3","US64966MJH34","-","116.10","United States","-","USD","3.25","0.42","1.00","Aug 01, 2024","5.00","3.25","-","0.42","3.25","0.42","USD","Feb 22, 2017","Feb 22, 2017"
"TRIBOROUGH BRDG & TUNL AUTH N","Corporates","Fixed Income","866,440.24","0.44","866,440.24","730,000.00","89602N6S8","US89602N6S86","-","117.87","United States","-","USD","3.54","0.31","1.00","Nov 15, 2024","5.00","3.54","-","0.31","3.54","0.31","USD","Jan 19, 2017","Jan 19, 2017"
"METROPOLITAN TRANSN AUTH N Y R","Government Related","Fixed Income","857,615.41","0.43","857,615.41","755,000.00","59261APQ4","US59261APQ49","-","112.77","United States","-","USD","3.53","1.56","1.00","Nov 15, 2024","5.00","3.51","-","1.56","3.51","1.56","USD","Dec 14, 2017","Dec 14, 2017"
"MASSACHUSETTS ST","Government Related","Fixed Income","833,816.40","0.42","833,816.40","695,000.00","57582PAE0","US57582PAE07","-","118.03","United States","-","USD","3.33","0.26","1.00","Sep 01, 2024","5.25","3.32","-","0.26","3.32","0.26","USD","Oct 18, 2006","Oct 18, 2006"
