Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"WASHINGTON ST","Government Related","Fixed Income","909,497.50","0.67","909,497.50","750,000.00","93974D7F9","US93974D7F96","-","120.81","United States","-","USD","4.03","0.25","1.00","Jun 01, 2025","5.00","4.03","-","0.25","4.03","0.25","USD","Feb 20, 2019","Feb 20, 2019"
"BLACKROCK LIQ MUNICASH CL INS MMF","Cash and/or Derivatives","Money Market","835,085.23","0.62","835,085.23","834,918.00","09248U841","US09248U8412","B0BW5H6","1.00","United States","-","USD","0.04","0.05","1.00","-","0.14","0.05","-","0.05","0.05","0.05","USD","Feb 23, 1984","-"
"MASSACHUSETTS ST WTR POLLUTN A","Municipals","Fixed Income","768,843.40","0.57","768,843.40","620,000.00","57605AFK7","US57605AFK79","-","121.88","United States","-","USD","4.12","0.19","1.00","Aug 01, 2025","5.00","4.12","-","0.19","4.12","0.19","USD","Jun 12, 2014","Jun 12, 2014"
"TEXAS TRANSN COMMN ST HWY FD R","Government Related","Fixed Income","753,524.87","0.56","753,524.87","610,000.00","88283LKJ4","US88283LKJ43","-","122.24","United States","-","USD","4.28","0.28","1.00","Oct 01, 2025","5.00","4.28","-","0.28","4.28","0.28","USD","Oct 26, 2016","Oct 26, 2016"
"LOS ANGELES CALIF UNI SCH DIST","Government Related","Fixed Income","697,099.33","0.52","697,099.33","575,000.00","5446465N8","US5446465N82","-","121.19","United States","-","USD","4.11","0.25","1.00","Jul 01, 2025","5.00","4.12","-","0.25","4.12","0.25","USD","May 25, 2017","May 25, 2017"
"PHILADELPHIA PA WTR & WASTEWTR","Government Related","Fixed Income","640,705.87","0.47","640,705.87","520,000.00","717893ZZ7","US717893ZZ74","-","121.92","United States","-","USD","4.28","0.34","1.00","Oct 01, 2025","5.00","4.28","-","0.34","4.28","0.34","USD","Nov 03, 2016","Nov 03, 2016"
"ILLINOIS ST","Government Related","Fixed Income","630,235.20","0.47","630,235.20","560,000.00","452152Q46","US452152Q468","-","111.67","United States","-","USD","4.34","2.42","1.00","Nov 01, 2025","5.00","4.29","-","2.42","4.29","2.42","USD","Nov 08, 2017","Nov 08, 2017"
"HENRICO CNTY VA","Municipals","Fixed Income","621,028.89","0.46","621,028.89","500,000.00","426056U47","US426056U474","-","121.68","United States","-","USD","4.10","0.23","1.00","Aug 01, 2025","5.00","4.10","-","0.23","4.10","0.23","USD","Jul 02, 2020","Jul 02, 2020"
"SAN ANTONIO TEX ELEC & GAS REV","Government Related","Fixed Income","618,869.70","0.46","618,869.70","510,000.00","79625GDA8","US79625GDA85","-","119.22","United States","-","USD","3.71","0.26","1.00","Feb 01, 2025","5.00","3.70","-","0.26","3.70","0.26","USD","Jul 01, 2016","Jul 28, 2016"
"SAN FRANCISCO CALIF CITY & CNT","Government Related","Fixed Income","606,994.44","0.45","606,994.44","500,000.00","7976466T8","US7976466T89","-","121.14","United States","-","USD","4.07","0.22","1.00","Jun 15, 2025","5.00","4.07","-","0.22","4.07","0.22","USD","May 07, 2020","May 07, 2020"
