Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"VIRGINIA COMWLTH TRANSN BRD TR","Government Related","Fixed Income","401,049.07","0.95","401,049.07","310,000.00","927793D71","US927793D712","-","128.58","United States","-","USD","6.40","1.36","1.00","May 15, 2029","5.00","7.03","-","0.71","5.96","0.71","USD","Dec 14, 2017","Dec 14, 2017"
"MARYLAND ST","Government Related","Fixed Income","388,368.00","0.92","388,368.00","300,000.00","574193NJ3","US574193NJ39","-","127.83","United States","-","USD","5.41","0.43","1.00","Mar 15, 2027","5.00","5.42","-","0.43","5.42","0.43","USD","Mar 22, 2017","Mar 22, 2017"
"UTAH ST","Government Related","Fixed Income","386,261.33","0.92","386,261.33","300,000.00","917542VG4","US917542VG49","-","128.60","United States","-","USD","5.98","1.01","1.00","Jul 01, 2028","5.00","6.44","-","0.50","5.71","0.50","USD","Feb 28, 2018","Feb 28, 2018"
"NEW YORK N Y","Government Related","Fixed Income","348,686.40","0.83","348,686.40","270,000.00","64966MPG8","US64966MPG86","-","126.91","United States","-","USD","5.95","1.25","1.00","Aug 01, 2028","5.00","6.39","-","0.78","5.66","0.78","USD","Aug 10, 2017","Aug 10, 2017"
"CHARLOTTE N C","Government Related","Fixed Income","336,396.96","0.80","336,396.96","260,000.00","161035HW3","US161035HW38","-","128.81","United States","-","USD","5.62","0.42","1.00","Jun 01, 2027","5.00","5.63","-","0.42","5.63","0.42","USD","Aug 15, 2019","Aug 15, 2019"
"OHIO ST","Government Related","Fixed Income","306,199.47","0.73","306,199.47","240,000.00","677522RD8","US677522RD83","-","126.60","United States","-","USD","6.37","1.87","1.00","May 01, 2030","5.00","7.65","-","0.68","5.53","0.68","USD","Oct 03, 2017","Oct 03, 2017"
"CALIFORNIA ST FOR PREVIOUS ISS","Government Related","Fixed Income","298,087.16","0.71","298,087.16","230,000.00","13063C8T0","US13063C8T09","-","127.37","United States","-","USD","6.51","1.86","1.00","Aug 01, 2030","5.00","7.75","-","0.72","5.67","0.72","USD","Apr 19, 2017","Apr 19, 2017"
"NEW YORK N Y CITY MUN WTR FIN","Government Related","Fixed Income","296,276.80","0.70","296,276.80","230,000.00","64972GUA0","US64972GUA02","-","128.44","United States","-","USD","5.66","0.50","1.00","Jun 15, 2027","5.00","5.66","-","0.50","5.66","0.50","USD","Jul 02, 2019","Jul 02, 2019"
"WEST VA COMMR OF HWYS SPL OBLI","Municipals","Fixed Income","287,506.00","0.68","287,506.00","225,000.00","95649ADA9","US95649ADA97","-","125.96","United States","-","USD","6.34","1.75","1.00","Sep 01, 2029","5.00","7.15","-","0.95","5.74","0.95","USD","Aug 01, 2018","Aug 01, 2018"
"INDIANA FIN AUTH HWY REV","Government Related","Fixed Income","270,961.16","0.64","270,961.16","215,000.00","45470RCU8","US45470RCU86","-","125.46","United States","-","USD","5.35","0.89","1.00","Jun 01, 2027","5.00","5.60","-","0.59","5.22","0.59","USD","Sep 02, 2016","Sep 02, 2016"
