Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"TREASURY NOTE","Treasury","Fixed Income","697,067.31","18.28","697,067.31","675,000.00","912828L57","US912828L575","BYXJBX1","102.88","United States","-","USD","1.75","0.13","1.00","Sep 30, 2022","1.75","1.75","-","0.13","1.75","0.13","USD","Sep 30, 2015","Sep 30, 2015"
"TREASURY NOTE","Treasury","Fixed Income","677,620.87","17.77","677,620.87","654,000.00","9128286C9","US9128286C90","BJ7G9D9","102.74","United States","-","USD","1.13","0.12","1.00","Feb 15, 2022","2.50","1.13","-","0.12","1.13","0.12","USD","Feb 15, 2019","Feb 15, 2019"
"TREASURY NOTE","Treasury","Fixed Income","583,542.60","15.30","583,542.60","572,500.00","912828Z60","US912828Z609","BKMH688","101.39","United States","-","USD","1.10","0.12","1.00","Jan 31, 2022","1.38","1.10","-","0.12","1.10","0.12","USD","Jan 31, 2020","Jan 31, 2020"
"TREASURY NOTE","Treasury","Fixed Income","389,055.74","10.20","389,055.74","375,000.00","912828M80","US912828M805","BYWKSB2","103.63","United States","-","USD","1.91","0.13","1.00","Nov 30, 2022","2.00","1.91","-","0.13","1.91","0.13","USD","Nov 30, 2015","Nov 30, 2015"
"TREASURY NOTE","Treasury","Fixed Income","387,390.03","10.16","387,390.03","375,000.00","912828XW5","US912828XW50","BF1TTC5","102.48","United States","-","USD","1.50","0.13","1.00","Jun 30, 2022","1.75","1.50","-","0.13","1.50","0.13","USD","Jun 30, 2017","Jun 30, 2017"
"TREASURY NOTE","Treasury","Fixed Income","342,363.82","8.98","342,363.82","330,000.00","9128283C2","US9128283C28","BF2K392","103.46","United States","-","USD","1.83","0.13","1.00","Oct 31, 2022","2.00","1.83","-","0.13","1.83","0.13","USD","Oct 31, 2017","Oct 31, 2017"
"TREASURY NOTE","Treasury","Fixed Income","226,900.71","5.95","226,900.71","221,000.00","912828V72","US912828V723","BDFFCZ9","101.94","United States","-","USD","1.10","0.13","1.00","Jan 31, 2022","1.88","1.10","-","0.13","1.10","0.13","USD","Jan 31, 2017","Jan 31, 2017"
"TREASURY NOTE (OTR)","Treasury","Fixed Income","155,011.18","4.06","155,011.18","155,000.00","91282CAX9","US91282CAX92","BLH34M8","100.00","United States","-","USD","1.94","0.13","1.00","Nov 30, 2022","0.13","1.94","-","0.13","1.94","0.13","USD","Nov 30, 2020","Nov 30, 2020"
"TREASURY NOTE","Treasury","Fixed Income","153,068.34","4.01","153,068.34","153,000.00","91282CAC5","US91282CAC55","BLD0Z64","100.00","United States","-","USD","1.61","0.13","1.00","Jul 31, 2022","0.13","1.61","-","0.13","1.61","0.13","USD","Jul 31, 2020","Jul 31, 2020"
"TREASURY NOTE (2OLD)","Treasury","Fixed Income","49,011.88","1.29","49,011.88","49,000.00","91282CAN1","US91282CAN11","BMT6SG4","100.00","United States","-","USD","1.77","0.13","1.00","Sep 30, 2022","0.13","1.77","-","0.13","1.77","0.13","USD","Sep 30, 2020","Sep 30, 2020"
"TREASURY NOTE","Treasury","Fixed Income","46,482.83","1.22","46,482.83","45,000.00","9128287C8","US9128287C81","BJGR182","102.54","United States","-","USD","1.54","0.13","1.00","Jul 15, 2022","1.75","1.54","-","0.13","1.54","0.13","USD","Jul 15, 2019","Jul 15, 2019"
"TREASURY NOTE (OLD)","Treasury","Fixed Income","30,002.94","0.79","30,002.94","30,000.00","91282CAR2","US91282CAR25","-","99.99","United States","-","USD","1.86","0.13","1.00","Oct 31, 2022","0.13","1.86","-","0.13","1.86","0.13","USD","Nov 02, 2020","Oct 31, 2020"
"TREASURY NOTE","Treasury","Fixed Income","25,804.71","0.68","25,804.71","25,000.00","9128286M7","US9128286M72","BJRF884","102.80","United States","-","USD","1.31","0.12","1.00","Apr 15, 2022","2.25","1.30","-","0.12","1.30","0.12","USD","Apr 15, 2019","Apr 15, 2019"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","20,000.00","0.52","20,000.00","20,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.09","0.09","1.00","-","0.15","0.12","-","0.09","0.12","0.09","USD","Feb 04, 2009","-"
"TREASURY NOTE","Treasury","Fixed Income","15,004.63","0.39","15,004.63","15,000.00","91282CAG6","US91282CAG69","BMV9TW4","99.99","United States","-","USD","1.69","0.13","1.00","Aug 31, 2022","0.13","1.69","-","0.13","1.69","0.13","USD","Aug 31, 2020","Aug 31, 2020"
"TREASURY NOTE","Treasury","Fixed Income","10,000.33","0.26","10,000.33","10,000.00","912828ZR4","US912828ZR48","BMC3044","100.00","United States","-","USD","1.44","0.13","1.00","May 31, 2022","0.13","1.44","-","0.13","1.44","0.13","USD","Jun 01, 2020","May 31, 2020"
"USD CASH","Cash and/or Derivatives","Cash","5,125.50","0.13","5,125.50","5,126.00","-","-","-","100.00","United States","-","USD","0.00","0.15","1.00","-","0.00","0.00","-","0.15","0.00","0.15","USD","Jan 01, 1989","-"
