Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"TREASURY NOTE","Treasury","Fixed Income","4,250,672.96","25.42","4,250,672.96","4,062,500.00","912828Y87","US912828Y875","BJVN8Q2","104.35","United States","-","USD","3.24","0.44","1.00","Jul 31, 2024","1.75","3.25","-","0.44","3.25","0.44","USD","Jul 31, 2019","Jul 31, 2019"
"TREASURY NOTE","Treasury","Fixed Income","3,049,077.71","18.24","3,049,077.71","2,925,000.00","912828YH7","US912828YH74","BJYQBF8","103.50","United States","-","USD","3.40","0.49","1.00","Sep 30, 2024","1.50","3.39","-","0.49","3.39","0.49","USD","Sep 30, 2019","Sep 30, 2019"
"TREASURY NOTE","Treasury","Fixed Income","2,309,336.75","13.81","2,309,336.75","2,166,600.00","9128285Z9","US9128285Z94","BGC26D0","106.19","United States","-","USD","2.75","0.31","1.00","Jan 31, 2024","2.50","2.75","-","0.31","2.75","0.31","USD","Jan 31, 2019","Jan 31, 2019"
"TREASURY NOTE","Treasury","Fixed Income","2,080,533.77","12.44","2,080,533.77","1,950,000.00","9128286R6","US9128286R69","BK1LRG6","105.76","United States","-","USD","2.97","0.37","1.00","Apr 30, 2024","2.25","2.97","-","0.37","2.97","0.37","USD","Apr 30, 2019","Apr 30, 2019"
"TREASURY NOTE","Treasury","Fixed Income","1,565,206.73","9.36","1,565,206.73","1,462,500.00","912828G38","US912828G385","BSJWZX0","106.18","United States","-","USD","3.47","0.53","1.00","Nov 15, 2024","2.25","3.47","-","0.53","3.47","0.53","USD","Nov 17, 2014","Nov 15, 2014"
"TREASURY NOTE","Treasury","Fixed Income","1,155,621.28","6.91","1,155,621.28","1,111,400.00","912828YV6","US912828YV68","BJR5GR9","103.48","United States","-","USD","3.57","0.54","1.00","Nov 30, 2024","1.50","3.56","-","0.54","3.56","0.54","USD","Dec 02, 2019","Nov 30, 2019"
"TREASURY NOTE","Treasury","Fixed Income","859,826.69","5.14","859,826.69","812,500.00","912828X70","US912828X703","BD2Z8L0","105.00","United States","-","USD","2.98","0.37","1.00","Apr 30, 2024","2.00","2.98","-","0.37","2.98","0.37","USD","May 01, 2017","Apr 30, 2017"
"TREASURY NOTE","Treasury","Fixed Income","855,385.30","5.12","855,385.30","806,000.00","9128286G0","US9128286G05","BJKRNW6","105.93","United States","-","USD","2.83","0.33","1.00","Feb 29, 2024","2.38","2.83","-","0.33","2.83","0.33","USD","Feb 28, 2019","Feb 28, 2019"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","338,000.00","2.02","338,000.00","338,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.10","0.03","1.00","-","0.12","0.13","-","0.03","0.13","0.03","USD","Feb 04, 2009","-"
"TREASURY NOTE","Treasury","Fixed Income","249,797.02","1.49","249,797.02","234,000.00","912828D56","US912828D564","BPYD731","106.47","United States","-","USD","3.26","0.45","1.00","Aug 15, 2024","2.38","3.26","-","0.45","3.26","0.45","USD","Aug 15, 2014","Aug 15, 2014"
"TREASURY NOTE (OLD)","Treasury","Fixed Income","99,499.22","0.60","99,499.22","100,000.00","91282CBM2","US91282CBM29","-","99.48","United States","-","USD","2.87","0.30","1.00","Feb 15, 2024","0.13","2.87","-","0.30","2.87","0.30","USD","Feb 16, 2021","Feb 15, 2021"
"TREASURY NOTE","Treasury","Fixed Income","37,495.11","0.22","37,495.11","35,800.00","9128286Z8","US9128286Z85","BJXXZS1","104.30","United States","-","USD","3.16","0.42","1.00","Jun 30, 2024","1.75","3.16","-","0.42","3.16","0.42","USD","Jul 01, 2019","Jun 30, 2019"
"USD CASH","Cash and/or Derivatives","Cash","-130,370.33","-0.78","-130,370.33","-130,370.00","-","-","-","100.00","United States","-","USD","0.00","0.12","1.00","-","0.00","0.00","-","0.12","0.00","0.12","USD","Jan 01, 1989","-"
