Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLD","PROLOGIS REIT INC","Real Estate","Equity","149,826,573.45","7.45","149,826,573.45","1,391,535.00","74340W103","US74340W1036","B44WZD7","107.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","136,941,044.40","6.81","136,941,044.40","602,760.00","03027X100","US03027X1000","B7FBFL2","227.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","130,418,359.97","6.49","130,418,359.97","183,737.00","29444U700","US29444U7000","BVLZX12","709.81","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","129,327,622.38","6.43","129,327,622.38","923,373.00","253868103","US2538681030","B03GQS4","140.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","121,039,035.10","6.02","121,039,035.10","522,035.00","74460D109","US74460D1090","2852533","231.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","114,726,824.10","5.71","114,726,824.10","1,050,035.00","828806109","US8288061091","2812452","109.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","101,420,000.76","5.05","101,420,000.76","384,254.00","78410G104","US78410G1040","BZ6TS23","263.94","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","96,705,374.60","4.81","96,705,374.60","1,432,460.00","95040Q104","US95040Q1040","BYVYHH4","67.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","86,726,127.77","4.31","86,726,127.77","483,127.00","053484101","US0534841012","2131179","179.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","79,320,175.76","3.95","79,320,175.76","1,175,462.00","29476L107","US29476L1070","2319157","67.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","73,977,686.46","3.68","73,977,686.46","1,184,401.00","756109104","US7561091049","2724193","62.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Real Estate","Equity","73,559,326.06","3.66","73,559,326.06","425,051.00","015271109","US0152711091","2009210","173.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","64,956,596.80","3.23","64,956,596.80","1,280,690.00","92276F100","US92276F1003","2927925","50.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESS","ESSEX PROPERTY TRUST REIT INC","Real Estate","Equity","60,292,920.10","3.00","60,292,920.10","223,846.00","297178105","US2971781057","2316619","269.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INVH","INVITATION HOMES INC","Real Estate","Equity","59,647,937.00","2.97","59,647,937.00","1,924,127.00","46187W107","US46187W1071","BD81GW9","31.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEAK","HEALTHPEAK PROPERTIES INC","Real Estate","Equity","57,173,221.56","2.84","57,173,221.56","1,847,874.00","42250P103","US42250P1030","BJBLRK3","30.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
