Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLUG","PLUG POWER INC","Industrials","Equity","281,128,171.59","6.19","281,128,171.59","8,374,387.00","72919P202","US72919P2020","2508386","33.57","United States","NASDAQ","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","251,676,351.15","5.54","251,676,351.15","1,434,135.00","29355A107","US29355A1079","B65SQW4","175.49","United States","NASDAQ","USD","1.00","USD","-"
"MEL","MERIDIAN ENERGY LTD","Utilities","Equity","225,657,066.96","4.96","225,657,066.96","44,192,413.00","-","NZMELE0002S7","BWFD052","5.11","New Zealand","New Zealand Exchange Ltd","USD","1.41","NZD","-"
"968","XINYI SOLAR HOLDINGS LTD","Information Technology","Equity","222,381,804.23","4.89","222,381,804.23","89,710,000.00","-","KYG9829N1025","BGQYNN1","2.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"VER","VERBUND AG","Utilities","Equity","220,757,215.00","4.86","220,757,215.00","2,596,749.00","S46616074","AT0000746409","4661607","85.01","Austria","Wiener Boerse Ag","USD","0.82","EUR","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","214,585,099.04","4.72","214,585,099.04","885,720.00","S59646513","DK0010268606","5964651","242.27","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.09","DKK","-"
"SGRE","SIEMENS GAMESA RENEWABLE ENERGY SA","Industrials","Equity","209,114,096.31","4.60","209,114,096.31","5,229,124.00","-","ES0143416115","B01CP21","39.99","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"ORSTED","ORSTED","Utilities","Equity","205,969,347.43","4.53","205,969,347.43","986,611.00","-","DK0060094928","BYT16L4","208.76","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.09","DKK","-"
"CEN","CONTACT ENERGY LTD","Utilities","Equity","199,927,368.60","4.40","199,927,368.60","32,107,686.00","S61525291","NZCENE0001S6","6152529","6.23","New Zealand","New Zealand Exchange Ltd","USD","1.41","NZD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","198,525,774.09","4.37","198,525,774.09","1,961,911.00","336433107","US3364331070","B1HMF22","101.19","United States","NASDAQ","USD","1.00","USD","-"
"EDPR","EDP RENOVAVEIS SA","Utilities","Equity","193,744,046.49","4.26","193,744,046.49","6,896,438.00","-","ES0127797019","B39GNW2","28.09","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.82","EUR","-"
"SSO","SCATEC SOLAR","Utilities","Equity","179,365,410.16","3.95","179,365,410.16","4,554,420.00","-","NO0010715139","BQSSWW3","39.38","Norway","Oslo Bors Asa","USD","8.66","NOK","-"
"ORA","ORMAT TECH INC","Utilities","Equity","162,651,615.70","3.58","162,651,615.70","1,857,814.00","686688102","US6866881021","B03L311","87.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","160,912,314.42","3.54","160,912,314.42","505,362.00","83417M104","US83417M1045","BWC52Q6","318.41","United States","NASDAQ","USD","1.00","USD","-"
"BLX","BORALEX INC CLASS A","Utilities","Equity","139,211,145.55","3.06","139,211,145.55","3,898,518.00","09950M300","CA09950M3003","2099084","35.71","Canada","Toronto Stock Exchange","USD","1.29","CAD","-"
"RUN","SUNRUN INC","Industrials","Equity","134,780,763.12","2.97","134,780,763.12","1,985,574.00","86771W105","US86771W1053","BYXB1Y8","67.88","United States","NASDAQ","USD","1.00","USD","-"
"CIG","COMPANHIA ENERGETICA MINAS GERAIS","Utilities","Equity","128,043,334.63","2.82","128,043,334.63","45,567,023.00","204409601","US2044096012","2178938","2.81","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DQ","DAQO NEW ENERGY ADR REPRESENTING","Information Technology","Equity","128,006,509.95","2.82","128,006,509.95","2,259,603.00","23703Q203","US23703Q2030","B953PM3","56.65","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEOEN","NEOEN SA","Utilities","Equity","118,765,101.28","2.61","118,765,101.28","1,599,225.00","-","FR0011675362","BGV7F95","74.26","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"INE","INNERGEX RENEWABLE ENERGY INC","Utilities","Equity","117,698,337.65","2.59","117,698,337.65","5,649,169.00","45790B104","CA45790B1040","B29TNV3","20.83","Canada","Toronto Stock Exchange","USD","1.29","CAD","-"
"CSIQ","CANADIAN SOLAR INC","Information Technology","Equity","109,035,761.12","2.40","109,035,761.12","2,127,112.00","136635109","CA1366351098","B1GKCH1","51.26","China","NASDAQ","USD","1.00","USD","-"
"CAP","ENCAVIS AG","Utilities","Equity","106,957,990.52","2.35","106,957,990.52","4,281,976.00","S54919667","DE0006095003","5491966","24.98","Germany","Xetra","USD","0.82","EUR","-"
"AY","ATLANTICA SUSTAINABLE INFRASTRUCTU","Utilities","Equity","103,696,698.16","2.28","103,696,698.16","2,740,399.00","-","GB00BLP5YB54","BLP5YB5","37.84","United States","NASDAQ","USD","1.00","USD","-"
"NOVA","SUNNOVA ENERGY INTERNATIONAL INC","Utilities","Equity","99,581,704.56","2.19","99,581,704.56","2,267,343.00","86745K104","US86745K1043","BJ9N563","43.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
