Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PFBCOLOM","BANCOLOMBIA PREF SA","Financials","Equity","3,640,351.97","15.45","3,640,351.97","376,217.00","-","COB07PA00086","BJ62LW1","9.68","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"ISA","INTERCONEXION ELECTRICA SA","Utilities","Equity","2,909,789.00","12.35","2,909,789.00","348,760.00","S22057061","COE15PA00026","2205706","8.34","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"ECOPETROL","ECOPETROL SA","Energy","Equity","2,868,328.47","12.17","2,868,328.47","4,116,964.00","-","COC04PA00016","B2473N4","0.70","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"BCOLOMBIA","BANCOLOMBIA SA","Financials","Equity","2,045,709.16","8.68","2,045,709.16","214,674.00","-","COB07PA00078","BJ62K57","9.53","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"PFDAVVNDA","BANCO DAVIVIENDA PREF SA","Financials","Equity","1,191,420.97","5.06","1,191,420.97","118,239.00","-","COB51PA00076","B4KC973","10.08","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"NUTRESA","GRUPO NUTRESA SA","Consumer Staples","Equity","1,046,302.46","4.44","1,046,302.46","153,346.00","-","COT04PA00028","B00P907","6.82","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"GEB","GRUPO ENERGIA BOGOTA SA","Utilities","Equity","1,038,880.27","4.41","1,038,880.27","1,321,802.00","-","COE01PA00026","B3V65K2","0.79","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"GRUPOSURA","GRUPO DE INVERSIONES SURAMERICANA","Financials","Equity","973,092.76","4.13","973,092.76","136,566.00","-","COT13PA00086","BMSK715","7.13","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"COPEC","EMPRESAS COPEC SA","Energy","Equity","815,724.38","3.46","815,724.38","73,907.00","S21960265","CLP7847L1080","2196026","11.04","Chile","Santiago Stock Exchange","USD","735.61","CLP","-"
"CNE","CANACOL ENERGY LTD","Energy","Equity","795,827.76","3.38","795,827.76","275,923.00","134808203","CA1348082035","B97DSV1","2.88","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"PFAVAL","GRUPO AVAL ACCIONES Y VALORES PREF","Financials","Equity","725,534.79","3.08","725,534.79","2,163,196.00","-","COT29PA00058","B66Y3W0","0.34","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","May 18, 2011"
"ENELAM","ENEL AMERICAS SA","Utilities","Equity","673,005.16","2.86","673,005.16","4,231,333.00","S22994537","CLP371861061","2299453","0.16","Chile","Santiago Stock Exchange","USD","735.61","CLP","-"
"PXT","PAREX RESOURCES INC","Energy","Equity","671,417.42","2.85","671,417.42","42,388.00","69946Q104","CA69946Q1046","B575D14","15.84","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"GRUPOARGOS","INVERSIONES ARGOS SA","Materials","Equity","552,560.41","2.34","552,560.41","137,093.00","-","COT09PA00035","B8SGSP6","4.03","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"TIGO SDB","MILLICOM INTERNATIONAL CELLULAR SD","Communication","Equity","542,110.82","2.30","542,110.82","14,200.00","-","SE0001174970","B00L2M8","38.18","Sweden","Nasdaq Omx Nordic","USD","8.38","SEK","-"
"TGLS","TECNOGLASS INC","Materials","Equity","475,396.89","2.02","475,396.89","68,011.00","-","KYG872641009","BHCVTN5","6.99","United States","NASDAQ","USD","1.00","USD","-"
"BVC","BOLSA DE VALORES DE COLOMBIA SA","Financials","Equity","435,130.95","1.85","435,130.95","119,009.00","-","COR01PA00010","B24FPF4","3.66","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"MINEROS","MINEROS SA","Materials","Equity","370,930.42","1.57","370,930.42","300,330.00","S25934902","COC07PA00027","2593490","1.24","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"TERPEL","ORGANIZACION TERPEL SA","Consumer Discretionary","Equity","289,687.21","1.23","289,687.21","118,658.00","-","COG20PA00021","BQ26XM0","2.44","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"CORFICOLCF","CORPORACION FINANCIERA COLOMBIANA","Financials","Equity","272,398.07","1.16","272,398.07","29,679.00","-","COJ12PA00048","B000C92","9.18","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"CEMARGOS","CEMENTOS ARGOS SA","Materials","Equity","218,831.31","0.93","218,831.31","129,600.00","-","COD38PA00046","B89Z692","1.69","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"CELSIA","CELSIA ESP SA","Utilities","Equity","164,980.75","0.70","164,980.75","122,710.00","-","COT60PA00038","BJ0K875","1.34","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"PFGRUPOARG","INVERSIONES ARGOS PREF SA","Materials","Equity","130,070.30","0.55","130,070.30","43,234.00","-","COT09PA00043","B8JBYR4","3.01","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"CONCONCRET","CONCONCRETO SA","Industrials","Equity","127,637.22","0.54","127,637.22","927,304.00","S27806454","COF02PA00039","2780645","0.14","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"PFGRUPSURA","GRUPO DE INVERSIONES SURAMERICANA","Financials","Equity","127,035.44","0.54","127,035.44","20,241.00","-","COT13PA00060","B4ZRC96","6.28","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","Dec 02, 2011"
"CLH","CEMEX LATAM HOLDING SA","Materials","Equity","124,336.42","0.53","124,336.42","94,648.00","-","EST01PA00013","B88KB04","1.31","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"ELCONDOR","CONSTRUCCIONES EL CONDOR SA","Industrials","Equity","122,966.62","0.52","122,966.62","375,656.00","-","COF20PA00015","B701DS0","0.33","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"BOGOTA","BANCO DE BOGOTA SA","Financials","Equity","74,476.60","0.32","74,476.60","3,275.00","S20750394","COB01PA00030","2075039","22.74","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"GRUPOAVAL","GRUPO AVAL ACCIONES Y VALORES SA","Financials","Equity","28,516.43","0.12","28,516.43","84,084.00","S24039422","COT29PA00025","2403942","0.34","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"PFCORFICOL","CORPORACION FINANCIERA COLOMBIANA","Financials","Equity","26,510.43","0.11","26,510.43","3,488.00","S22256077","COJ12PA00097","2225607","7.60","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"PFCEMARGOS","CEMENTOS ARGOS PREF SA","Materials","Equity","25,656.76","0.11","25,656.76","19,804.00","-","COD38PA00053","B96SSC8","1.30","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"PROMIGAS","PROMIGAS SA","Utilities","Equity","25,015.04","0.11","25,015.04","10,532.00","S27050137","COI04PA00021","2705013","2.38","Colombia","Bolsa De Valores De Colombia","USD","3,473.47","COP","-"
"COP","COP CASH","Cash and/or Derivatives","Cash","24,880.28","0.11","24,880.28","86,420,893.00","-","-","-","0.03","Colombia","-","USD","3,473.47","COP","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","10,000.00","0.04","10,000.00","10,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","9,969.12","0.04","9,969.12","12,720.00","-","-","-","78.38","Canada","-","USD","1.28","CAD","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","47.44","0.00","47.44","398.00","-","-","-","11.93","Sweden","-","USD","8.38","SEK","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-5,946.42","-0.03","-5,946.42","-5,946.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
