Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"AT&T INC","Cash and/or Derivatives","Cash","73,802,008.86","1.39","73,802,008.86","74,000,000.00","0020A2ZE5","-","-","99.73","United States","-","USD","0.82","0.32","1.00","Dec 14, 2021","0.00","0.83","-","0.32","0.83","0.32","USD","Jan 04, 2021","Jan 04, 2021"
"7-ELEVEN INC 144A","Industrial","Fixed Income","51,294,189.55","0.97","51,294,189.55","51,240,000.00","817826AH3","US817826AH34","-","100.10","Japan","-","USD","0.23","0.80","1.00","Aug 10, 2022","0.65","0.23","-","0.58","0.23","0.58","USD","Feb 10, 2021","Feb 10, 2021"
"WESTERN UNION CO","Cash and/or Derivatives","Cash","49,999,776.40","0.94","49,999,776.40","50,000,000.00","95980GPH5","-","-","100.00","United States","-","USD","0.00","0.16","1.00","Feb 17, 2021","0.00","0.00","-","0.16","0.00","0.16","USD","Feb 16, 2021","Feb 16, 2021"
"WASTE MANAGEMENT INC","Cash and/or Derivatives","Cash","42,943,161.18","0.81","42,943,161.18","43,000,000.00","94107MWA0","-","-","99.87","United States","-","USD","0.56","0.23","1.00","Sep 10, 2021","0.00","0.57","-","0.23","0.57","0.23","USD","Sep 21, 2020","Sep 21, 2020"
"TRI-PARTY GOLDMAN SACHS & CO. LLC","Cash and/or Derivatives","Cash","40,000,000.00","0.76","40,000,000.00","40,000,000.00","-","-","-","100.00","United States","-","USD","0.00","0.51","1.00","-","0.55","0.00","-","0.51","0.00","0.51","USD","Jan 28, 2021","Jan 28, 2021"
"NEXTERA ENERGY CAPITAL HOLDINGS IN","Utility","Fixed Income","39,292,550.27","0.74","39,292,550.27","39,250,000.00","65339KAY6","US65339KAY64","-","100.09","United States","-","USD","0.21","0.27","1.00","May 04, 2021","0.67","0.21","-","0.27","0.21","0.27","USD","May 04, 2018","May 04, 2018"
"CHEVRON USA INC","Industrial","Fixed Income","37,161,587.79","0.70","37,161,587.79","37,065,000.00","166756AK2","US166756AK27","-","100.26","United States","-","USD","0.23","0.29","1.00","Aug 11, 2023","0.40","0.23","-","0.29","0.23","0.29","USD","Aug 12, 2020","Aug 12, 2020"
"TRI-PARTY BOFA SECURITIES INC.","Cash and/or Derivatives","Cash","35,000,000.00","0.66","35,000,000.00","35,000,000.00","-","-","-","100.00","United States","-","USD","0.00","0.39","1.00","-","0.39","0.00","-","0.39","0.00","0.39","USD","Feb 12, 2021","Feb 12, 2021"
"VOLKSWAGEN AMER FIN","Cash and/or Derivatives","Cash","34,868,957.09","0.66","34,868,957.09","35,000,000.00","92866BXR1","-","-","99.63","United States","-","USD","0.69","0.54","1.00","Oct 25, 2021","0.00","0.69","-","0.54","0.69","0.54","USD","Nov 04, 2020","Nov 04, 2020"
"MORGAN STANLEY MTN","Financial Institutions","Fixed Income","32,145,921.79","0.61","32,145,921.79","32,000,000.00","6174468K8","US6174468K89","-","100.40","United States","-","USD","0.00","0.69","1.00","Jan 20, 2023","0.75","0.08","-","0.59","0.09","0.59","USD","Jan 22, 2020","Jan 22, 2020"
