Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FATE","FATE THERAPEUTICS INC","Health Care","Equity","14,678,737.50","5.79","14,678,737.50","147,525.00","31189P102","US31189P1021","BCZS820","99.50","United States","NASDAQ","USD","1.00","USD","-"
"BPMC","BLUEPRINT MEDICINES CORP","Health Care","Equity","11,004,072.00","4.34","11,004,072.00","89,464.00","09627Y109","US09627Y1091","BWY52P3","123.00","United States","NASDAQ","USD","1.00","USD","-"
"6160","BEIGENE LTD","Health Care","Equity","10,921,728.47","4.31","10,921,728.47","534,200.00","-","KYG1146Y1017","BGDY260","20.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","10,570,847.50","4.17","10,570,847.50","62,735.00","-","CH0334081137","BDHF4K6","168.50","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","10,245,206.02","4.04","10,245,206.02","58,534.00","803607100","US8036071004","B8DPDT7","175.03","United States","NASDAQ","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","Health Care","Equity","10,099,645.70","3.98","10,099,645.70","487,670.00","30161Q104","US30161Q1040","2576941","20.71","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","9,907,687.92","3.91","9,907,687.92","60,398.00","90184D100","US90184D1000","BGKG6G7","164.04","United States","NASDAQ","USD","1.00","USD","-"
"SGEN","SEAGEN INC","Health Care","Equity","9,843,672.23","3.88","9,843,672.23","51,643.00","81181C104","US81181C1045","BLPK4D2","190.61","United States","NASDAQ","USD","1.00","USD","-"
"GMAB","GENMAB","Health Care","Equity","9,456,889.97","3.73","9,456,889.97","24,219.00","S45957396","DK0010272202","4595739","390.47","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.11","DKK","-"
"EDIT","EDITAS MEDICINE INC","Health Care","Equity","9,302,318.45","3.67","9,302,318.45","111,365.00","28106W103","US28106W1036","BZ8FPH3","83.53","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK","Health Care","Equity","9,271,013.86","3.65","9,271,013.86","55,788.00","S47418447","DE0006599905","4741844","166.18","Germany","Xetra","USD","0.82","EUR","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","9,189,928.28","3.62","9,189,928.28","18,796.00","75886F107","US75886F1075","2730190","488.93","United States","NASDAQ","USD","1.00","USD","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","8,903,563.64","3.51","8,903,563.64","247,300.00","S68704451","JP3463000004","6870445","36.00","Japan","Tokyo Stock Exchange","USD","103.63","JPY","-"
"SAN","SANOFI SA","Health Care","Equity","8,703,583.26","3.43","8,703,583.26","91,189.00","S56717358","FR0000120578","5671735","95.45","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","8,580,873.99","3.38","8,580,873.99","150,357.00","375558103","US3755581036","2369174","57.07","United States","NASDAQ","USD","1.00","USD","-"
"NVTA","INVITAE CORP","Health Care","Equity","8,562,880.26","3.38","8,562,880.26","181,918.00","46185L103","US46185L1035","BVVCNT1","47.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVT","EVOTEC","Health Care","Equity","8,184,497.38","3.23","8,184,497.38","225,653.00","S58119173","DE0005664809","5811917","36.27","Germany","Xetra","USD","0.82","EUR","-"
"MRNA","MODERNA INC","Health Care","Equity","7,488,168.93","2.95","7,488,168.93","60,687.00","60770K107","US60770K1079","BGSXTS3","123.39","United States","NASDAQ","USD","1.00","USD","-"
"BNTX","BIONTECH SE ADR","Health Care","Equity","7,478,815.68","2.95","7,478,815.68","77,133.00","09075V102","US09075V1026","BK6H543","96.96","Germany","NASDAQ","USD","1.00","USD","-"
"FGEN","FIBROGEN INC","Health Care","Equity","6,097,020.39","2.40","6,097,020.39","150,879.00","31572Q808","US31572Q8087","BSDRYR8","40.41","United States","NASDAQ","USD","1.00","USD","-"
"NSTG","NANOSTRING TECHNOLOGIES INC","Health Care","Equity","5,770,841.04","2.27","5,770,841.04","79,357.00","63009R109","US63009R1095","BBL59X6","72.72","United States","NASDAQ","USD","1.00","USD","-"
"NTLA","INTELLIA THERAPEUTICS INC","Health Care","Equity","5,566,128.36","2.19","5,566,128.36","89,574.00","45826J105","US45826J1051","BYZM6C2","62.14","United States","NASDAQ","USD","1.00","USD","-"
"BLUE","BLUEBIRD BIO INC","Health Care","Equity","5,434,106.04","2.14","5,434,106.04","119,326.00","09609G100","US09609G1004","BBFL7S1","45.54","United States","NASDAQ","USD","1.00","USD","-"
"SWTX","SPRINGWORKS THERAPEUTICS INC","Health Care","Equity","4,597,357.26","1.81","4,597,357.26","61,602.00","85205L107","US85205L1070","BGMGM89","74.63","United States","NASDAQ","USD","1.00","USD","-"
"SGMO","SANGAMO THERAPEUTICS INC","Health Care","Equity","3,760,759.60","1.48","3,760,759.60","211,160.00","800677106","US8006771062","2573083","17.81","United States","NASDAQ","USD","1.00","USD","-"
"ARCT","ARCTURUS THERAPEUTICS HOLDINGS INC","Health Care","Equity","3,364,485.18","1.33","3,364,485.18","34,286.00","03969T109","US03969T1097","BKC9SX3","98.13","United States","NASDAQ","USD","1.00","USD","-"
"ALLO","ALLOGENE THERAPEUTICS INC","Health Care","Equity","3,359,922.87","1.32","3,359,922.87","122,939.00","019770106","US0197701065","BFZNYB7","27.33","United States","NASDAQ","USD","1.00","USD","-"
"INO","INOVIO PHARMACEUTICALS INC","Health Care","Equity","3,081,673.08","1.21","3,081,673.08","300,358.00","45773H201","US45773H2013","BN5H5K1","10.26","United States","NASDAQ","USD","1.00","USD","-"
"LGND","LIGAND PHARMACEUTICALS INC","Health Care","Equity","2,968,233.45","1.17","2,968,233.45","27,989.00","53220K504","US53220K5048","2501578","106.05","United States","NASDAQ","USD","1.00","USD","-"
"VIR","VIR BIOTECHNOLOGY INC","Health Care","Equity","2,530,898.58","1.00","2,530,898.58","85,677.00","92764N102","US92764N1028","BK4PZ38","29.54","United States","NASDAQ","USD","1.00","USD","-"
"MGNX","MACROGENICS INC","Health Care","Equity","2,405,700.00","0.95","2,405,700.00","99,000.00","556099109","US5560991094","BFDV8K0","24.30","United States","NASDAQ","USD","1.00","USD","-"
"BCRX","BIOCRYST PHARMACEUTICALS INC","Health Care","Equity","2,298,419.76","0.91","2,298,419.76","315,717.00","09058V103","US09058V1035","2100362","7.28","United States","NASDAQ","USD","1.00","USD","-"
"CNST","CONSTELLATION PHARMACEUTICALS INC","Health Care","Equity","2,260,262.57","0.89","2,260,262.57","67,531.00","210373106","US2103731061","BDD19S1","33.47","United States","NASDAQ","USD","1.00","USD","-"
"PSNL","PERSONALIS INC","Health Care","Equity","1,777,058.19","0.70","1,777,058.19","42,831.00","71535D106","US71535D1063","BJQ0608","41.49","United States","NASDAQ","USD","1.00","USD","-"
"FPRX","FIVE PRIME THERAPEUTICS INC","Health Care","Equity","1,534,768.68","0.61","1,534,768.68","81,076.00","33830X104","US33830X1046","BDGTXL3","18.93","United States","NASDAQ","USD","1.00","USD","-"
"TCRR","TCR2 THERAPEUTICS INC","Health Care","Equity","1,350,625.64","0.53","1,350,625.64","44,023.00","87808K106","US87808K1060","BJ2JSX6","30.68","United States","NASDAQ","USD","1.00","USD","-"
"VXRT","VAXART INC","Health Care","Equity","1,336,690.56","0.53","1,336,690.56","197,152.00","92243A200","US92243A2006","BYWJD92","6.78","United States","NASDAQ","USD","1.00","USD","-"
"ADAP","ADAPTIMMUNE THERAPEUTICS ADR REPRE","Health Care","Equity","1,286,897.04","0.51","1,286,897.04","246,532.00","00653A107","US00653A1079","BWY4XV3","5.22","United Kingdom","NASDAQ","USD","1.00","USD","-"
"ZIOP","ZIOPHARM ONCOLOGY INC","Health Care","Equity","1,048,006.08","0.41","1,048,006.08","363,891.00","98973P101","US98973P1012","B0HZZ46","2.88","United States","NASDAQ","USD","1.00","USD","-"
"ALGS","ALIGOS THERAPEUTICS INC","Health Care","Equity","1,022,328.60","0.40","1,022,328.60","35,436.00","01626L105","US01626L1052","BNGFS94","28.85","United States","NASDAQ","USD","1.00","USD","-"
"VLA","VALNEVA","Health Care","Equity","1,008,429.88","0.40","1,008,429.88","108,055.00","-","FR0004056851","B03KGM0","9.33","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"NK","NANTKWEST INC","Health Care","Equity","1,001,553.58","0.39","1,001,553.58","62,558.00","63016Q102","US63016Q1022","BYRH5B7","16.01","United States","NASDAQ","USD","1.00","USD","-"
"AGEN","AGENUS INC","Health Care","Equity","967,526.34","0.38","967,526.34","285,406.00","00847G705","US00847G7051","B58J3K4","3.39","United States","NASDAQ","USD","1.00","USD","-"
"ISEE","IVERIC BIO INC","Health Care","Equity","967,301.00","0.38","967,301.00","139,180.00","46583P102","US46583P1021","BK8Y8K9","6.95","United States","NASDAQ","USD","1.00","USD","-"
"SYRS","SYROS PHARMACEUTICALS INC","Health Care","Equity","942,243.96","0.37","942,243.96","72,037.00","87184Q107","US87184Q1076","BYMX5N2","13.08","United States","NASDAQ","USD","1.00","USD","-"
"DTIL","PRECISION BIOSCIENCES INC","Health Care","Equity","740,146.00","0.29","740,146.00","79,160.00","74019P108","US74019P1084","BJ0M2S0","9.35","United States","NASDAQ","USD","1.00","USD","-"
