Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,565,840.40","5.14","13,565,840.40","15,960.00","88160R101","US88160R1014","B616C79","849.99","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","10,827,177.93","4.10","10,827,177.93","184,167.00","458140100","US4581401001","2463247","58.79","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","10,734,324.01","4.06","10,734,324.01","5,227.00","02079K305","US02079K3059","BYVY8G0","2,053.63","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","10,728,785.10","4.06","10,728,785.10","78,090.00","037833100","US0378331005","2046251","137.39","United States","NASDAQ","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","10,647,545.60","4.03","10,647,545.60","144,342.00","S67717207","KR7005930003","6771720","73.77","Korea (South)","Korea Exchange (Stock Market)","USD","1,118.40","KRW","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","10,068,594.19","3.81","10,068,594.19","136,800.00","S69006435","JP3633400001","6900643","73.60","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","9,595,582.92","3.63","9,595,582.92","17,556.00","67066G104","US67066G1040","2379504","546.57","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","9,071,105.40","3.43","9,071,105.40","167,580.00","37045V100","US37045V1008","B665KZ5","54.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","8,940,347.40","3.39","8,940,347.40","60,420.00","747525103","US7475251036","2714923","147.97","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","8,922,260.16","3.38","8,922,260.16","101,574.00","007903107","US0079031078","2007849","87.84","United States","NASDAQ","USD","1.00","USD","-"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","8,818,988.55","3.34","8,818,988.55","111,720.00","S55290274","DE0007100000","5529027","78.94","Germany","Xetra","USD","0.83","EUR","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","7,817,299.20","2.96","7,817,299.20","135,717.00","62914V106","US62914V1061","BFZX9H8","57.60","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","7,103,945.34","2.69","7,103,945.34","92,283.00","26614N102","US26614N1028","BK0VN47","76.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","6,966,667.68","2.64","6,966,667.68","46,284.00","032654105","US0326541051","2032067","150.52","United States","NASDAQ","USD","1.00","USD","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","6,576,911.40","2.49","6,576,911.40","163,362.00","S58895053","DE0006231004","5889505","40.26","Germany","Xetra","USD","0.83","EUR","-"
"ABBN","ABB LTD","Industrials","Equity","6,521,474.60","2.47","6,521,474.60","225,777.00","S71088991","CH0012221716","7108899","28.88","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","6,319,359.15","2.39","6,319,359.15","34,827.00","-","NL0009538784","B505PN7","181.45","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","6,039,415.62","2.29","6,039,415.62","50,103.00","-","IE00B8KQN827","B8KQN82","120.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","5,615,699.85","2.13","5,615,699.85","493,905.00","345370860","US3453708600","2615468","11.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"051910","LG CHEM LTD","Materials","Equity","5,147,532.19","1.95","5,147,532.19","5,757.00","S63469134","KR7051910008","6346913","894.13","Korea (South)","Korea Exchange (Stock Market)","USD","1,118.40","KRW","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","5,034,945.93","1.91","5,034,945.93","182,400.00","S64351455","JP3854600008","6435145","27.60","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","4,764,299.40","1.80","4,764,299.40","33,516.00","G6095L109","JE00B783TY65","B783TY6","142.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","4,575,168.14","1.73","4,575,168.14","23,199.00","S54971684","DE0007664039","5497168","197.21","Germany","Xetra","USD","0.83","EUR","Jan 02, 1990"
"VOLV B","VOLVO CLASS B","Industrials","Equity","4,532,057.99","1.72","4,532,057.99","178,156.00","928856301","SE0000115446","B1QH830","25.44","Sweden","Nasdaq Omx Nordic","USD","8.46","SEK","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","4,312,749.46","1.63","4,312,749.46","6,457.00","S67716456","KR7006400006","6771645","667.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,118.40","KRW","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","3,862,815.18","1.46","3,862,815.18","17,385.00","S64510555","KR7005380001","6451055","222.19","Korea (South)","Korea Exchange (Stock Market)","USD","1,118.40","KRW","-"
"BMW","BMW AG","Consumer Discretionary","Equity","3,483,868.49","1.32","3,483,868.49","41,097.00","D12096109","DE0005190003","5756029","84.77","Germany","Xetra","USD","0.83","EUR","-"
"6902","DENSO CORP","Consumer Discretionary","Equity","3,264,766.65","1.24","3,264,766.65","51,300.00","S66403817","JP3551500006","6640381","63.64","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"STM","STMICROELECTRONICS NV","Information Technology","Equity","3,201,641.61","1.21","3,201,641.61","79,572.00","S59623322","NL0000226223","5962332","40.24","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"RACE","FERRARI NV","Consumer Discretionary","Equity","3,156,640.62","1.20","3,156,640.62","15,561.00","-","NL0011585146","BD6G507","202.86","Italy","Borsa Italiana","USD","0.83","EUR","-"
"HEXA B","HEXAGON B","Information Technology","Equity","3,066,992.22","1.16","3,066,992.22","34,770.00","-","SE0000103699","B1XFTL2","88.21","Sweden","Nasdaq Omx Nordic","USD","8.46","SEK","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","2,812,318.61","1.06","2,812,318.61","85,500.00","S65366510","CNE100000296","6536651","32.89","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","2,688,379.75","1.02","2,688,379.75","35,397.00","559222401","CA5592224011","2554475","75.95","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","2,572,644.85","0.97","2,572,644.85","8,037.00","S64495443","KR7012330007","6449544","320.10","Korea (South)","Korea Exchange (Stock Market)","USD","1,118.40","KRW","-"
"YNDX","YANDEX NV CLASS A","Communication","Equity","2,481,844.12","0.94","2,481,844.12","37,335.00","-","NL0009805522","B5BSZB3","66.47","Russian Federation","NASDAQ","USD","1.00","USD","-"
"XPEV","XPENG ADR INC","Consumer Discretionary","Equity","2,444,378.31","0.93","2,444,378.31","50,787.00","98422D105","US98422D1054","BMXR2T4","48.13","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QRVO","QORVO INC","Information Technology","Equity","2,360,907.51","0.89","2,360,907.51","14,079.00","74736K101","US74736K1016","BR9YYP4","167.69","United States","NASDAQ","USD","1.00","USD","-"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","2,341,473.89","0.89","2,341,473.89","228,000.00","S62607346","TW0002308004","6260734","10.27","Taiwan","Taiwan Stock Exchange","USD","27.95","TWD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","2,304,654.21","0.87","2,304,654.21","19,323.00","-","CH0114405324","B3Z5T14","119.27","United States","NASDAQ","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","2,074,885.50","0.79","2,074,885.50","13,395.00","012653101","US0126531013","2046853","154.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","2,053,826.66","0.78","2,053,826.66","13,794.00","S45985892","DE0005439004","4598589","148.89","Germany","Xetra","USD","0.83","EUR","-"
