Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEE","NEXTERA ENERGY INC","Utilities","Equity","131,481,234.42","16.70","131,481,234.42","1,581,634.00","65339F101","US65339F1012","2328915","83.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","53,368,169.76","6.78","53,368,169.76","594,168.00","26441C204","US26441C2044","B7VD3F2","89.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","51,249,974.50","6.51","51,249,974.50","852,745.00","842587107","US8425871071","2829601","60.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","47,336,672.41","6.01","47,336,672.41","658,643.00","25746U109","US25746U1097","2542049","71.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","33,245,271.36","4.22","33,245,271.36","787,616.00","30161N101","US30161N1019","2670519","42.21","United States","NASDAQ","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","31,503,271.94","4.00","31,503,271.94","400,754.00","025537101","US0255371017","2026242","78.61","United States","NASDAQ","USD","1.00","USD","-"
"SRE","SEMPRA ENERGY","Utilities","Equity","28,995,054.00","3.68","28,995,054.00","232,892.00","816851109","US8168511090","2138158","124.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","26,106,621.88","3.32","26,106,621.88","424,222.00","98389B100","US98389B1008","2614807","61.54","United States","NASDAQ","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","23,796,885.30","3.02","23,796,885.30","408,390.00","744573106","US7445731067","2707677","58.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","23,662,846.43","3.01","23,662,846.43","146,347.00","030420103","US0304201033","B2R3PV1","161.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","23,572,841.58","2.99","23,572,841.58","276,774.00","30040W108","US30040W1080","BVVN4Q8","85.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","21,149,679.10","2.69","21,149,679.10","254,662.00","92939U106","US92939U1060","BYY8XK8","83.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","19,627,056.24","2.49","19,627,056.24","276,204.00","209115104","US2091151041","2216850","71.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","18,899,051.92","2.40","18,899,051.92","156,268.00","233331107","US2333311072","2280220","120.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","17,696,601.08","2.25","17,696,601.08","305,588.00","281020107","US2810201077","2829515","57.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","17,385,891.03","2.21","17,385,891.03","620,703.00","69351T106","US69351T1060","2680905","28.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","15,339,442.95","1.95","15,339,442.95","161,655.00","29364G103","US29364G1031","2317087","94.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AES","AES CORP","Utilities","Equity","15,320,182.05","1.95","15,320,182.05","536,985.00","00130H105","US00130H1059","2002479","28.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","14,625,149.12","1.86","14,625,149.12","199,579.00","023608102","US0236081024","2050832","73.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","14,179,611.60","1.80","14,179,611.60","1,201,662.00","69331C108","US69331C1080","2689560","11.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","13,684,775.72","1.74","13,684,775.72","438,053.00","337932107","US3379321074","2100920","31.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","13,033,251.84","1.66","13,033,251.84","231,168.00","125896100","US1258961002","2219224","56.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVRG","EVERGY INC","Utilities","Equity","9,967,765.90","1.27","9,967,765.90","183,130.00","30034W106","US30034W1062","BFMXGR0","54.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNT","ALLIANT ENERGY CORP","Utilities","Equity","9,737,243.89","1.24","9,737,243.89","201,641.00","018802108","US0188021085","2973821","48.29","United States","NASDAQ","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","9,404,099.90","1.19","9,404,099.90","439,855.00","15189T107","US15189T1079","2440637","21.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","9,253,957.80","1.18","9,253,957.80","101,636.00","049560105","US0495601058","2315359","91.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","8,486,110.72","1.08","8,486,110.72","197,168.00","629377508","US6293775085","2212922","43.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","8,423,110.35","1.07","8,423,110.35","394,895.00","92840M102","US92840M1027","BZ8VJQ8","21.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTRG","ESSENTIAL UTILITIES INC","Utilities","Equity","8,407,992.02","1.07","8,407,992.02","180,197.00","29670G102","US29670G1022","BLCF3J9","46.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NI","NISOURCE INC","Utilities","Equity","6,970,376.46","0.89","6,970,376.46","309,382.00","65473P105","US65473P1057","2645409","22.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNW","PINNACLE WEST CORP","Utilities","Equity","6,925,975.76","0.88","6,925,975.76","90,904.00","723484101","US7234841010","2048804","76.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UGI","UGI CORP","Utilities","Equity","6,542,182.08","0.83","6,542,182.08","168,266.00","902681105","US9026811052","2910118","38.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDU","MDU RESOURCES GROUP INC","Utilities","Equity","4,499,478.90","0.57","4,499,478.90","161,910.00","552690109","US5526901096","2547323","27.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDA","IDACORP INC","Utilities","Equity","3,525,764.85","0.45","3,525,764.85","40,765.00","451107106","US4511071064","2296937","86.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFG","NATIONAL FUEL GAS","Utilities","Equity","3,226,930.44","0.41","3,226,930.44","73,356.00","636180101","US6361801011","2626103","43.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNM","PNM RESOURCES INC","Utilities","Equity","3,125,368.80","0.40","3,125,368.80","64,308.00","69349H107","US69349H1077","2707826","48.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","3,121,607.58","0.40","3,121,607.58","50,659.00","092113109","US0921131092","2101741","61.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","3,117,165.27","0.40","3,117,165.27","42,883.00","68235P108","US68235P1084","BJ0KXV4","72.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HE","HAWAIIAN ELECTRIC INDUSTRIES INC","Utilities","Equity","3,057,234.88","0.39","3,057,234.88","88,054.00","419870100","US4198701009","2415204","34.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","3,042,356.50","0.39","3,042,356.50","72,265.00","736508847","US7365088472","B125XQ6","42.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","2,843,762.72","0.36","2,843,762.72","77,656.00","646025106","US6460251068","2630513","36.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","2,838,738.96","0.36","2,838,738.96","45,912.00","844895102","US8448951025","2831888","61.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALE","ALLETE INC","Utilities","Equity","2,739,297.12","0.35","2,739,297.12","41,988.00","018522300","US0185223007","B02R1L6","65.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","2,668,124.73","0.34","2,668,124.73","41,709.00","84857L101","US84857L1017","BYXJQG9","63.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","2,446,374.72","0.31","2,446,374.72","2,446,375.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"NWE","NORTHWESTERN CORP","Utilities","Equity","2,304,783.84","0.29","2,304,783.84","40,836.00","668074305","US6680743050","B03PGL4","56.44","United States","NASDAQ","USD","1.00","USD","-"
"AVA","AVISTA CORP","Utilities","Equity","2,147,996.25","0.27","2,147,996.25","55,375.00","05379B107","US05379B1070","2942605","38.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGR","AVANGRID INC","Utilities","Equity","2,113,778.59","0.27","2,113,778.59","44,869.00","05351W103","US05351W1036","BYP0CD9","47.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,012,000.00","0.13","1,012,000.00","1,012,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","228,000.00","0.03","228,000.00","228,000.00","-","-","-","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"IXSH1","E-MINI UTILITIES SELECT SECTOR MAR","Cash and/or Derivatives","Futures","0.00","0.00","3,593,850.00","57.00","-","-","-","630.50","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
