Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RIO","RIO TINTO PLC","Materials","Equity","391,837,798.38","10.04","391,837,798.38","4,818,893.00","S07188758","GB0007188757","0718875","81.31","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","159,969,839.56","4.10","159,969,839.56","4,241,089.00","S02875805","GB0002875804","0287580","37.72","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","154,245,127.92","3.95","154,245,127.92","2,328,044.00","S62150354","AU000000CBA7","6215035","66.26","Australia","Asx - All Markets","USD","1.29","AUD","-"
"11","HANG SENG BANK LTD","Financials","Equity","108,555,827.18","2.78","108,555,827.18","5,743,900.00","S64083744","HK0011000095","6408374","18.90","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","100,740,505.51","2.58","100,740,505.51","3,000,745.00","-","ES0167050915","B01FLQ6","33.57","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","98,476,461.68","2.52","98,476,461.68","5,099,026.00","S60862539","AU000000FMG4","6086253","19.31","Australia","Asx - All Markets","USD","1.29","AUD","-"
"SSE","SSE PLC","Utilities","Equity","96,478,508.84","2.47","96,478,508.84","4,659,521.00","S07908734","GB0007908733","0790873","20.71","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"NTGY","NATURGY ENERGY SA","Utilities","Equity","93,978,777.57","2.41","93,978,777.57","3,971,533.00","S56504228","ES0116870314","5650422","23.66","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"FP","TOTAL","Energy","Equity","89,068,367.45","2.28","89,068,367.45","2,009,713.00","-","FR0000120271","B15C557","44.32","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"ENI","ENI","Energy","Equity","85,062,245.14","2.18","85,062,245.14","8,076,511.00","S71450563","IT0003132476","7145056","10.53","Italy","Borsa Italiana","USD","0.82","EUR","-"
"1","CK HUTCHISON HOLDINGS LTD","Industrials","Equity","84,967,100.34","2.18","84,967,100.34","11,444,500.00","-","KYG217651051","BW9P816","7.42","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SCMN","SWISSCOM AG","Communication","Equity","84,655,130.61","2.17","84,655,130.61","159,595.00","S55339766","CH0008742519","5533976","530.44","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"UPM","UPM-KYMMENE","Materials","Equity","72,536,688.73","1.86","72,536,688.73","1,903,045.00","S50512524","FI0009005987","5051252","38.12","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"SPK","SPARK NEW ZEALAND LTD","Communication","Equity","71,333,454.24","1.83","71,333,454.24","20,539,227.00","S68814367","NZTELE0001S4","6881436","3.47","New Zealand","New Zealand Exchange Ltd","USD","1.39","NZD","-"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","70,790,307.93","1.81","70,790,307.93","799,869.00","136069101","CA1360691010","2170525","88.50","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"5019","IDEMITSU KOSAN LTD","Energy","Equity","69,450,535.87","1.78","69,450,535.87","2,900,400.00","-","JP3142500002","B1FF8P7","23.95","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"FORTUM","FORTUM","Utilities","Equity","63,554,515.26","1.63","63,554,515.26","2,455,685.00","S55795504","FI0009007132","5579550","25.88","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"REE","RED ELECTRICA SA","Utilities","Equity","60,970,877.22","1.56","60,970,877.22","3,171,917.00","-","ES0173093024","BD6FXN3","19.22","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"AGS","AGEAS SA","Financials","Equity","60,323,855.56","1.55","60,323,855.56","1,111,422.00","-","BE0974264930","B86S2N0","54.28","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","57,174,687.39","1.46","57,174,687.39","3,052,044.00","S09252883","GB0009252882","0925288","18.73","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BMO","BANK OF MONTREAL","Financials","Equity","56,794,771.47","1.45","56,794,771.47","729,888.00","063671101","CA0636711016","2076009","77.81","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"TELIA","TELIA COMPANY","Communication","Equity","56,425,158.18","1.45","56,425,158.18","12,903,383.00","S59783845","SE0000667925","5978384","4.37","Sweden","Nasdaq Omx Nordic","USD","8.29","SEK","-"
"ENG","ENAGAS SA","Utilities","Equity","54,490,915.16","1.40","54,490,915.16","2,488,715.00","S73830721","ES0130960018","7383072","21.90","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"G","ASSICURAZIONI GENERALI","Financials","Equity","53,577,207.87","1.37","53,577,207.87","3,008,847.00","S40567190","IT0000062072","4056719","17.81","Italy","Borsa Italiana","USD","0.82","EUR","-"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","51,951,183.02","1.33","51,951,183.02","8,033,900.00","S41035965","PTEDP0AM0009","4103596","6.47","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.82","EUR","-"
"EMA","EMERA INC","Utilities","Equity","50,408,184.09","1.29","50,408,184.09","1,201,192.00","290876101","CA2908761018","2650050","41.97","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"12","HENDERSON LAND DEVELOPMENT LTD","Real Estate","Equity","49,719,051.55","1.27","49,719,051.55","11,786,000.00","S64205388","HK0012000102","6420538","4.22","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","47,271,371.36","1.21","47,271,371.36","2,396,944.00","-","GB00B03MLX29","B03MLX2","19.72","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","46,069,987.02","1.18","46,069,987.02","109,316.00","S59838169","CH0011075394","5983816","421.44","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","45,838,372.12","1.17","45,838,372.12","1,412,100.00","S65630246","JP3890350006","6563024","32.46","Japan","Tokyo Stock Exchange","USD","103.57","JPY","-"
"1038","CHEUNG KONG INFRASTRUCTURE HOLDING","Utilities","Equity","45,549,047.94","1.17","45,549,047.94","8,024,500.00","-","BMG2178K1009","BYVS6J1","5.68","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","45,304,009.51","1.16","45,304,009.51","817,000.00","064149107","CA0641491075","2076281","55.45","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"EWY","ISHARES MSCI SOUTH KOREA ETF","Financials","Equity","43,218,000.00","1.11","43,218,000.00","450,000.00","464286772","US4642867729","2592561","96.04","United States","NYSE Arca","USD","1.00","USD","-"
"ENEL","ENEL","Utilities","Equity","39,699,860.03","1.02","39,699,860.03","3,862,565.00","S71445696","IT0003128367","7144569","10.28","Italy","Borsa Italiana","USD","0.82","EUR","-"
"NG.","NATIONAL GRID PLC","Utilities","Equity","39,496,104.75","1.01","39,496,104.75","3,312,001.00","-","GB00BDR05C01","BDR05C0","11.93","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SAMPO","SAMPO","Financials","Equity","39,366,217.93","1.01","39,366,217.93","906,008.00","S52260387","FI0009003305","5226038","43.45","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","37,113,176.78","0.95","37,113,176.78","2,918,674.00","-","GB00B39J2M42","B39J2M4","12.72","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","35,038,752.83","0.90","35,038,752.83","1,752,600.00","S61752036","SG1L01001701","6175203","19.99","Singapore","Singapore Exchange","USD","1.32","SGD","Jan 01, 1998"
"PROX","PROXIMUS NV","Communication","Equity","34,601,936.83","0.89","34,601,936.83","1,647,067.00","-","BE0003810273","B00D9P6","21.01","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"19","SWIRE PACIFIC LTD A","Real Estate","Equity","32,495,710.56","0.83","32,495,710.56","4,915,000.00","S68677483","HK0019000162","6867748","6.61","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"TEF","TELEFONICA SA","Communication","Equity","29,871,513.43","0.77","29,871,513.43","6,689,686.00","879382109","ES0178430E18","5732524","4.47","Spain","Bolsa De Madrid","USD","0.82","EUR","-"
"BP.","BP PLC","Energy","Equity","26,874,393.62","0.69","26,874,393.62","6,674,344.00","S07980592","GB0007980591","0798059","4.03","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"KB","KB FINANCIAL GROUP ADR REP INC","Financials","Equity","26,790,422.40","0.69","26,790,422.40","656,628.00","48241A105","US48241A1051","B3DG2Y3","40.80","Korea (South)","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IG","ITALGAS","Utilities","Equity","26,055,897.30","0.67","26,055,897.30","4,333,933.00","-","IT0005211237","BD2Z8S7","6.01","Italy","Borsa Italiana","USD","0.82","EUR","-"
