Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","4,226,625.60","17.27","4,226,625.60","1,328.00","023135106","US0231351067","2000019","3,182.70","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","1,691,768.83","6.91","1,691,768.83","6,287.00","437076102","US4370761029","2434209","269.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","1,498,558.60","6.12","1,498,558.60","10,220.00","931142103","US9311421039","2936921","146.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,279,036.30","5.23","1,279,036.30","9,686.00","037833100","US0378331005","2046251","132.05","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","1,148,293.76","4.69","1,148,293.76","3,104.00","22160K105","US22160K1051","2701271","369.94","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,068,208.65","4.37","1,068,208.65","7,299.00","654106103","US6541061031","2640147","146.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","763,945.60","3.12","763,945.60","3,946.00","87612E106","US87612E1064","2259101","193.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","758,487.35","3.10","758,487.35","5,465.00","742718109","US7427181091","2704407","138.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","672,435.05","2.75","672,435.05","3,115.00","580135101","US5801351017","2550707","215.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","643,695.00","2.63","643,695.00","3,900.00","548661107","US5486611073","2536763","165.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","616,110.28","2.52","616,110.28","8,774.00","872540109","US8725401090","2989301","70.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","466,955.73","1.91","466,955.73","4,419.00","855244109","US8552441094","2842255","105.67","United States","NASDAQ","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Discretionary","Equity","403,996.32","1.65","403,996.32","1,872.00","256677105","US2566771059","B5B1S13","215.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","345,685.84","1.41","345,685.84","2,824.00","778296103","US7782961038","2746711","122.41","United States","NASDAQ","USD","1.00","USD","-"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","341,705.10","1.40","341,705.10","935.00","550021109","US5500211090","B23FN39","365.46","United States","NASDAQ","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","279,241.83","1.14","279,241.83","1,071.00","518439104","US5184391044","2320524","260.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","276,066.34","1.13","276,066.34","121.00","09857L108","US09857L1089","BDRXDB4","2,281.54","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","275,000.00","1.12","275,000.00","275,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","249,255.00","1.02","249,255.00","145.00","58733R102","US58733R1023","B23X1H3","1,719.00","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","228,923.68","0.94","228,923.68","479.00","67103H107","US67103H1077","B65LWX6","477.92","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"DLTR","DOLLAR TREE INC","Consumer Discretionary","Equity","206,170.25","0.84","206,170.25","1,825.00","256746108","US2567461080","2272476","112.97","United States","NASDAQ","USD","1.00","USD","-"
"VFC","VF CORP","Consumer Discretionary","Equity","202,494.25","0.83","202,494.25","2,305.00","918204108","US9182041080","2928683","87.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","190,191.25","0.78","190,191.25","1,775.00","988498101","US9884981013","2098876","107.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","169,695.24","0.69","169,695.24","121.00","169656105","US1696561059","B0X7DZ3","1,402.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","167,797.15","0.69","167,797.15","5,305.00","501044101","US5010441013","2497406","31.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","165,385.44","0.68","165,385.44","132.00","053332102","US0533321024","2065955","1,252.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","151,832.80","0.62","151,832.80","1,330.00","43300A203","US43300A2033","BYVMW06","114.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","146,253.60","0.60","146,253.60","2,745.00","90353T100","US90353T1007","BK6N347","53.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BURL","BURLINGTON STORES INC","Consumer Discretionary","Equity","143,878.71","0.59","143,878.71","543.00","122017106","US1220171060","BF311Y5","264.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBY","BEST BUY INC","Consumer Discretionary","Equity","136,936.61","0.56","136,936.61","1,273.00","086516101","US0865161014","2094670","107.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","135,065.34","0.55","135,065.34","459.00","90384S303","US90384S3031","B28TS42","294.26","United States","NASDAQ","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","132,781.77","0.54","132,781.77","2,937.00","931427108","US9314271084","BTN1Y44","45.21","United States","NASDAQ","USD","1.00","USD","-"
"PINS","PINTEREST INC CLASS A","Communication","Equity","127,425.51","0.52","127,425.51","1,773.00","72352L106","US72352L1061","BJ2Z0H2","71.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","123,479.37","0.50","123,479.37","827.00","892356106","US8923561067","2900335","149.31","United States","NASDAQ","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","123,459.84","0.50","123,459.84","504.00","31428X106","US31428X1063","2142784","244.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","123,092.72","0.50","123,092.72","2,056.00","98850P109","US98850P1093","BYW4289","59.87","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","111,403.71","0.46","111,403.71","859.00","571903202","US5719032022","2210614","129.69","United States","NASDAQ","USD","1.00","USD","-"
"DRI","DARDEN RESTAURANTS INC","Consumer Discretionary","Equity","99,977.40","0.41","99,977.40","804.00","237194105","US2371941053","2289874","124.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DPZ","DOMINOS PIZZA INC","Consumer Discretionary","Equity","97,207.50","0.40","97,207.50","250.00","25754A201","US25754A2015","B01SD70","388.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","97,167.95","0.40","97,167.95","451.00","92826C839","US92826C8394","B2PZN04","215.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"W","WAYFAIR INC CLASS A","Consumer Discretionary","Equity","96,375.74","0.39","96,375.74","373.00","94419L101","US94419L1017","BQXZP64","258.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","92,134.80","0.38","92,134.80","380.00","70450Y103","US70450Y1038","BYW36M8","242.46","United States","NASDAQ","USD","1.00","USD","-"
"LB","L BRANDS INC","Consumer Discretionary","Equity","88,030.25","0.36","88,030.25","1,883.00","501797104","US5017971046","B9M2WX3","46.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVE","FIVE BELOW INC","Consumer Discretionary","Equity","85,550.40","0.35","85,550.40","468.00","33829M101","US33829M1018","B85KFY9","182.80","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","80,466.96","0.33","80,466.96","1,477.00","278642103","US2786421030","2293819","54.48","United States","NASDAQ","USD","1.00","USD","-"
"LVS","LAS VEGAS SANDS CORP","Consumer Discretionary","Equity","78,655.36","0.32","78,655.36","1,358.00","517834107","US5178341070","B02T2J7","57.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","75,990.60","0.31","75,990.60","2,220.00","876030107","US8760301072","BF09HX3","34.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","75,632.40","0.31","75,632.40","216.00","172908105","US1729081059","2197137","350.15","United States","NASDAQ","USD","1.00","USD","-"
"KMX","CARMAX INC","Consumer Discretionary","Equity","73,818.30","0.30","73,818.30","723.00","143130102","US1431301027","2983563","102.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
