Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","1,434,620,186.19","1.64","1,434,620,186.19","12,947,950.00","S71238703","CH0038863350","7123870","110.80","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","1,167,250,482.68","1.34","1,167,250,482.68","1,914,194.00","-","NL0010273215","B929F46","609.79","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","1,020,395,164.91","1.17","1,020,395,164.91","3,158,470.00","S71103881","CH0012032048","7110388","323.07","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","868,458,882.77","0.99","868,458,882.77","9,969,034.00","S71030654","CH0012005267","7103065","87.12","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","814,639,569.39","0.93","814,639,569.39","1,244,455.00","S40614125","FR0000121014","4061412","654.62","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","727,113,972.66","0.83","727,113,972.66","9,529,725.00","S69006435","JP3633400001","6900643","76.30","Japan","Tokyo Stock Exchange","USD","109.56","JPY","-"
"1299","AIA GROUP LTD","Financials","Equity","668,432,047.83","0.76","668,432,047.83","54,233,400.00","-","HK0000069689","B4TX8S1","12.33","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","659,768,270.40","0.75","659,768,270.40","11,829,565.00","-","GB00B10RZP78","B10RZP7","55.77","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","594,147,887.36","0.68","594,147,887.36","7,046,100.00","S67706200","JP3436100006","6770620","84.32","Japan","Tokyo Stock Exchange","USD","109.56","JPY","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","592,055,330.26","0.68","592,055,330.26","5,904,140.00","S09895293","GB0009895292","0989529","100.28","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"6758","SONY CORP","Consumer Discretionary","Equity","590,845,735.02","0.68","590,845,735.02","5,660,700.00","S68215060","JP3435000009","6821506","104.38","Japan","Tokyo Stock Exchange","USD","109.56","JPY","-"
"SAP","SAP","Information Technology","Equity","569,618,990.04","0.65","569,618,990.04","4,693,339.00","S48462881","DE0007164600","4846288","121.37","Germany","Xetra","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","555,008,640.42","0.63","555,008,640.42","3,424,559.00","S57279739","DE0007236101","5727973","162.07","Germany","Xetra","USD","0.85","EUR","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","532,779,923.35","0.61","532,779,923.35","91,391,141.00","S05405287","GB0005405286","0540528","5.83","United Kingdom","London Stock Exchange","USD","0.73","GBP","Jan 01, 1998"
