Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JPM","JPMORGAN CHASE & CO","Financials","Equity","243,497.80","4.63","243,497.80","1,820.00","46625H100","US46625H1005","2190385","133.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","242,808.80","4.62","242,808.80","7,696.00","060505104","US0605051046","2295677","31.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","215,771.60","4.11","215,771.60","6,764.00","949746101","US9497461015","2649100","31.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","160,623.27","3.06","160,623.27","2,619.00","172967424","US1729674242","2297907","61.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","155,450.61","2.96","155,450.61","2,097.00","617446448","US6174464486","2262314","74.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","151,061.58","2.87","151,061.58","522.00","38141G104","US38141G1040","2407966","289.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","136,491.12","2.60","136,491.12","586.00","084670702","US0846707026","2073390","232.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","121,501.32","2.31","121,501.32","2,374.00","89832Q109","US89832Q1094","BKP7287","51.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","117,909.60","2.24","117,909.60","2,019.00","808513105","US8085131055","2779397","58.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","110,293.30","2.10","110,293.30","2,405.00","902973304","US9029733048","2736035","45.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","102,047.26","1.94","102,047.26","809.00","025816109","US0258161092","2026082","126.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","89,633.01","1.71","89,633.01","971.00","743315103","US7433151039","2705024","92.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","78,893.85","1.50","78,893.85","227.00","91324P102","US91324P1021","2917766","347.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","75,107.42","1.43","75,107.42","713.00","14040H105","US14040H1059","2654461","105.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","65,350.72","1.24","65,350.72","586.00","571748102","US5717481023","2567741","111.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","65,049.94","1.24","65,049.94","1,279.00","59156R108","US59156R1086","2573209","50.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","64,023.68","1.22","64,023.68","496.00","31620M106","US31620M1062","2769796","129.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","63,732.08","1.21","63,732.08","437.00","89417E109","US89417E1091","2769503","145.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","61,440.50","1.17","61,440.50","275.00","125523100","US1255231003","BHJ0775","223.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","61,122.00","1.16","61,122.00","1,525.00","026874784","US0268747849","2027342","40.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","58,660.20","1.12","58,660.20","710.00","744320102","US7443201022","2819118","82.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","52,564.68","1.00","52,564.68","476.00","020002101","US0200021014","2019952","110.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
