Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DIS","WALT DISNEY","Communication","Equity","1,093,757.45","5.47","1,093,757.45","5,917.00","254687106","US2546871060","2270726","184.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VIAC","VIACOMCBS INC CLASS B","Communication","Equity","1,072,003.17","5.37","1,072,003.17","23,817.00","92556H206","US92556H2067","BKTNTR9","45.01","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","969,467.54","4.85","969,467.54","17,566.00","20030N101","US20030N1019","2044545","55.19","United States","NASDAQ","USD","1.00","USD","-"
"FOXA","FOX CORP CLASS A","Communication","Equity","946,870.59","4.74","946,870.59","25,433.00","35137L105","US35137L1052","BJJMGL2","37.23","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","814,025.16","4.07","814,025.16","8,658.00","00507V109","US00507V1098","2575818","94.02","United States","NASDAQ","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","797,123.36","3.99","797,123.36","1,252.00","16119P108","US16119P1084","BZ6VT82","636.68","United States","NASDAQ","USD","1.00","USD","-"
"ROKU","ROKU INC CLASS A","Communication","Equity","773,331.09","3.87","773,331.09","2,571.00","77543R102","US77543R1023","BZ1LFG7","300.79","United States","NASDAQ","USD","1.00","USD","-"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Communication","Equity","771,951.50","3.86","771,951.50","5,029.00","530307305","US5303073051","BRTLC06","153.50","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","764,243.65","3.83","764,243.65","1,487.00","64110L106","US64110L1061","2857817","513.95","United States","NASDAQ","USD","1.00","USD","-"
"TWTR","TWITTER INC","Communication","Equity","720,096.54","3.60","720,096.54","11,441.00","90184L102","US90184L1026","BFLR866","62.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DISCK","DISCOVERY INC SERIES C","Communication","Equity","695,270.64","3.48","695,270.64","19,797.00","25470F302","US25470F3029","B3D7KG4","35.12","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","678,359.22","3.40","678,359.22","5,026.00","285512109","US2855121099","2310194","134.97","United States","NASDAQ","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","471,575.75","2.36","471,575.75","2,675.00","874054109","US8740541094","2122117","176.29","United States","NASDAQ","USD","1.00","USD","-"
"NXST","NEXSTAR MEDIA GROUP INC CLASS A","Communication","Equity","465,726.88","2.33","465,726.88","3,352.00","65336K103","US65336K1034","2949758","138.94","United States","NASDAQ","USD","1.00","USD","-"
"HAS","HASBRO INC","Consumer Discretionary","Equity","441,333.20","2.21","441,333.20","4,508.00","418056107","US4180561072","2414580","97.90","United States","NASDAQ","USD","1.00","USD","-"
"FOX","FOX CORP CLASS B","Communication","Equity","439,726.32","2.20","439,726.32","12,276.00","35137L204","US35137L2043","BJJMGY5","35.82","United States","NASDAQ","USD","1.00","USD","-"
"NWSA","NEWS CORP CLASS A","Communication","Equity","401,956.77","2.01","401,956.77","16,059.00","65249B109","US65249B1098","BBGVT40","25.03","United States","NASDAQ","USD","1.00","USD","-"
"ATUS","ALTICE USA INC CLASS A","Communication","Equity","384,338.45","1.92","384,338.45","11,629.00","02156K103","US02156K1034","BDRY7P9","33.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DISCA","DISCOVERY INC SERIES A","Communication","Equity","367,318.07","1.84","367,318.07","8,909.00","25470F104","US25470F1049","B3D7K31","41.23","United States","NASDAQ","USD","1.00","USD","-"
"DISH","DISH NETWORK CORP CLASS A","Communication","Equity","359,335.90","1.80","359,335.90","10,145.00","25470M109","US25470M1099","2303581","35.42","United States","NASDAQ","USD","1.00","USD","-"
"IAC","IAC INTERACTIVE","Communication","Equity","322,892.85","1.62","322,892.85","1,561.00","44891N109","US44891N1090","BMGTSK0","206.85","United States","NASDAQ","USD","1.00","USD","-"
