Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"700","TENCENT HOLDINGS LTD","Communication","Equity","4,640,163,694.41","5.86","4,640,163,694.41","47,269,000.00","-","KYG875721634","BMMV2K8","98.17","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","4,573,556,734.74","5.77","4,573,556,734.74","202,521,000.00","S68891068","TW0002330008","6889106","22.58","Taiwan","Taiwan Stock Exchange","USD","27.99","TWD","Nov 10, 1994"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","4,172,797,506.50","5.27","4,172,797,506.50","15,582,350.00","01609W102","US01609W1027","BP41ZD1","267.79","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","2,893,778,282.82","3.65","2,893,778,282.82","39,259,280.00","S67717207","KR7005930003","6771720","73.71","Korea (South)","Korea Exchange (Stock Market)","USD","1,107.05","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","1,644,000,583.06","2.07","1,644,000,583.06","29,611,300.00","-","KYG596691041","BGJW376","55.52","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","891,465,164.82","1.13","891,465,164.82","3,578,825.00","S66226911","ZAE000015889","6622691","249.09","South Africa","Johannesburg Stock Exchange","USD","14.70","ZAR","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","703,057,601.33","0.89","703,057,601.33","7,118,129.00","47215P106","US47215P1066","BMM27D9","98.77","China","NASDAQ","USD","1.00","USD","-"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","681,948,880.20","0.86","681,948,880.20","2,242,884.00","056752108","US0567521085","B0FXT17","304.05","China","NASDAQ","USD","1.00","USD","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","646,709,261.70","0.82","646,709,261.70","10,556,795.00","62914V106","US62914V1061","BFZX9H8","61.26","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","636,359,964.53","0.80","636,359,964.53","23,478,727.00","S60996261","INE002A01018","6099626","27.10","India","National Stock Exchange Of India","USD","72.84","INR","-"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","625,037,196.12","0.79","625,037,196.12","3,131,292.00","722304102","US7223041028","BYVW0F7","199.61","China","NASDAQ","USD","1.00","USD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","622,804,184.59","0.79","622,804,184.59","786,341,000.00","-","CNE1000002H1","B0LMTQ3","0.79","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","567,481,940.73","0.72","567,481,940.73","48,637,500.00","-","CNE1000003X6","B01FLR7","11.67","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","534,956,173.36","0.68","534,956,173.36","30,418,783.00","S21962865","BRVALEACNOR0","2196286","17.59","Brazil","XBSP","USD","5.38","BRL","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","532,264,339.57","0.67","532,264,339.57","14,011,588.00","S61719001","INE001A01036","6171900","37.99","India","National Stock Exchange Of India","USD","72.84","INR","-"
"000660","SK HYNIX INC","Information Technology","Equity","510,828,276.95","0.64","510,828,276.95","4,488,194.00","S64502677","KR7000660001","6450267","113.82","Korea (South)","Korea Exchange (Stock Market)","USD","1,107.05","KRW","-"
"INFY","INFOSYS LTD","Information Technology","Equity","499,132,129.42","0.63","499,132,129.42","28,043,218.00","S62051222","INE009A01021","6205122","17.80","India","National Stock Exchange Of India","USD","72.84","INR","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","454,924,325.91","0.57","454,924,325.91","6,778,250.00","S67738120","KR7005931001","6773812","67.12","Korea (South)","Korea Exchange (Stock Market)","USD","1,107.05","KRW","Jun 07, 1993"
"NTES","NETEASE ADR INC","Communication","Equity","447,282,037.20","0.56","447,282,037.20","3,413,064.00","64110W102","US64110W1027","2606440","131.05","China","NASDAQ","USD","1.00","USD","-"
"2454","MEDIATEK INC","Information Technology","Equity","420,510,385.74","0.53","420,510,385.74","12,387,572.00","S63724801","TW0002454006","6372480","33.95","Taiwan","Taiwan Stock Exchange","USD","27.99","TWD","Jul 23, 2001"
"1810","XIAOMI CORP","Information Technology","Equity","416,359,022.22","0.53","416,359,022.22","117,585,400.00","-","KYG9830T1067","BG0ZMJ9","3.54","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","412,745,415.59","0.52","412,745,415.59","101,769,928.00","S64385644","TW0002317005","6438564","4.06","Taiwan","Taiwan Stock Exchange","USD","27.99","TWD","Sep 26, 1991"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","407,746,009.22","0.51","407,746,009.22","25,430,000.00","-","KYG970081173","BL6B9P1","16.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","367,670,008.19","0.46","367,670,008.19","42,366,531.00","-","INE090A01021","BSZ2BY7","8.68","India","National Stock Exchange Of India","USD","72.84","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","340,537,234.14","0.43","340,537,234.14","7,719,660.00","-","INE467B01029","B01NPJ1","44.11","India","National Stock Exchange Of India","USD","72.84","INR","-"
