Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"COP","CONOCOPHILLIPS","Energy","Equity","33,893,554.74","17.82","33,893,554.74","793,946.00","20825C104","US20825C1045","2685717","42.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","18,753,177.82","9.86","18,753,177.82","341,837.00","26875P101","US26875P1012","2318024","54.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","18,569,027.40","9.76","18,569,027.40","255,948.00","718546104","US7185461040","B78C4Y8","72.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","17,441,913.00","9.17","17,441,913.00","381,244.00","56585A102","US56585A1025","B3K3L40","45.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","11,194,506.00","5.89","11,194,506.00","85,350.00","723787107","US7237871071","2690830","131.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","8,799,282.18","4.63","8,799,282.18","146,826.00","42809H107","US42809H1077","2023748","59.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","8,670,354.00","4.56","8,670,354.00","131,369.00","16411R208","US16411R2085","2654364","66.00","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","8,029,673.70","4.22","8,029,673.70","135,066.00","91913Y100","US91913Y1001","2041364","59.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","7,348,374.00","3.86","7,348,374.00","412,830.00","25179M103","US25179M1036","2480677","17.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","7,026,442.64","3.69","7,026,442.64","110,236.00","25278X109","US25278X1090","B7Y8YR3","63.74","United States","NASDAQ","USD","1.00","USD","-"
"COG","CABOT OIL & GAS CORP","Energy","Equity","5,156,085.24","2.71","5,156,085.24","278,106.00","127097103","US1270971039","2162340","18.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","4,597,848.78","2.42","4,597,848.78","159,814.00","87612G101","US87612G1013","B55PZY3","28.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRO","MARATHON OIL CORP","Energy","Equity","4,488,962.95","2.36","4,488,962.95","550,793.00","565849106","US5658491064","2910970","8.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APA","APACHE CORP","Energy","Equity","4,314,213.54","2.27","4,314,213.54","263,383.00","037411105","US0374111054","2043962","16.38","United States","NASDAQ","USD","1.00","USD","-"
"XEC","CIMAREX ENERGY","Energy","Equity","3,154,389.81","1.66","3,154,389.81","71,157.00","171798101","US1717981013","2987521","44.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","3,152,370.65","1.66","3,152,370.65","192,335.00","26884L109","US26884L1098","2319414","16.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OVV","OVINTIV INC","Energy","Equity","3,110,203.95","1.64","3,110,203.95","181,353.00","69047Q102","US69047Q1022","BJ01KB6","17.15","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HFC","HOLLYFRONTIER CORP","Energy","Equity","3,022,937.44","1.59","3,022,937.44","104,024.00","436106108","US4361061082","B5VX1H6","29.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","1,988,713.35","1.05","1,988,713.35","156,715.00","12653C108","US12653C1080","BF3FTF4","12.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PDCE","PDC ENERGY INC","Energy","Equity","1,746,392.64","0.92","1,746,392.64","69,522.00","69327R101","US69327R1014","B89M5F2","25.12","United States","NASDAQ","USD","1.00","USD","-"
"RRC","RANGE RESOURCES CORP","Energy","Equity","1,556,038.50","0.82","1,556,038.50","178,855.00","75281A109","US75281A1097","2523334","8.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWN","SOUTHWESTERN ENERGY","Energy","Equity","1,536,692.63","0.81","1,536,692.63","450,643.00","845467109","US8454671095","2828619","3.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INT","WORLD FUEL SERVICES CORP","Energy","Equity","1,467,070.99","0.77","1,467,070.99","44,309.00","981475106","US9814751064","2469450","33.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","1,261,828.20","0.66","1,261,828.20","100,785.00","626717102","US6267171022","2611206","12.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AR","ANTERO RESOURCES CORP","Energy","Equity","1,150,354.89","0.60","1,150,354.89","172,467.00","03674X106","US03674X1063","BFD2WR8","6.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTDR","MATADOR RESOURCES","Energy","Equity","1,150,231.31","0.60","1,150,231.31","76,631.00","576485205","US5764852050","B7MSLL8","15.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DK","DELEK US HOLDINGS INC","Energy","Equity","892,103.09","0.47","892,103.09","43,243.00","24665A103","US24665A1034","BF5P189","20.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
