Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","15,886,012.56","15.64","15,886,012.56","68,486.00","594918104","US5949181045","2588173","231.96","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","13,233,740.56","13.03","13,233,740.56","100,286.00","037833100","US0378331005","2046251","131.96","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","6,963,866.40","6.86","6,963,866.40","2,172.00","023135106","US0231351067","2000019","3,206.20","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,361,639.15","5.28","5,361,639.15","20,755.00","30303M102","US30303M1027","B7TL820","258.33","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,308,914.88","4.24","4,308,914.88","2,358.00","02079K305","US02079K3059","BYVY8G0","1,827.36","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,159,786.84","4.09","4,159,786.84","2,266.00","02079K107","US02079K1079","BYY88Y7","1,835.74","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,851,509.92","2.81","2,851,509.92","5,488.00","67066G104","US67066G1040","2379504","519.59","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,126,523.00","2.09","2,126,523.00","11,004.00","92826C839","US92826C8394","B2PZN04","193.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","1,957,184.12","1.93","1,957,184.12","8,677.00","79466L302","US79466L3024","2310525","225.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,955,736.51","1.93","1,955,736.51","4,263.00","00724F101","US00724F1012","2008154","458.77","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","1,698,793.59","1.67","1,698,793.59","5,371.00","57636Q104","US57636Q1040","B121557","316.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","1,653,759.98","1.63","1,653,759.98","7,058.00","70450Y103","US70450Y1038","BYW36M8","234.31","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,532,749.56","1.51","1,532,749.56","34,382.00","17275R102","US17275R1023","2198163","44.58","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,116,323.39","1.10","1,116,323.39","18,473.00","68389X105","US68389X1054","2661568","60.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,029,831.36","1.01","1,029,831.36","1,896.00","81762P102","US81762P1021","B80NXX8","543.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,029,611.52","1.01","1,029,611.52","4,256.00","G1151C101","IE00B4BNMY34","B4BNMY3","241.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
