Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","110,866,027.76","2.71","110,866,027.76","989,228.00","S71238703","CH0038863350","7123870","112.07","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","88,717,706.09","2.17","88,717,706.09","146,017.00","-","NL0010273215","B929F46","607.58","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","78,318,625.98","1.92","78,318,625.98","241,476.00","S71103881","CH0012032048","7110388","324.33","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","66,771,014.73","1.63","66,771,014.73","760,961.00","S71030654","CH0012005267","7103065","87.75","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","62,126,110.83","1.52","62,126,110.83","95,175.00","S40614125","FR0000121014","4061412","652.75","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","50,822,329.87","1.24","50,822,329.87","900,602.00","-","GB00B10RZP78","B10RZP7","56.43","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","45,929,771.08","1.12","45,929,771.08","451,092.00","S09895293","GB0009895292","0989529","101.82","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SAP","SAP","Information Technology","Equity","43,924,080.50","1.07","43,924,080.50","357,999.00","S48462881","DE0007164600","4846288","122.69","Germany","Xetra","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","42,417,128.03","1.04","42,417,128.03","261,595.00","S57279739","DE0007236101","5727973","162.15","Germany","Xetra","USD","0.85","EUR","-"
"FP","TOTAL","Energy","Equity","40,425,451.90","0.99","40,425,451.90","864,641.00","-","FR0000120271","B15C557","46.75","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","40,314,134.30","0.99","40,314,134.30","590,564.00","-","DK0060534915","BHC8X90","68.26","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.32","DKK","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","40,113,732.96","0.98","40,113,732.96","6,967,279.00","S05405287","GB0005405286","0540528","5.76","United Kingdom","London Stock Exchange","USD","0.73","GBP","Jan 01, 1998"
"SAN","SANOFI SA","Health Care","Equity","38,681,116.38","0.95","38,681,116.38","389,232.00","S56717358","FR0000120578","5671735","99.38","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"ALV","ALLIANZ","Financials","Equity","35,715,120.24","0.87","35,715,120.24","141,477.00","S52314853","DE0008404005","5231485","252.44","Germany","Xetra","USD","0.85","EUR","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","33,440,096.77","0.82","33,440,096.77","802,242.00","S02374007","GB0002374006","0237400","41.68","United Kingdom","London Stock Exchange","USD","0.73","GBP","Jan 01, 1998"
"OR","LOREAL SA","Consumer Staples","Equity","33,222,957.12","0.81","33,222,957.12","86,474.00","S40578080","FR0000120321","4057808","384.19","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","31,089,383.15","0.76","31,089,383.15","1,724,473.00","S09252883","GB0009252882","0925288","18.03","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","30,587,765.48","0.75","30,587,765.48","785,867.00","S02875805","GB0002875804","0287580","38.92","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"RIO","RIO TINTO PLC","Materials","Equity","29,116,615.65","0.71","29,116,615.65","385,843.00","S07188758","GB0007188757","0718875","75.46","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"BP.","BP PLC","Energy","Equity","28,794,323.80","0.70","28,794,323.80","6,958,453.00","S07980592","GB0007980591","0798059","4.14","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","27,988,109.72","0.68","27,988,109.72","1,408,307.00","-","GB00B03MLX29","B03MLX2","19.87","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ENEL","ENEL","Utilities","Equity","27,902,551.71","0.68","27,902,551.71","2,788,245.00","S71445696","IT0003128367","7144569","10.01","Italy","Borsa Italiana","USD","0.85","EUR","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","27,458,371.35","0.67","27,458,371.35","184,814.00","S48341085","FR0000121972","4834108","148.57","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","27,253,980.74","0.67","27,253,980.74","2,099,525.00","-","ES0144580Y14","B288C92","12.98","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","26,548,152.06","0.65","26,548,152.06","162,654.00","-","FR0000120073","B1YXBJ7","163.22","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BAS","BASF N","Materials","Equity","26,051,784.95","0.64","26,051,784.95","316,240.00","S50865773","DE000BASF111","5086577","82.38","Germany","Xetra","USD","0.85","EUR","-"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","25,707,412.72","0.63","25,707,412.72","296,480.00","S55290274","DE0007100000","5529027","86.71","Germany","Xetra","USD","0.85","EUR","-"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Energy","Equity","24,229,573.38","0.59","24,229,573.38","1,280,215.00","-","GB00B03MM408","B03MM40","18.93","United Kingdom","London Stock Exchange","USD","0.73","GBP","Dec 12, 1988"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","23,131,310.07","0.57","23,131,310.07","1,147,571.00","S58423591","DE0005557508","5842359","20.16","Germany","Xetra","USD","0.85","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","22,997,334.77","0.56","22,997,334.77","200,716.00","S40122509","NL0000235190","4012250","114.58","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BNP","BNP PARIBAS SA","Financials","Equity","22,985,072.88","0.56","22,985,072.88","385,619.00","S73096810","FR0000131104","7309681","59.61","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
