Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ASM","ASM INTERNATIONAL NV","Information Technology","Equity","1,346,844.48","0.77","1,346,844.48","5,031.00","S51652949","NL0000334118","5165294","267.71","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"SIGN","SIG COMBIBLOC GROUP AG","Materials","Equity","872,037.36","0.50","872,037.36","36,214.00","-","CH0435377954","BD5GN60","24.08","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"VACN","VAT GROUP AG","Industrials","Equity","852,388.88","0.49","852,388.88","3,018.00","-","CH0311864901","BYZWMR9","282.44","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"RMV","RIGHTMOVE PLC","Communication","Equity","835,247.75","0.48","835,247.75","98,005.00","-","GB00BGDT3G23","BGDT3G2","8.52","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SMDS","SMITH (DS) PLC","Materials","Equity","779,000.45","0.44","779,000.45","153,839.00","S08220113","GB0008220112","0822011","5.06","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"IMCD","IMCD NV","Industrials","Equity","775,843.90","0.44","775,843.90","5,895.00","-","NL0010801007","BNCBD46","131.61","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Financials","Equity","758,168.98","0.43","758,168.98","32,565.00","-","GB00BYT1DJ19","BYT1DJ1","23.28","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"WEIR","WEIR GROUP PLC","Industrials","Equity","750,951.19","0.43","750,951.19","29,079.00","S09465808","GB0009465807","0946580","25.82","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"MOCORP","METSO OUTOTEC CORP","Industrials","Equity","738,770.15","0.42","738,770.15","70,532.00","-","FI0009014575","B1FN8X9","10.47","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.82","EUR","-"
"BME","B&M EUROPEAN VALUE RETAIL SA","Consumer Discretionary","Equity","725,964.19","0.41","725,964.19","100,802.00","-","LU1072616219","BMTRW10","7.20","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"LIGHT","SIGNIFY NV","Industrials","Equity","704,210.13","0.40","704,210.13","14,363.00","-","NL0011821392","BYY7VY5","49.03","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ENX","EURONEXT NV","Financials","Equity","700,875.40","0.40","700,875.40","6,346.00","-","NL0006294274","BNBNSG0","110.44","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"TECN","TECAN GROUP AG","Health Care","Equity","692,810.62","0.39","692,810.62","1,352.00","S71109029","CH0012100191","7110902","512.43","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"AMS","AMS AG","Information Technology","Equity","673,082.66","0.38","673,082.66","29,236.00","-","AT0000A18XM4","BPF0548","23.02","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"EMBRAC B","EMBRACER GROUP","Communication","Equity","650,794.20","0.37","650,794.20","26,331.00","-","SE0013121589","BK5MWJ3","24.72","Sweden","Nasdaq Omx Nordic","USD","8.30","SEK","-"
"TREL B","TRELLEBORG B","Industrials","Equity","642,211.21","0.37","642,211.21","27,498.00","S49023849","SE0000114837","4902384","23.35","Sweden","Nasdaq Omx Nordic","USD","8.30","SEK","-"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","637,804.86","0.36","637,804.86","15,982.00","-","NL0011872643","BD9PNF2","39.91","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"INDT","INDUTRADE","Industrials","Equity","634,167.53","0.36","634,167.53","30,826.00","-","SE0001515552","B0LDBX7","20.57","Sweden","Nasdaq Omx Nordic","USD","8.30","SEK","-"
"SINCH","SINCH","Information Technology","Equity","633,730.93","0.36","633,730.93","3,992.00","-","SE0007439112","BZBW6G7","158.75","Sweden","Nasdaq Omx Nordic","USD","8.30","SEK","-"
"CAST","CASTELLUM","Real Estate","Equity","633,527.71","0.36","633,527.71","25,987.00","-","SE0000379190","B0XP0T0","24.38","Sweden","Nasdaq Omx Nordic","USD","8.30","SEK","-"
