Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","53,335,293.48","3.20","53,335,293.48","476,519.00","S71238703","CH0038863350","7123870","111.93","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","42,160,414.49","2.53","42,160,414.49","69,385.00","-","NL0010273215","B929F46","607.63","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","37,707,163.95","2.26","37,707,163.95","116,183.00","S71103881","CH0012032048","7110388","324.55","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","35,004,567.15","2.10","35,004,567.15","407,881.00","S71030654","CH0012005267","7103065","85.82","Switzerland","SIX Swiss Exchange","USD","0.94","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","29,521,154.14","1.77","29,521,154.14","44,214.00","S40614125","FR0000121014","4061412","667.69","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","24,291,111.34","1.46","24,291,111.34","434,075.00","-","GB00B10RZP78","B10RZP7","55.96","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"SAP","SAP","Information Technology","Equity","22,228,288.66","1.33","22,228,288.66","181,123.00","S48462881","DE0007164600","4846288","122.72","Germany","Xetra","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","22,010,947.88","1.32","22,010,947.88","133,771.00","S57279739","DE0007236101","5727973","164.54","Germany","Xetra","USD","0.85","EUR","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","21,727,844.37","1.30","21,727,844.37","217,307.00","S09895293","GB0009895292","0989529","99.99","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","20,046,061.00","1.20","20,046,061.00","3,433,197.00","S05405287","GB0005405286","0540528","5.84","United Kingdom","London Stock Exchange","USD","0.72","GBP","Jan 01, 1998"
"FP","TOTAL","Energy","Equity","19,317,399.69","1.16","19,317,399.69","413,228.00","-","FR0000120271","B15C557","46.75","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","18,760,487.88","1.13","18,760,487.88","276,243.00","-","DK0060534915","BHC8X90","67.91","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.33","DKK","-"
"SAN","SANOFI SA","Health Care","Equity","18,719,744.71","1.12","18,719,744.71","189,052.00","S56717358","FR0000120578","5671735","99.02","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"ALV","ALLIANZ","Financials","Equity","17,395,956.90","1.04","17,395,956.90","68,193.00","S52314853","DE0008404005","5231485","255.10","Germany","Xetra","USD","0.85","EUR","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","15,936,969.01","0.96","15,936,969.01","386,387.00","S02374007","GB0002374006","0237400","41.25","United Kingdom","London Stock Exchange","USD","0.72","GBP","Jan 01, 1998"
"OR","LOREAL SA","Consumer Staples","Equity","15,282,479.02","0.92","15,282,479.02","39,789.00","S40578080","FR0000120321","4057808","384.09","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","14,694,260.74","0.88","14,694,260.74","826,889.00","S09252883","GB0009252882","0925288","17.77","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","14,438,519.77","0.87","14,438,519.77","377,252.00","S02875805","GB0002875804","0287580","38.27","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"RIO","RIO TINTO PLC","Materials","Equity","13,699,048.89","0.82","13,699,048.89","178,901.00","S07188758","GB0007188757","0718875","76.57","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","13,661,723.63","0.82","13,661,723.63","89,244.00","S48341085","FR0000121972","4834108","153.08","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BP.","BP PLC","Energy","Equity","13,535,418.69","0.81","13,535,418.69","3,329,512.00","S07980592","GB0007980591","0798059","4.07","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"RDSA","ROYAL DUTCH SHELL PLC","Energy","Equity","13,252,394.29","0.80","13,252,394.29","679,394.00","-","GB00B03MLX29","B03MLX2","19.51","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","12,774,688.76","0.77","12,774,688.76","78,028.00","-","FR0000120073","B1YXBJ7","163.72","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"ENEL","ENEL","Utilities","Equity","12,756,729.74","0.77","12,756,729.74","1,277,996.00","S71445696","IT0003128367","7144569","9.98","Italy","Borsa Italiana","USD","0.85","EUR","-"
"BAS","BASF N","Materials","Equity","12,667,992.82","0.76","12,667,992.82","152,153.00","S50865773","DE000BASF111","5086577","83.26","Germany","Xetra","USD","0.85","EUR","-"
