Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SLB","SCHLUMBERGER NV","Energy","Equity","32,409,105.68","21.54","32,409,105.68","1,301,048.00","806857108","AN8068571086","2779201","24.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","31,823,601.18","21.15","31,823,601.18","1,534,407.00","406216101","US4062161017","2405302","20.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHX","CHAMPIONX CORP","Energy","Equity","8,008,669.87","5.32","8,008,669.87","452,723.00","15872M104","US15872M1045","BMW7N69","17.69","United States","NASDAQ","USD","1.00","USD","-"
"FTI","TECHNIPFMC PLC","Energy","Equity","7,391,662.65","4.91","7,391,662.65","623,769.00","-","GB00BDSFG982","BDSFG98","11.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIG","TRANSOCEAN LTD","Energy","Equity","6,699,583.68","4.45","6,699,583.68","2,042,556.00","-","CH0048265513","B3KFWW1","3.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HP","HELMERICH & PAYNE INC","Energy","Equity","6,373,758.41","4.24","6,373,758.41","247,717.00","423452101","US4234521015","2420101","25.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOV","NOV INC","Energy","Equity","6,235,503.50","4.14","6,235,503.50","422,746.00","62955J103","US62955J1034","BN2RYW9","14.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","6,142,927.74","4.08","6,142,927.74","268,602.00","05722G100","US05722G1004","BDHLTQ5","22.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLB","CORE LABORATORIES NV","Energy","Equity","5,311,338.75","3.53","5,311,338.75","157,373.00","N22717107","NL0000200384","2182531","33.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WHD","CACTUS INC CLASS A","Energy","Equity","4,741,011.00","3.15","4,741,011.00","168,300.00","127203107","US1272031071","BF1GM16","28.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AROC","ARCHROCK INC","Energy","Equity","4,376,061.04","2.91","4,376,061.04","454,892.00","03957W106","US03957W1062","BYRGSX7","9.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTEN","PATTERSON UTI ENERGY INC","Energy","Equity","4,375,984.06","2.91","4,375,984.06","664,034.00","703481101","US7034811015","2672537","6.59","United States","NASDAQ","USD","1.00","USD","-"
"DRQ","DRIL QUIP INC","Energy","Equity","4,083,030.04","2.71","4,083,030.04","124,331.00","262037104","US2620371045","2116767","32.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OII","OCEANEERING INTERNATIONAL INC","Energy","Equity","4,075,499.94","2.71","4,075,499.94","351,943.00","675232102","US6752321025","2655583","11.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LBRT","LIBERTY OILFIELD SERVICES INC CLAS","Energy","Equity","2,873,615.52","1.91","2,873,615.52","227,343.00","53115L104","US53115L1044","BDCWFT8","12.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOOM","DMC GLOBAL INC","Energy","Equity","2,627,348.64","1.75","2,627,348.64","52,568.00","23291C103","US23291C1036","BYN8NH6","49.98","United States","NASDAQ","USD","1.00","USD","-"
